rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,youtube.com,Video Streaming
8,doubleclick.net,Advertisements
9,akadns.net,Content Servers
10,brave.com,Information Technology
11,gvt2.com,Content Servers
12,bing.com,Search Engines
13,live.com,Technology;Webmail
14,aaplimg.com,Information Technology;Content Servers;Technology
15,googlevideo.com,Search Engines;Video Streaming
16,cloudflare.com,Technology
17,google-analytics.com,Business;Technology
18,apple-dns.net,Content Servers
19,cloudfront.net,Content Servers;Science;Technology
20,akamaiedge.net,Content Servers
21,fbcdn.net,Social Networks
22,akamai.net,Content Servers
23,linkedin.com,Professional Networking
24,instagram.com,Social Networks
25,amazon.com,Ecommerce
26,googlesyndication.com,Search Engines;Advertisements
27,ytimg.com,Content Servers
28,synology.com,Technology
29,whatsapp.net,Instant Messengers;Internet Phone & VOIP
30,amazonaws.com,Technology
31,icloud.com,File Sharing;Content Servers
32,office.com,Technology
33,opera.com,Technology
34,twitch.tv,Video Streaming
35,ttvnw.net,Video Streaming
36,fast.com,Information Technology
37,spotify.com,Audio Streaming
38,baidu.com,Search Engines
39,ntp.org,Technology;Government
40,outlook.com,Webmail
41,fastly.net,Information Security;Information Technology;Technology
42,tiktokv.com,Social Networks;Video Streaming
43,googleusercontent.com,Content Servers
44,googletagmanager.com,Content Servers
45,yahoo.com,News & Media
46,tiktokcdn.com,Content Servers;Social Networks
47,netflix.com,Movies;Video Streaming
48,msn.com,News & Media
49,surfshark.com,CIPA Filter;Anonymizer
50,pki.goog,Information Security
51,trafficmanager.net,Content Servers
52,avcdn.net,Content Servers
53,googleadservices.com,Advertisements
54,criteo.com,Business
55,amazon.es,Ecommerce
56,slack.com,Instant Messengers
57,licdn.com,Content Servers
58,windowsupdate.com,Information Technology;Business
59,sentry.io,Business
60,stealth.si,CIPA Filter;P2P
61,skype.com,Instant Messengers;Internet Phone & VOIP
62,amazonalexa.com,Content Servers
63,twimg.com,Content Servers
64,opentrackr.org,Technology
65,azure.com,Technology
66,ubuntu.com,Technology
67,msedge.net,Content Servers
68,android.com,Technology
69,amazon-adsystem.com,Advertisements
70,ggpht.com,Content Servers
71,pow7.com,Content Servers
72,ui.com,Technology
73,windows.com,Information Technology
74,2miners.com,Cryptocurrency
75,mozilla.org,Technology
76,facebook.net,Social Networks
77,google.ad,Search Engines
78,surfsharkstatus.com,CIPA Filter;P2P
79,xhcdn.com,CIPA Filter;Pornography
80,cdninstagram.com,Content Servers
81,dropbox.com,File Sharing
82,cloudflare-dns.com,Content Servers
83,office365.com,Technology
84,statuspage.io,Technology
85,digicert.com,Information Security
86,discord.gg,Information Technology;Instant Messengers
87,amazon.de,Ecommerce
88,snapchat.com,Social Networks
89,launchdarkly.com,Business
90,mail.ru,Webmail
91,app-measurement.com,APIs
92,appcenter.ms,Technology
93,plex.tv,Movies;Television
94,google.co.uk,Search Engines
95,nicehash.com,Economy & Finance;Cryptocurrency
96,gvt1.com,Content Servers
97,office.net,Content Servers
98,cdn77.org,Content Servers
99,a2z.com,Content Servers
100,acsechocaptiveportal.com,Technology
