rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,microsoft.com,Information Technology;Business
6,apple.com,Information Technology;Technology
7,tiktokcdn.com,Content Servers;Social Networks
8,tiktokv.com,Social Networks;Video Streaming
9,whatsapp.net,Instant Messengers;Internet Phone & VOIP
10,instagram.com,Social Networks
11,doubleclick.net,Advertisements
12,gvt2.com,Content Servers
13,googlevideo.com,Search Engines;Video Streaming
14,youtube.com,Video Streaming
15,fbcdn.net,Social Networks
16,akadns.net,Content Servers
17,googleusercontent.com,Content Servers
18,amazonaws.com,Technology
19,apple-dns.net,Content Servers
20,cloudflare.com,Technology
21,akamai.net,Content Servers
22,akamaiedge.net,Content Servers
23,icloud.com,File Sharing;Content Servers
24,googlesyndication.com,Search Engines;Advertisements
25,google-analytics.com,Business;Technology
26,office.com,Technology
27,live.com,Technology;Webmail
28,bing.com,Search Engines
29,cloudfront.net,Content Servers;Science;Technology
30,snapchat.com,Social Networks
31,ytimg.com,Content Servers
32,cloudflare-dns.com,Content Servers
33,aaplimg.com,Information Technology;Content Servers;Technology
34,googletagmanager.com,Content Servers
35,cdninstagram.com,Content Servers
36,cdn77.org,Content Servers
37,gvt1.com,Content Servers
38,yahoo.com,News & Media
39,ntp.org,Technology;Government
40,googleadservices.com,Advertisements
41,app-measurement.com,APIs
42,dns.google,Information Technology
43,yandex.net,News & Media
44,amazon-adsystem.com,Advertisements
45,yandex.ru,News & Media
46,skype.com,Instant Messengers;Internet Phone & VOIP
47,msn.com,News & Media
48,ttlivecdn.com,Content Servers
49,lencr.org,Information Technology
50,spotify.com,Audio Streaming
51,linkedin.com,Professional Networking
52,ggpht.com,Content Servers
53,pki.goog,Information Security
54,applovin.com,Business;Technology
55,twitter.com,Social Networks
56,akamaized.net,Content Servers
57,appsflyersdk.com,Content Servers;APIs
58,azure.com,Technology
59,whatsapp.com,Instant Messengers;Internet Phone & VOIP
60,digicert.com,Information Security
61,unity3d.com,Gaming;Technology
62,office.net,Content Servers
63,adnxs.com,Content Servers
64,criteo.com,Business
65,fastly.net,Information Security;Information Technology;Technology
66,facebook.net,Social Networks
67,office365.com,Technology
68,app-analytics-services.com,Content Servers
69,microsoftonline.com,Technology
70,bytefcdn-oversea.com,
71,rubiconproject.com,Advertisements
72,qq.com,News & Media
73,ampproject.org,Information Technology
74,clarity.ms,Content Servers
75,windowsupdate.com,Information Technology;Business
76,amazon.com,Ecommerce
77,taboola.com,Business;Advertisements
78,gmail.com,Webmail
79,outlook.com,Webmail
80,appsflyer.com,Business;Technology
81,pangle.io,Content Servers
82,appcenter.ms,Technology
83,pubmatic.com,Business;Technology
84,trafficmanager.net,Information Technology;Content Servers
85,sentry.io,Business
86,netflix.com,Movies;Video Streaming
87,cdn-apple.com,Content Servers
88,xiaomi.com,Technology
89,twimg.com,Content Servers
90,grammarly.com,Artificial Intelligence;Hobbies & Interests
91,tiktokcdn-us.com,Content Servers
92,aliyuncs.com,Content Servers
93,crashlytics.com,Information Technology
94,vungle.com,Business;Technology
95,windows.com,Information Technology
96,nr-data.net,Content Servers
97,tiktok.com,Social Networks;Video Streaming;Advertisements
98,byteoversea.com,Content Servers
99,mail.ru,Webmail
100,android.com,Technology
