rank,domain,categories
1,tiktokcdn.com,Content Servers;Social Networks
2,google.com,Search Engines
3,googleapis.com,Content Servers;Personal Blogs
4,facebook.com,Social Networks
5,gstatic.com,Content Servers
6,tiktokv.com,Social Networks;Video Streaming
7,microsoft.com,Information Technology;Business
8,apple.com,Information Technology;Technology
9,cdn77.org,Content Servers
10,akamai.net,Content Servers
11,instagram.com,Social Networks
12,akadns.net,Content Servers
13,whatsapp.net,Instant Messengers;Internet Phone & VOIP
14,doubleclick.net,Advertisements
15,akamaiedge.net,Content Servers
16,gvt2.com,Content Servers
17,fbcdn.net,Social Networks
18,youtube.com,Video Streaming
19,apple-dns.net,Content Servers
20,bytefcdn-oversea.com,
21,ttlivecdn.com,Content Servers
22,cloudflare.com,Technology
23,googlevideo.com,Search Engines;Video Streaming
24,snapchat.com,Social Networks
25,icloud.com,File Sharing;Content Servers
26,googlesyndication.com,Search Engines;Advertisements
27,googleusercontent.com,Content Servers
28,aaplimg.com,Information Technology;Content Servers;Technology
29,ytimg.com,Content Servers
30,bytefcdn-ttpeu.com,Content Servers
31,office.com,Technology
32,live.com,Technology;Webmail
33,rocket-cdn.com,Content Servers
34,amazonaws.com,Technology
35,google-analytics.com,Business;Technology
36,yahoo.com,News & Media
37,bing.com,Search Engines
38,spotify.com,Audio Streaming
39,cloudfront.net,Content Servers;Science;Technology
40,qlivecdn.com,
41,amazon-adsystem.com,Advertisements
42,fastly.net,Information Security;Information Technology;Technology
43,ntp.org,Technology;Government
44,app-measurement.com,APIs
45,google.al,Search Engines
46,googleadservices.com,Advertisements
47,googletagmanager.com,Content Servers
48,ggpht.com,Content Servers
49,unity3d.com,Gaming;Technology
50,cloudflare-dns.com,Content Servers
51,atomile.com,No Content
52,msn.com,News & Media
53,netflix.com,Movies;Video Streaming
54,cdninstagram.com,Content Servers
55,byteoversea.net,Content Servers
56,viber.com,Instant Messengers;Internet Phone & VOIP
57,skype.com,Instant Messengers;Internet Phone & VOIP
58,pki.goog,Information Security
59,wsdvs.com,Content Servers
60,sc-cdn.net,Content Servers
61,azure.com,Technology
62,msftncsi.com,Content Servers
63,sc-gw.com,Content Servers
64,office.net,Content Servers
65,applovin.com,Gaming
66,criteo.com,Business
67,taboola.com,Business;Advertisements
68,gvt1.com,Content Servers
69,appsflyersdk.com,Content Servers;APIs
70,whatsapp.com,Instant Messengers;Internet Phone & VOIP
71,digicert.com,Information Security
72,byteglb.com,
73,cdn-apple.com,Content Servers
74,app-analytics-services.com,Content Servers
75,amazon.com,Ecommerce
76,rubiconproject.com,Advertisements
77,adnxs.com,Content Servers
78,tiktokcdn-us.com,Content Servers
79,adform.net,Content Servers
80,office365.com,Technology
81,roblox.com,Gaming;Safe for Kids
82,windowsupdate.com,Information Technology;Business
83,facebook.net,Social Networks
84,lencr.org,Information Technology
85,samsungcloud.com,Content Servers
86,trafficmanager.net,Information Technology;Content Servers
87,linkedin.com,Professional Networking
88,android.com,Technology
89,gmail.com,Webmail
90,casalemedia.com,Advertisements
91,smartadserver.com,Advertisements
92,pubmatic.com,Business;Technology
93,samsung.com,Home & Garden;Technology
94,microsoftonline.com,Technology
95,ttdns2.com,Content Servers
96,appcenter.ms,Technology
97,dns.google,Information Technology
98,bytetcdn.com,Content Servers
99,ovscdns.net,Content Servers
100,rbxcdn.com,Content Servers
