rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,facebook.com,Social Networks
4,gstatic.com,Content Servers
5,gvt2.com,Content Servers
6,microsoft.com,Information Technology;Business
7,doubleclick.net,Advertisements
8,tiktokcdn.com,Content Servers;Social Networks
9,apple.com,Information Technology;Technology
10,fbcdn.net,Social Networks
11,mail.ru,Webmail
12,yandex.ru,News & Media
13,yandex.net,News & Media
14,instagram.com,Social Networks
15,googlevideo.com,Search Engines;Video Streaming
16,cloudflare.com,Technology
17,youtube.com,Video Streaming
18,google-analytics.com,Business;Technology
19,tiktokv.com,Social Networks;Video Streaming
20,akadns.net,Content Servers
21,akamai.net,Content Servers
22,googleusercontent.com,Content Servers
23,ytimg.com,Content Servers
24,amazonaws.com,Technology
25,icloud.com,File Sharing;Content Servers
26,adjarabet.am,Gambling;CIPA Filter
27,whatsapp.net,Instant Messengers;Internet Phone & VOIP
28,akamaiedge.net,Content Servers
29,cdn77.org,Content Servers
30,google.am,Search Engines
31,apple-dns.net,Content Servers
32,googletagmanager.com,Content Servers
33,gvt1.com,Content Servers
34,googlesyndication.com,Search Engines;Advertisements
35,amazon-adsystem.com,Advertisements
36,viber.com,Instant Messengers;Internet Phone & VOIP
37,aaplimg.com,Information Technology;Content Servers;Technology
38,cloudfront.net,Content Servers;Science;Technology
39,hotjar.com,Business;Technology
40,snapchat.com,Social Networks
41,ntp.org,Technology;Government
42,bing.com,Search Engines
43,live.com,Technology;Webmail
44,ok.ru,Social Networks;Video Streaming
45,livechatinc.com,Instant Messengers;Business
46,bytefcdn-oversea.com,
47,ggpht.com,Content Servers
48,unity3d.com,Gaming;Technology
49,vbet.am,Gambling;CIPA Filter
50,googleadservices.com,Advertisements
51,office.com,Technology
52,userapi.com,Social Networks
53,nr-data.net,Content Servers
54,yahoo.com,News & Media
55,cloudflare-dns.com,Content Servers
56,ttlivecdn.com,Content Servers
57,xiaomi.com,Technology
58,facebook.net,Social Networks
59,imgsmail.ru,
60,wildberries.ru,Ecommerce
61,skype.com,Instant Messengers;Internet Phone & VOIP
62,app-measurement.com,APIs
63,totogaming.am,Gambling;CIPA Filter
64,spotify.com,Audio Streaming
65,vk.com,Social Networks
66,amazon.com,Ecommerce
67,msn.com,News & Media
68,applovin.com,Gaming
69,cdninstagram.com,Content Servers
70,azure.com,Technology
71,bytefcdn-ttpeu.com,Content Servers
72,yastatic.net,Technology
73,armdb.org,Business
74,netflix.com,Movies;Video Streaming
75,windowsupdate.com,Information Technology;Business
76,msftncsi.com,Content Servers
77,wb.ru,Ecommerce
78,hamsterkombat.io,Gaming
79,fastly.net,Information Security;Information Technology;Technology
80,wbbasket.ru,Content Servers
81,trafficmanager.net,Information Technology;Content Servers
82,dns.google,Information Technology
83,rocket-cdn.com,Content Servers
84,adfox.ru,Business
85,qlivecdn.com,
86,slack.com,Instant Messengers
87,my.com,
88,linkedin.com,Professional Networking
89,ampproject.org,Information Technology
90,pki.goog,Information Security
91,appsflyersdk.com,Content Servers;APIs
92,rubiconproject.com,Advertisements
93,miui.com,Technology
94,akamaized.net,Content Servers
95,mycdn.me,Content Servers
96,cdn-apple.com,Content Servers
97,tubecup.net,Content Servers
98,grammarly.com,Artificial Intelligence;Hobbies & Interests
99,telegram.org,Instant Messengers
100,amusnet.io,
