rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,tiktokcdn.com,Content Servers;Social Networks
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,tiktokv.com,Social Networks;Video Streaming
10,doubleclick.net,Advertisements
11,instagram.com,Social Networks
12,bing.com,Search Engines
13,googlevideo.com,Search Engines;Video Streaming
14,youtube.com,Video Streaming
15,akamai.net,Content Servers
16,gvt2.com,Content Servers
17,fbcdn.net,Social Networks
18,akadns.net,Content Servers
19,office.com,Technology
20,amazonaws.com,Technology
21,akamaiedge.net,Content Servers
22,live.com,Technology;Webmail
23,cloudflare.com,Technology
24,msn.com,News & Media
25,apple-dns.net,Content Servers
26,googleusercontent.com,Content Servers
27,ytimg.com,Content Servers
28,cdn77.org,Content Servers
29,googlesyndication.com,Search Engines;Advertisements
30,icloud.com,File Sharing;Content Servers
31,netflix.com,Movies;Video Streaming
32,office365.com,Technology
33,msftncsi.com,Content Servers
34,ttlivecdn.com,Content Servers
35,gvt1.com,Content Servers
36,cloudfront.net,Content Servers;Science;Technology
37,ggpht.com,Content Servers
38,shalltry.com,Content Servers
39,spotify.com,Audio Streaming
40,aaplimg.com,Information Technology;Content Servers;Technology
41,skype.com,Instant Messengers;Internet Phone & VOIP
42,ntp.org,Technology;Government
43,microsoftonline.com,Technology
44,google-analytics.com,Business;Technology
45,akamaized.net,Content Servers
46,kaspersky-labs.com,Technology
47,cloudflare-dns.com,Content Servers
48,googleadservices.com,Advertisements
49,google.co.ao,Search Engines
50,snapchat.com,Social Networks
51,trafficmanager.net,Content Servers
52,office.net,Content Servers
53,amazon-adsystem.com,Advertisements
54,bytefcdn-oversea.com,
55,googletagmanager.com,Content Servers
56,azureedge.net,Content Servers
57,unity3d.com,Gaming;Technology
58,windowsupdate.com,Information Technology;Business
59,cdninstagram.com,Content Servers
60,linkedin.com,Professional Networking
61,bangcdn.net,Content Servers
62,lencr.org,Information Technology
63,yahoo.com,News & Media
64,ui.com,Technology
65,windows.com,Information Technology
66,applovin.com,Gaming
67,whatsapp.com,Instant Messengers;Internet Phone & VOIP
68,kaspersky.com,Technology
69,azure.com,Technology
70,digicert.com,Information Security
71,app-measurement.com,APIs
72,outlook.com,Webmail
73,mtgglobals.com,Content Servers
74,bytefcdn-ttpeu.com,Content Servers
75,gmail.com,Webmail
76,pangle.io,Content Servers
77,qq.com,News & Media
78,appsflyersdk.com,Content Servers;APIs
79,smartadserver.com,Advertisements
80,avcdn.net,Content Servers
81,dns.google,Information Technology
82,sharepoint.com,File Sharing;Technology
83,fastly.net,Information Security;Information Technology;Technology
84,pki.goog,Information Security
85,android.com,Technology
86,rocket-cdn.com,Content Servers
87,lijit.com,Business
88,amazon.com,Ecommerce
89,qlivecdn.com,
90,opera.com,Technology
91,pubmatic.com,Business;Technology
92,adnxs.com,Content Servers
93,msedge.net,Content Servers
94,rubiconproject.com,Advertisements
95,vungle.com,Business;Technology
96,avast.com,Technology
97,msftconnecttest.com,Content Servers
98,windows.net,Technology
99,appcenter.ms,Technology
100,adobe.com,Technology
