rank,domain,categories
1,google.com,Search Engines
2,tiktokcdn.com,Content Servers;Social Networks
3,googleapis.com,Content Servers;Personal Blogs
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,microsoft.com,Information Technology;Business
7,tiktokv.com,Social Networks;Video Streaming
8,apple.com,Information Technology;Technology
9,whatsapp.net,Instant Messengers;Internet Phone & VOIP
10,instagram.com,Social Networks
11,cdn77.org,Content Servers
12,akamai.net,Content Servers
13,gvt2.com,Content Servers
14,doubleclick.net,Advertisements
15,youtube.com,Video Streaming
16,googlevideo.com,Search Engines;Video Streaming
17,akadns.net,Content Servers
18,akamaiedge.net,Content Servers
19,fbcdn.net,Social Networks
20,bytefcdn-oversea.com,
21,apple-dns.net,Content Servers
22,ttlivecdn.com,Content Servers
23,mail.ru,Webmail
24,googleusercontent.com,Content Servers
25,googlesyndication.com,Search Engines;Advertisements
26,ytimg.com,Content Servers
27,icloud.com,File Sharing;Content Servers
28,live.com,Technology;Webmail
29,yandex.ru,News & Media
30,office.com,Technology
31,bing.com,Search Engines
32,yandex.net,News & Media
33,amazonaws.com,Technology
34,cloudflare.com,Technology
35,ntp.org,Technology;Government
36,google-analytics.com,Business;Technology
37,aaplimg.com,Information Technology;Content Servers;Technology
38,msn.com,News & Media
39,google.az,Search Engines
40,spotify.com,Audio Streaming
41,googleadservices.com,Advertisements
42,cloudflare-dns.com,Content Servers
43,bytefcdn-ttpeu.com,Content Servers
44,xiaomi.com,Technology
45,snapchat.com,Social Networks
46,qlivecdn.com,
47,googletagmanager.com,Content Servers
48,rocket-cdn.com,Content Servers
49,ggpht.com,Content Servers
50,office.net,Content Servers
51,cloudfront.net,Content Servers;Science;Technology
52,app-measurement.com,APIs
53,unity3d.com,Gaming;Technology
54,azure.com,Technology
55,appsflyersdk.com,Content Servers;APIs
56,amazon.com,Ecommerce
57,skype.com,Instant Messengers;Internet Phone & VOIP
58,whatsapp.com,Instant Messengers;Internet Phone & VOIP
59,netflix.com,Movies;Video Streaming
60,adriver.ru,Advertisements
61,linkedin.com,Professional Networking
62,gvt1.com,Content Servers
63,trafficmanager.net,Information Technology;Content Servers
64,ui.com,Technology
65,atomile.com,No Content
66,wsdvs.com,Content Servers
67,byteoversea.net,Content Servers
68,fastly.net,Information Security;Information Technology;Technology
69,miui.com,Technology
70,android.com,Technology
71,applovin.com,Gaming
72,roblox.com,Gaming;Safe for Kids
73,windowsupdate.com,Information Technology;Business
74,amazon-adsystem.com,Advertisements
75,pki.goog,Information Security
76,nakheelteam.cc,Technology
77,wikipedia.org,Education
78,app-analytics-services.com,Content Servers
79,cdninstagram.com,Content Servers
80,dns.google,Information Technology
81,msftncsi.com,Content Servers
82,office365.com,Technology
83,digicert.com,Information Security
84,facebook.net,Social Networks
85,akamaized.net,Content Servers
86,msedge.net,Content Servers
87,opera.com,Technology
88,gcdn.co,Content Servers
89,yahoo.com,News & Media
90,lencr.org,Information Technology
91,windows.com,Information Technology
92,trendyol.com,Ecommerce;Fashion
93,rbxcdn.com,Content Servers
94,ttdns2.com,Content Servers
95,cdn-apple.com,Content Servers
96,vk.com,Social Networks
97,appcenter.ms,Technology
98,qq.com,News & Media
99,grammarly.com,Artificial Intelligence;Hobbies & Interests
100,byteglb.com,
