rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,facebook.com,Social Networks
4,gstatic.com,Content Servers
5,tiktokcdn.com,Content Servers;Social Networks
6,doubleclick.net,Advertisements
7,microsoft.com,Information Technology;Business
8,instagram.com,Social Networks
9,googlevideo.com,Search Engines;Video Streaming
10,cloudflare.com,Technology
11,googlesyndication.com,Search Engines;Advertisements
12,youtube.com,Video Streaming
13,fbcdn.net,Social Networks
14,apple.com,Information Technology;Technology
15,spotify.com,Audio Streaming
16,tiktokv.com,Social Networks;Video Streaming
17,viber.com,Instant Messengers;Internet Phone & VOIP
18,gvt2.com,Content Servers
19,amazon-adsystem.com,Advertisements
20,google.ba,Search Engines
21,office.com,Technology
22,googleusercontent.com,Content Servers
23,googleadservices.com,Advertisements
24,amazonaws.com,Technology
25,bing.com,Search Engines
26,google-analytics.com,Business;Technology
27,ytimg.com,Content Servers
28,akamai.net,Content Servers
29,whatsapp.net,Instant Messengers;Internet Phone & VOIP
30,ggpht.com,Content Servers
31,rubiconproject.com,Advertisements
32,cdn77.org,Content Servers
33,cloudfront.net,Content Servers;Science;Technology
34,pubmatic.com,Business;Technology
35,twitter.com,Social Networks
36,akadns.net,Content Servers
37,snapchat.com,Social Networks
38,msn.com,News & Media
39,akamaiedge.net,Content Servers
40,live.com,Technology;Webmail
41,apple-dns.net,Content Servers
42,facebook.net,Social Networks
43,cloudflare-dns.com,Content Servers
44,googletagmanager.com,Content Servers
45,criteo.com,Business
46,casalemedia.com,Advertisements
47,fast.com,Information Technology
48,ttlivecdn.com,Content Servers
49,yahoo.com,News & Media
50,smartadserver.com,Advertisements
51,icloud.com,File Sharing;Content Servers
52,adnxs.com,Content Servers
53,bytefcdn-oversea.com,
54,office.net,Content Servers
55,skype.com,Instant Messengers;Internet Phone & VOIP
56,netflix.com,Movies;Video Streaming
57,linkedin.com,Professional Networking
58,lijit.com,Business
59,adform.net,Content Servers
60,aaplimg.com,Information Technology;Content Servers;Technology
61,dotmetrics.net,Business;Technology
62,googletagservices.com,Content Servers
63,openx.net,Advertisements
64,taboola.com,Business;Advertisements
65,azure.com,Technology
66,gvt1.com,Content Servers
67,id5-sync.com,Content Servers
68,ntp.org,Technology;Government
69,msedge.net,Content Servers
70,amazon.com,Ecommerce
71,cdninstagram.com,Content Servers
72,app-measurement.com,APIs
73,onesignal.com,Business;Technology
74,lencr.org,Information Technology
75,klix.ba,News & Media
76,clarity.ms,Content Servers
77,pki.goog,Information Security
78,roblox.com,Gaming;Safe for Kids
79,ampproject.org,Information Technology
80,discord.com,Instant Messengers;Internet Phone & VOIP
81,3lift.com,Business
82,criteo.net,Business
83,creativecdn.com,Content Servers
84,4dex.io,Content Servers
85,jsdelivr.net,Content Servers
86,mgid.com,Business
87,teads.tv,Advertisements
88,akamaized.net,Content Servers
89,msftncsi.com,Content Servers
90,mixpanel.com,Business
91,microsoftonline.com,Technology
92,bidswitch.net,Technology
93,brave.com,Information Technology
94,fastly.net,Information Security;Information Technology;Technology
95,scdn.co,Content Servers
96,gemius.pl,Business;Technology
97,bytefcdn-ttpeu.com,Content Servers
98,rocket-cdn.com,Content Servers
99,crwdcntrl.net,Business;Technology
100,qlivecdn.com,
