rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Personal Blogs
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,office.com,Technology
7,apple.com,Information Technology;Technology
8,amazonaws.com,Technology
9,live.com,Technology;Webmail
10,doubleclick.net,Advertisements
11,azure.com,Technology
12,bing.com,Search Engines
13,spotify.com,Audio Streaming
14,akamaiedge.net,Content Servers
15,office.net,Content Servers
16,akadns.net,Content Servers
17,office365.com,Technology
18,googlesyndication.com,Search Engines;Advertisements
19,ntp.org,Technology;Government
20,cloudflare.com,Technology
21,youtube.com,Video Streaming
22,googleusercontent.com,Content Servers
23,apple-dns.net,Content Servers
24,akamai.net,Content Servers
25,whatsapp.net,Instant Messengers;Internet Phone & VOIP
26,gvt2.com,Content Servers
27,trafficmanager.net,Information Technology;Content Servers
28,windows.net,Technology
29,microsoftonline.com,Technology
30,icloud.com,File Sharing;Content Servers
31,googlevideo.com,Search Engines;Video Streaming
32,instagram.com,Social Networks
33,msn.com,News & Media
34,cloudfront.net,Content Servers;Science;Technology
35,outlook.com,Webmail
36,google-analytics.com,Business;Technology
37,tiktokcdn.com,Content Servers;Social Networks
38,cloudflare-dns.com,Content Servers
39,fbcdn.net,Social Networks
40,lencr.org,Information Technology
41,skype.com,Instant Messengers;Internet Phone & VOIP
42,windowsupdate.com,Information Technology;Business
43,sharepoint.com,File Sharing;Technology
44,aaplimg.com,Information Technology;Content Servers;Technology
45,yahoo.com,News & Media
46,snapchat.com,Social Networks
47,adnxs.com,Content Servers
48,googleadservices.com,Advertisements
49,tiktokv.com,Social Networks;Video Streaming
50,msftncsi.com,Content Servers
51,ui.com,Technology
52,amazon-adsystem.com,Advertisements
53,googletagmanager.com,Content Servers
54,linkedin.com,Professional Networking
55,cdn77.org,Content Servers
56,ytimg.com,Content Servers
57,fastly.net,Information Security;Information Technology;Technology
58,azureedge.net,Content Servers
59,ubuntu.com,Technology
60,windows.com,Information Technology
61,rubiconproject.com,Advertisements
62,akamaized.net,Content Servers
63,adobe.io,Business;Technology
64,criteo.com,Business
65,pki.goog,Information Security
66,amazon.com,Ecommerce
67,smartadserver.com,Advertisements
68,msedge.net,Content Servers
69,google.be,Search Engines
70,mozilla.com,Information Technology
71,nr-data.net,Content Servers
72,gvt1.com,Content Servers
73,pubmatic.com,Business;Technology
74,netflix.com,Movies;Video Streaming
75,digicert.com,Information Security
76,dropbox.com,File Sharing
77,dns.google,Information Technology
78,gmail.com,Webmail
79,sentry.io,Business
80,msftconnecttest.com,Content Servers
81,app-measurement.com,APIs
82,slack.com,Instant Messengers
83,github.com,Technology
84,2mdn.net,Content Servers
85,msidentity.com,Information Technology
86,launchdarkly.com,Business
87,appcenter.ms,Technology
88,casalemedia.com,Advertisements
89,bytefcdn-oversea.com,
90,twitter.com,Social Networks
91,adobe.com,Technology
92,app-analytics-services.com,Content Servers
93,cdninstagram.com,Content Servers
94,brave.com,Information Technology
95,scorecardresearch.com,Business
96,clarity.ms,Content Servers
97,scdn.co,Content Servers
98,ggpht.com,Content Servers
99,edgekey.net,Information Technology;Content Servers
100,taboola.com,Business;Advertisements
