rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,googleapis.com,Content Servers;Personal Blogs
4,facebook.com,Social Networks
5,microsoft.com,Information Technology;Business
6,whatsapp.net,Instant Messengers;Internet Phone & VOIP
7,tiktokcdn.com,Content Servers;Social Networks
8,tiktokv.com,Social Networks;Video Streaming
9,doubleclick.net,Advertisements
10,gvt2.com,Content Servers
11,fbcdn.net,Social Networks
12,youtube.com,Video Streaming
13,shalltry.com,Content Servers
14,googleusercontent.com,Content Servers
15,akamai.net,Content Servers
16,cloudflare.com,Technology
17,apple.com,Information Technology;Technology
18,snapchat.com,Social Networks
19,kaspersky.com,Technology
20,ytimg.com,Content Servers
21,cdn77.org,Content Servers
22,googlevideo.com,Search Engines;Video Streaming
23,bing.com,Search Engines
24,kaspersky-labs.com,Technology
25,akamaiedge.net,Content Servers
26,googlesyndication.com,Search Engines;Advertisements
27,instagram.com,Social Networks
28,ntp.org,Technology;Government
29,eagllwin.com,Business;Technology
30,gvt1.com,Content Servers
31,bangcdn.net,Content Servers
32,cloudflare-dns.com,Content Servers
33,whatsapp.com,Instant Messengers;Internet Phone & VOIP
34,msn.com,News & Media
35,hisavana.com,Content Servers
36,google-analytics.com,Business;Technology
37,amazonaws.com,Technology
38,ttlivecdn.com,Content Servers
39,akadns.net,Content Servers
40,live.com,Technology;Webmail
41,ui.com,Technology
42,cloudfront.net,Content Servers;Science;Technology
43,netflix.com,Movies;Video Streaming
44,amazon-adsystem.com,Advertisements
45,bytefcdn-oversea.com,
46,supapush.net,Content Servers
47,ggpht.com,Content Servers
48,v-mate.mobi,Gaming
49,ahagamecenter.com,Gaming
50,pushpong.net,Content Servers
51,msftconnecttest.com,Content Servers
52,office.com,Technology
53,googleadservices.com,Advertisements
54,yahoo.com,News & Media
55,pangle.io,Content Servers
56,palmplaystore.com,Information Technology
57,windowsupdate.com,Information Technology;Business
58,pepepush.net,Content Servers
59,googletagmanager.com,Content Servers
60,omnatuor.com,CIPA Filter;Malware
61,lencr.org,Information Technology
62,crashlytics.com,Information Technology
63,pushimg.com,Content Servers
64,applovin.com,Business;Technology
65,apple-dns.net,Content Servers
66,appsflyersdk.com,Content Servers;APIs
67,app-measurement.com,APIs
68,aaplimg.com,Information Technology;Content Servers;Technology
69,rocket-cdn.com,Content Servers
70,coogoanu.net,Content Servers
71,google.bf,Search Engines
72,byteoversea.net,Content Servers
73,qlivecdn.com,
74,akamaized.net,Content Servers
75,boomplaymusic.com,Information Technology;Music
76,xnxx-cdn.com,CIPA Filter;Pornography
77,galepush.net,Content Servers
78,android.com,Technology
79,scooper.news,News & Media;Sports
80,criteo.com,Business
81,icloud.com,File Sharing;Content Servers
82,msftncsi.com,Content Servers
83,transsion-os.com,
84,tiktokcdn-us.com,Content Servers
85,rapepush.net,Content Servers
86,lalapush.com,Content Servers
87,taboola.com,Business;Advertisements
88,bytefcdn-ttpeu.com,Content Servers
89,aliyuncs.com,Content Servers
90,mtgglobals.com,Content Servers
91,adnxs.com,Content Servers
92,smartadserver.com,Advertisements
93,sc-cdn.net,Content Servers
94,spotify.com,Audio Streaming
95,twitter.com,Social Networks
96,got-to-be.net,Parked & For Sale Domains
97,qq.com,News & Media
98,unity3d.com,Gaming;Technology
99,sunnbird.com,Business
100,linkedin.com,Professional Networking
