rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,doubleclick.net,Advertisements
8,gvt2.com,Content Servers
9,youtube.com,Video Streaming
10,googlesyndication.com,Search Engines;Advertisements
11,cloudflare.com,Technology
12,googlevideo.com,Search Engines;Video Streaming
13,live.com,Technology;Webmail
14,amazonaws.com,Technology
15,googleusercontent.com,Content Servers
16,bing.com,Search Engines
17,office.com,Technology
18,googleadservices.com,Advertisements
19,tiktokcdn.com,Content Servers;Social Networks
20,spotify.com,Audio Streaming
21,fbcdn.net,Social Networks
22,instagram.com,Social Networks
23,akadns.net,Content Servers
24,google-analytics.com,Business;Technology
25,cloudfront.net,Content Servers;Science;Technology
26,akamaiedge.net,Content Servers
27,msn.com,News & Media
28,ytimg.com,Content Servers
29,apple-dns.net,Content Servers
30,skype.com,Instant Messengers;Internet Phone & VOIP
31,ntp.org,Technology;Government
32,lencr.org,Information Technology
33,cloudflare-dns.com,Content Servers
34,amazon-adsystem.com,Advertisements
35,akamai.net,Content Servers
36,tiktokv.com,Social Networks;Video Streaming
37,googletagmanager.com,Content Servers
38,viber.com,Instant Messengers;Internet Phone & VOIP
39,icloud.com,File Sharing;Content Servers
40,windowsupdate.com,Information Technology;Business
41,msedge.net,Content Servers
42,criteo.com,Business
43,yahoo.com,News & Media
44,azure.com,Technology
45,office.net,Content Servers
46,rubiconproject.com,Advertisements
47,netflix.com,Movies;Video Streaming
48,adnxs.com,Content Servers
49,whatsapp.net,Instant Messengers;Internet Phone & VOIP
50,google.bg,Search Engines
51,smartadserver.com,Advertisements
52,aaplimg.com,Information Technology;Content Servers;Technology
53,amazon.com,Ecommerce
54,cdn77.org,Content Servers
55,linkedin.com,Professional Networking
56,casalemedia.com,Advertisements
57,microsoftonline.com,Technology
58,ggpht.com,Content Servers
59,pki.goog,Information Security
60,gvt1.com,Content Servers
61,akamaized.net,Content Servers
62,msftncsi.com,Content Servers
63,ubuntu.com,Technology
64,snapchat.com,Social Networks
65,trafficmanager.net,Information Technology;Content Servers
66,discord.com,Instant Messengers;Internet Phone & VOIP
67,mozilla.com,Information Technology
68,abv.bg,Webmail
69,pubmatic.com,Business;Technology
70,facebook.net,Social Networks
71,app-measurement.com,APIs
72,office365.com,Technology
73,dns.google,Information Technology
74,fastly.net,Information Security;Information Technology;Technology
75,windows.com,Information Technology
76,creativecdn.com,Content Servers
77,adform.net,Content Servers
78,twitter.com,Social Networks
79,clarity.ms,Content Servers
80,cdninstagram.com,Content Servers
81,lijit.com,Business
82,criteo.net,Business
83,opera.com,Technology
84,slack.com,Instant Messengers
85,azureedge.net,Content Servers
86,nr-data.net,Content Servers
87,brave.com,Information Technology
88,roblox.com,Gaming;Safe for Kids
89,digicert.com,Information Security
90,grammarly.com,Artificial Intelligence;Hobbies & Interests
91,2mdn.net,Content Servers
92,gmail.com,Webmail
93,msftconnecttest.com,Content Servers
94,openx.net,Advertisements
95,taboola.com,Business;Advertisements
96,sentry.io,Business
97,bidswitch.net,Technology
98,avast.com,Technology
99,googletagservices.com,Content Servers
100,4dex.io,Content Servers
