rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,tiktokcdn.com,Content Servers;Social Networks
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,tiktokv.com,Social Networks;Video Streaming
9,microsoft.com,Information Technology;Business
10,snapchat.com,Social Networks
11,akadns.net,Content Servers
12,instagram.com,Social Networks
13,cdn77.org,Content Servers
14,apple-dns.net,Content Servers
15,akamai.net,Content Servers
16,googlevideo.com,Search Engines;Video Streaming
17,bytefcdn-oversea.com,
18,ttlivecdn.com,Content Servers
19,fbcdn.net,Social Networks
20,office.com,Technology
21,youtube.com,Video Streaming
22,googleusercontent.com,Content Servers
23,doubleclick.net,Advertisements
24,icloud.com,File Sharing;Content Servers
25,ytimg.com,Content Servers
26,akamaiedge.net,Content Servers
27,aaplimg.com,Information Technology;Content Servers;Technology
28,googlesyndication.com,Search Engines;Advertisements
29,amazonaws.com,Technology
30,sc-cdn.net,Content Servers
31,cloudfront.net,Content Servers;Science;Technology
32,cloudflare.com,Technology
33,gvt2.com,Content Servers
34,bytefcdn-ttpeu.com,Content Servers
35,app-measurement.com,APIs
36,spotify.com,Audio Streaming
37,bing.com,Search Engines
38,office365.com,Technology
39,rocket-cdn.com,Content Servers
40,azure.com,Technology
41,cdninstagram.com,Content Servers
42,ggpht.com,Content Servers
43,google-analytics.com,Business;Technology
44,fastly.net,Information Security;Information Technology;Technology
45,live.com,Technology;Webmail
46,pki.goog,Information Security
47,googleadservices.com,Advertisements
48,sc-gw.com,Content Servers
49,googletagmanager.com,Content Servers
50,qlivecdn.com,
51,amazon-adsystem.com,Advertisements
52,netflix.com,Movies;Video Streaming
53,wsdvs.com,Content Servers
54,twitter.com,Social Networks
55,yahoo.com,News & Media
56,applovin.com,Gaming
57,app-analytics-services.com,Content Servers
58,digicert.com,Information Security
59,microsoftonline.com,Technology
60,appsflyersdk.com,Content Servers;APIs
61,office.net,Content Servers
62,atomile.com,No Content
63,gmail.com,Webmail
64,unity3d.com,Gaming;Technology
65,pangle.io,Content Servers
66,linkedin.com,Professional Networking
67,cdn-apple.com,Content Servers
68,twimg.com,Content Servers
69,ttdns2.com,
70,outlook.com,Webmail
71,byteoversea.net,Content Servers
72,google.com.bh,Search Engines
73,ampproject.org,Information Technology
74,ntp.org,Technology;Government
75,crashlytics.com,Information Technology
76,amazon.com,Ecommerce
77,trafficmanager.net,Content Servers
78,appsflyer.com,Business;Technology
79,ovscdns.net,Content Servers
80,whatsapp.com,Instant Messengers;Internet Phone & VOIP
81,tiktokcdn-us.com,Content Servers
82,skype.com,Instant Messengers;Internet Phone & VOIP
83,byteglb.com,
84,appcenter.ms,Technology
85,safebrowsing.apple,Content Servers
86,bytetcdn.com,Content Servers
87,mzstatic.com,Information Technology;Technology
88,one.one,Information Technology
89,ttoverseaus.net,Content Servers
90,rubiconproject.com,Advertisements
91,gvt1.com,Content Servers
92,msn.com,News & Media
93,facebook.net,Social Networks
94,cloudflare-dns.com,Content Servers
95,adnxs.com,Content Servers
96,android.com,Technology
97,lencr.org,Information Technology
98,sharepoint.com,File Sharing;Technology
99,taobao.com,Ecommerce
100,windows.net,Technology
