rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,apple.com,Information Technology;Technology
4,gstatic.com,Content Servers
5,googleapis.com,Content Servers;Personal Blogs
6,live.com,Technology;Webmail
7,msn.com,News & Media
8,office.com,Technology
9,icloud.com,File Sharing;Content Servers
10,whatsapp.net,Instant Messengers;Internet Phone & VOIP
11,facebook.com,Social Networks
12,dropbox.com,File Sharing
13,yahoo.com,News & Media
14,ruckuswireless.com,Technology
15,akadns.net,Content Servers
16,amazonaws.com,Technology
17,doubleclick.net,Advertisements
18,bing.com,Search Engines
19,apple-dns.net,Content Servers
20,windows.com,Information Technology
21,cloudfront.net,Content Servers;Science;Technology
22,starlink.com,Information Technology
23,gmail.com,Webmail
24,cisco.com,Technology
25,avast.com,Technology
26,microsoftonline.com,Technology
27,windows.net,Technology
28,my2n.com,Content Servers
29,yahoodns.net,Content Servers
30,fbcdn.net,Social Networks
31,aaplimg.com,Information Technology;Content Servers;Technology
32,skype.com,Instant Messengers;Internet Phone & VOIP
33,lencr.org,Information Technology
34,avcdn.net,Content Servers
35,akamaized.net,Content Servers
36,snapchat.com,Social Networks
37,netflix.com,Movies;Video Streaming
38,office365.com,Technology
39,google-analytics.com,Business;Technology
40,cloudflare.com,Technology
41,windowsupdate.com,Information Technology;Business
42,adobe.io,Business;Technology
43,nr-data.net,Content Servers
44,office.net,Content Servers
45,googleadservices.com,Advertisements
46,gvt2.com,Content Servers
47,slack.com,Instant Messengers
48,canva.com,Hobbies & Interests
49,akamai.net,Content Servers
50,fastly.net,Information Security;Information Technology;Technology
51,clarity.ms,Content Servers
52,akamaiedge.net,Content Servers
53,ntp.org,Technology;Government
54,sc-gw.com,Content Servers
55,pki.goog,Information Security
56,mozilla.org,Technology
57,gamepass.com,Gaming;Information Technology
58,mcafee.com,Technology
59,phncdn.com,CIPA Filter;Pornography
60,my3cx.fr,Technology
61,googletagmanager.com,Content Servers
62,orange.fr,Information Technology
63,discord.com,Instant Messengers;Internet Phone & VOIP
64,solutech.com,Information Technology
65,mozilla.com,Information Technology
66,lenovo.com,Technology
67,a2z.com,Content Servers
68,linkedin.com,Professional Networking
69,ampproject.org,Information Technology
70,3gppnetwork.org,Content Servers
71,stickyadstv.com,Business
72,tiktok.com,Social Networks;Video Streaming;Advertisements
73,cookielaw.org,Information Security;Politics, Advocacy, and Government-Related
74,opera.com,Technology
75,onetrust.com,Business
76,fontawesome.com,Information Technology;Hobbies & Interests
77,vimeocdn.com,Content Servers
77,bluekai.com,Technology
79,moatads.com,Business;Technology
80,eset.com,Technology
81,trafficmanager.net,Information Technology;Content Servers
82,azure.com,Technology
83,auteltech.net,Content Servers
84,epicgames.com,Ecommerce;Gaming
85,msftncsi.com,Content Servers
86,e5.sk,Content Servers
87,cdninstagram.com,Content Servers
88,canal-plus.com,Content Servers
89,amazon-adsystem.com,Advertisements
90,adobe.com,Technology
91,jsdelivr.net,Content Servers
92,twitter.com,Social Networks
93,ovh.net,Information Technology
94,canalplustech.pro,Content Servers
95,msedge.net,Content Servers
96,nvidia.com,Technology
97,smartthings.com,Technology
98,lefigaro.fr,News & Media;Video Streaming
99,virtualearth.net,Education
100,lcl.fr,Economy & Finance
