rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,tiktokcdn.com,Content Servers;Social Networks
6,microsoft.com,Information Technology;Business
7,doubleclick.net,Advertisements
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,gvt2.com,Content Servers
10,instagram.com,Social Networks
11,youtube.com,Video Streaming
12,tiktokv.com,Social Networks;Video Streaming
13,googlevideo.com,Search Engines;Video Streaming
14,googlesyndication.com,Search Engines;Advertisements
15,apple.com,Information Technology;Technology
16,kwai.net,File Sharing
17,googleusercontent.com,Content Servers
18,bing.com,Search Engines
19,netflix.com,Movies;Video Streaming
20,ytimg.com,Content Servers
21,spotify.com,Audio Streaming
22,fbcdn.net,Social Networks
23,amazon.com,Ecommerce
24,googleadservices.com,Advertisements
25,google.com.br,Search Engines
26,live.com,Technology;Webmail
27,cloudfront.net,Content Servers;Science;Technology
28,google-analytics.com,Business;Technology
29,akamai.net,Content Servers
30,amazonaws.com,Technology
31,cloudflare.com,Technology
32,cdn77.org,Content Servers
33,office.com,Technology
34,akadns.net,Content Servers
35,globo.com,News & Media
36,ttlivecdn.com,Content Servers
37,amazon-adsystem.com,Advertisements
38,msn.com,News & Media
39,kwai-pro.com,Content Servers
40,apple-dns.net,Content Servers
41,akamaiedge.net,Content Servers
42,whatsapp.com,Instant Messengers;Internet Phone & VOIP
43,ntp.org,Technology;Government
44,googletagmanager.com,Content Servers
45,ggpht.com,Content Servers
46,icloud.com,File Sharing;Content Servers
47,adnxs.com,Content Servers
48,baidu.com,Search Engines
49,root-servers.net,Technology
50,smartadserver.com,Advertisements
51,bytefcdn-oversea.com,
52,cloudflare-dns.com,Content Servers
53,criteo.com,Business
54,rubiconproject.com,Advertisements
55,yahoo.com,News & Media
56,roblox.com,Gaming;Safe for Kids
57,skype.com,Instant Messengers;Internet Phone & VOIP
58,taboola.com,Business;Advertisements
59,shopee.com.br,Ecommerce
60,cdninstagram.com,Content Servers
61,ampproject.org,Information Technology
62,akamaized.net,Content Servers
63,office.net,Content Servers
64,clarity.ms,Content Servers
65,gvt1.com,Content Servers
66,dns.google,Information Technology
67,facebook.net,Social Networks
68,aaplimg.com,Information Technology;Content Servers;Technology
69,linkedin.com,Professional Networking
70,pubmatic.com,Business;Technology
71,pangle.io,Content Servers
72,kwaipros.com,
73,rbxcdn.com,Content Servers
74,app-measurement.com,APIs
75,nubank.com.br,Economy & Finance;Business
76,a2z.com,Content Servers
77,unity3d.com,Gaming;Technology
78,scorecardresearch.com,Business
79,appsflyer.com,Business;Technology
80,applovin.com,Gaming
81,2mdn.net,Content Servers
82,appsflyersdk.com,Content Servers;APIs
83,android.com,Technology
84,uol.com.br,News & Media
85,ap4r.com,Content Servers
86,windows.com,Information Technology
87,mythad.com,Business;Vehicles
88,xiaomi.com,Technology
89,twitter.com,Social Networks
90,opera.com,Technology
91,office365.com,Technology
92,appcenter.ms,Technology
93,bytefcdn-ttpeu.com,Content Servers
94,wikipedia.org,Education
95,xvideos-cdn.com,CIPA Filter;Pornography
96,doubleverify.com,Business;Technology
97,windowsupdate.com,Information Technology;Business
98,nflxso.net,Content Servers
99,casalemedia.com,Advertisements
100,microsoftonline.com,Technology
