rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,googleapis.com,Content Servers;Personal Blogs
4,microsoft.com,Information Technology;Business
5,gvt2.com,Content Servers
6,facebook.com,Social Networks
7,tiktokcdn.com,Content Servers;Social Networks
8,tiktokv.com,Social Networks;Video Streaming
9,youtube.com,Video Streaming
10,apple.com,Information Technology;Technology
11,googlevideo.com,Search Engines;Video Streaming
12,fbcdn.net,Social Networks
13,cdn77.org,Content Servers
14,whatsapp.net,Instant Messengers;Internet Phone & VOIP
15,doubleclick.net,Advertisements
16,googleusercontent.com,Content Servers
17,akamai.net,Content Servers
18,bing.com,Search Engines
19,ytimg.com,Content Servers
20,bytefcdn-oversea.com,
21,live.com,Technology;Webmail
22,akadns.net,Content Servers
23,apple-dns.net,Content Servers
24,cloudflare.com,Technology
25,instagram.com,Social Networks
26,akamaiedge.net,Content Servers
27,cloudflare-dns.com,Content Servers
28,msn.com,News & Media
29,googleadservices.com,Advertisements
30,ttlivecdn.com,Content Servers
31,google-analytics.com,Business;Technology
32,spotify.com,Audio Streaming
33,ggpht.com,Content Servers
34,qlivecdn.com,
35,icloud.com,File Sharing;Content Servers
36,snapchat.com,Social Networks
37,office.com,Technology
38,googlesyndication.com,Search Engines;Advertisements
39,aaplimg.com,Information Technology;Content Servers;Technology
40,gvt1.com,Content Servers
41,amazonaws.com,Technology
42,google.bt,Search Engines
43,rocket-cdn.com,Content Servers
44,netflix.com,Movies;Video Streaming
45,amazon-adsystem.com,Advertisements
46,bytefcdn-ttpeu.com,Content Servers
47,akamaized.net,Content Servers
48,cloudfront.net,Content Servers;Science;Technology
49,qq.com,News & Media
50,googletagmanager.com,Content Servers
51,skype.com,Instant Messengers;Internet Phone & VOIP
52,atomile.com,No Content
53,linkedin.com,Professional Networking
54,vivoglobal.com,Technology
55,ampproject.org,Information Technology
56,office.net,Content Servers
57,app-measurement.com,APIs
58,yahoo.com,News & Media
59,grammarly.io,Information Technology;Content Servers
60,applovin.com,Gaming
61,grammarly.com,Artificial Intelligence;Hobbies & Interests
62,smartadserver.com,Advertisements
63,chatgpt.com,Artificial Intelligence;Chat
64,roblox.com,Gaming;Safe for Kids
65,wechat.com,Instant Messengers;Internet Phone & VOIP
66,ntp.org,Technology;Government
67,fastly.net,Information Security;Information Technology;Technology
68,criteo.com,Business
69,rubiconproject.com,Advertisements
70,sc-cdn.net,Content Servers
71,microsoftonline.com,Technology
72,msftncsi.com,Content Servers
73,adobe.com,Technology
74,byteoversea.net,Content Servers
75,inmobi.com,Business
76,unity3d.com,Gaming;Technology
77,azureedge.net,Content Servers
78,wsdvs.com,Content Servers
79,clarity.ms,Content Servers
80,azure.com,Technology
81,adnxs.com,Content Servers
82,pki.goog,Information Security
83,facebook.net,Social Networks
84,whatsapp.com,Instant Messengers;Internet Phone & VOIP
85,appsflyersdk.com,Content Servers;APIs
86,byteoversea.com,Content Servers
87,capcutapi.com,Parked & For Sale Domains
88,pubmatic.com,Business;Technology
89,digicert.com,Information Security
90,miui.com,Technology
91,tiktokcdn-us.com,Content Servers
92,mcafee.com,Technology
93,rbxcdn.com,Content Servers
94,canva.com,Hobbies & Interests
95,app-analytics-services.com,Content Servers
96,android.com,Technology
97,avcdn.net,Content Servers
98,cdninstagram.com,Content Servers
99,sharepoint.com,File Sharing;Technology
100,brave.com,Information Technology
