rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,gstatic.com,Content Servers
4,googleapis.com,Content Servers;Personal Blogs
5,facebook.com,Social Networks
6,tiktokcdn.com,Content Servers;Social Networks
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,apple.com,Information Technology;Technology
9,tiktokv.com,Social Networks;Video Streaming
10,bing.com,Search Engines
11,msn.com,News & Media
12,akamai.net,Content Servers
13,live.com,Technology;Webmail
14,office.com,Technology
15,gvt2.com,Content Servers
16,googlevideo.com,Search Engines;Video Streaming
17,youtube.com,Video Streaming
18,doubleclick.net,Advertisements
19,shalltry.com,Content Servers
20,googleusercontent.com,Content Servers
21,amazonaws.com,Technology
22,msftncsi.com,Content Servers
23,akamaiedge.net,Content Servers
24,akadns.net,Content Servers
25,apple-dns.net,Content Servers
26,cloudflare-dns.com,Content Servers
27,skype.com,Instant Messengers;Internet Phone & VOIP
28,office.net,Content Servers
29,fbcdn.net,Social Networks
30,aaplimg.com,Information Technology;Content Servers;Technology
31,cdn77.org,Content Servers
32,windows.com,Information Technology
33,icloud.com,File Sharing;Content Servers
34,ytimg.com,Content Servers
35,googlesyndication.com,Search Engines;Advertisements
36,msftconnecttest.com,Content Servers
37,instagram.com,Social Networks
38,windowsupdate.com,Information Technology;Business
39,cloudfront.net,Content Servers;Science;Technology
40,gvt1.com,Content Servers
41,cloudflare.com,Technology
42,snapchat.com,Social Networks
43,bytefcdn-oversea.com,
44,ntp.org,Technology;Government
45,netflix.com,Movies;Video Streaming
46,lencr.org,Information Technology
47,ui.com,Technology
48,ttlivecdn.com,Content Servers
49,whatsapp.com,Instant Messengers;Internet Phone & VOIP
50,qq.com,News & Media
51,pki.goog,Information Security
52,bangcdn.net,Content Servers
53,google-analytics.com,Business;Technology
54,kaspersky.com,Technology
55,akamaized.net,Content Servers
56,spotify.com,Audio Streaming
57,dns.google,Information Technology
58,baidu.com,Search Engines
59,bytefcdn-ttpeu.com,Content Servers
60,opera.com,Technology
61,azure.com,Technology
62,yahoo.com,News & Media
63,googleadservices.com,Advertisements
64,app-measurement.com,APIs
65,msedge.net,Content Servers
66,sharepoint.com,File Sharing;Technology
67,microsoftonline.com,Technology
68,amazon-adsystem.com,Advertisements
69,office365.com,Technology
70,google.cd,Search Engines
71,kaspersky-labs.com,Technology
72,adnxs.com,Content Servers
73,azureedge.net,Content Servers
74,digicert.com,Information Security
75,qlivecdn.com,
76,xnxx-cdn.com,CIPA Filter;Pornography
77,appcenter.ms,Technology
78,palmplaystore.com,Information Technology
79,wsdvs.com,Content Servers
80,ggpht.com,Content Servers
81,googletagmanager.com,Content Servers
82,applovin.com,Business;Technology
83,rocket-cdn.com,Content Servers
84,linkedin.com,Professional Networking
85,trafficmanager.net,Information Technology;Content Servers
86,fastly.net,Information Security;Information Technology;Technology
87,v-mate.mobi,Gaming
88,mozilla.com,Information Technology
89,android.com,Technology
90,avast.com,Technology
91,avcdn.net,Content Servers
92,mtgglobals.com,Content Servers
93,windows.net,Technology
94,atomile.com,No Content
95,hisavana.com,Content Servers
96,byteoversea.net,Content Servers
97,appsflyersdk.com,Content Servers;APIs
98,anydesk.com,Information Technology
99,amazon.com,Ecommerce
100,rubiconproject.com,Advertisements
