rank,domain,categories
1,googleapis.com,Content Servers;Personal Blogs
2,google.com,Search Engines
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,tiktokcdn.com,Content Servers;Social Networks
6,tiktokv.com,Social Networks;Video Streaming
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,microsoft.com,Information Technology;Business
9,apple.com,Information Technology;Technology
10,akamai.net,Content Servers
11,youtube.com,Video Streaming
12,doubleclick.net,Advertisements
13,googleusercontent.com,Content Servers
14,snapchat.com,Social Networks
15,googlevideo.com,Search Engines;Video Streaming
16,akamaiedge.net,Content Servers
17,cdn77.org,Content Servers
18,ytimg.com,Content Servers
19,fbcdn.net,Social Networks
20,shalltry.com,Content Servers
21,gvt2.com,Content Servers
22,instagram.com,Social Networks
23,bytefcdn-oversea.com,
24,bing.com,Search Engines
25,akadns.net,Content Servers
26,live.com,Technology;Webmail
27,googlesyndication.com,Search Engines;Advertisements
28,cloudflare-dns.com,Content Servers
29,office.com,Technology
30,google-analytics.com,Business;Technology
31,apple-dns.net,Content Servers
32,ttlivecdn.com,Content Servers
33,icloud.com,File Sharing;Content Servers
34,skype.com,Instant Messengers;Internet Phone & VOIP
35,whatsapp.com,Instant Messengers;Internet Phone & VOIP
36,gvt1.com,Content Servers
37,netflix.com,Movies;Video Streaming
38,amazonaws.com,Technology
39,yahoo.com,News & Media
40,app-measurement.com,APIs
41,bytefcdn-ttpeu.com,Content Servers
42,amazon-adsystem.com,Advertisements
43,aaplimg.com,Information Technology;Content Servers;Technology
44,ntp.org,Technology;Government
45,cloudflare.com,Technology
46,rocket-cdn.com,Content Servers
47,msn.com,News & Media
48,googleadservices.com,Advertisements
49,cloudfront.net,Content Servers;Science;Technology
50,pepepush.net,Content Servers
51,spotify.com,Audio Streaming
52,bangcdn.net,Content Servers
53,lalapush.com,Content Servers
54,ggpht.com,Content Servers
55,sporty-tech.net,Personal Blogs
56,sc-cdn.net,Content Servers
57,googletagmanager.com,Content Servers
58,jagnoans.com,Content Servers
59,qlivecdn.com,
60,pubmatic.com,Business;Technology
61,amazon.com,Ecommerce
62,linkedin.com,Professional Networking
63,omnatuor.com,CIPA Filter;Malware
64,office365.com,Technology
65,supapush.net,Content Servers
66,pushimg.com,Content Servers
67,hisavana.com,Content Servers
68,alicdn.com,Content Servers
69,applovin.com,Gaming
70,lencr.org,Information Technology
71,coogoanu.net,Content Servers
72,windowsupdate.com,Information Technology;Business
73,atomile.com,No Content
74,cdn-apple.com,Content Servers
75,baidu.com,Search Engines
76,google.cg,Search Engines
77,appsflyersdk.com,Content Servers;APIs
78,microsoftonline.com,Technology
79,criteo.com,Business
80,rapepush.net,Content Servers
81,xnxx-cdn.com,CIPA Filter;Pornography
82,opera.com,Technology
83,dns.google,Information Technology
84,office.net,Content Servers
85,byteoversea.net,Content Servers
86,windows.com,Information Technology
87,unity3d.com,Gaming;Technology
88,mtgglobals.com,Content Servers
89,eagllwin.com,
90,avast.com,Technology
91,rubiconproject.com,Advertisements
92,galepush.net,Content Servers
93,congobet.net,Gambling;CIPA Filter
94,fastly.net,Information Security;Information Technology;Technology
95,msftconnecttest.com,Content Servers
96,azure.com,Technology
97,gmail.com,Webmail
98,pinterest.com,Photography;Social Networks
99,adnxs.com,Content Servers
100,app-analytics-services.com,Content Servers
