rank,domain,categories
1,gstatic.com,Content Servers
2,netflix.com,Movies;Video Streaming
3,google.com,Search Engines
4,gvt2.com,Content Servers
5,googlevideo.com,Search Engines;Video Streaming
6,microsoft.com,Information Technology;Business
7,googleapis.com,Content Servers;Personal Blogs
8,roblox.com,Gaming;Safe for Kids
9,doubleclick.net,Advertisements
10,facebook.com,Social Networks
11,tiktokcdn.com,Content Servers;Social Networks
12,live.com,Technology;Webmail
13,grammarly.io,Information Technology;Content Servers
14,youtube.com,Video Streaming
15,apple.com,Information Technology;Technology
16,office.net,Content Servers
17,apple-dns.net,Content Servers
18,dropbox.com,File Sharing
19,tiktokv.com,Social Networks;Video Streaming
20,sharepoint.com,File Sharing;Technology
21,spotify.com,Audio Streaming
22,akadns.net,Content Servers
23,bing.com,Search Engines
24,ytimg.com,Content Servers
25,microsoftonline.com,Technology
26,msn.com,News & Media
27,googlesyndication.com,Search Engines;Advertisements
28,icloud.com,File Sharing;Content Servers
29,instagram.com,Social Networks
30,akamaiedge.net,Content Servers
31,azure.com,Technology
32,googleusercontent.com,Content Servers
33,lencr.org,Information Technology
34,office.com,Technology
35,adnxs.com,Content Servers
35,pubmatic.com,Business;Technology
37,fbcdn.net,Social Networks
38,amazon.com,Ecommerce
39,google.co.ck,Search Engines
40,app-analytics-services.com,Content Servers
41,rubiconproject.com,Advertisements
41,grammarly.com,Artificial Intelligence;Hobbies & Interests
43,teads.tv,Advertisements
44,smartadserver.com,Advertisements
45,skype.com,Instant Messengers;Internet Phone & VOIP
46,akamai.net,Content Servers
47,surfshark.com,CIPA Filter;Anonymizer
48,aaplimg.com,Information Technology;Content Servers;Technology
49,cdn77.org,Content Servers
50,bytefcdn-oversea.com,
51,whatsapp.net,Instant Messengers;Internet Phone & VOIP
52,applovin.com,Business;Technology
53,gvt1.com,Content Servers
54,windows.com,Information Technology
55,ttlivecdn.com,Content Servers
56,imrworldwide.com,Content Servers
57,nr-data.net,Content Servers
58,eset.com,Technology
59,amazonaws.com,Technology
60,cloudfront.net,Content Servers;Science;Technology
61,yahoo.com,News & Media
62,a2z.com,Content Servers
63,joinhoney.com,Coupons
64,office365.com,Technology
65,ntp.org,Technology;Government
66,snapchat.com,Social Networks
67,unity3d.com,Gaming;Technology
68,app-measurement.com,APIs
69,qlivecdn.com,
70,pki.goog,Information Security
71,amazon-adsystem.com,Advertisements
72,3gppnetwork.org,Content Servers
73,msftncsi.com,Content Servers
74,akamaized.net,Content Servers
75,windowsupdate.com,Information Technology;Business
76,xero.com,Economy & Finance;Business
77,msedge.net,Content Servers
78,fbpigeon.com,Social Networks
79,rbxcdn.com,Content Servers
80,3lift.com,Business
81,google-analytics.com,Business;Technology
81,ubnt.com,Technology;Advertisements
83,demdex.net,Technology
84,4dex.io,Content Servers
84,facebook.net,Social Networks
86,booking.com,Travel
87,appcenter.ms,Technology
88,adobe.com,Technology
89,viber.com,Instant Messengers;Internet Phone & VOIP
90,crashlytics.com,Information Technology
91,digicert.com,Information Security
92,openx.net,Advertisements
93,criteo.net,Business
93,mcafee.com,Technology
95,nflxso.net,Content Servers
96,azurefd.net,Economy & Finance;Business;Content Servers
97,fastly.net,Information Security;Information Technology;Technology
98,ggpht.com,Content Servers
99,ampproject.org,Information Technology
100,sc-gw.com,Content Servers
