rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,tiktokcdn.com,Content Servers;Social Networks
7,gvt2.com,Content Servers
8,doubleclick.net,Advertisements
9,youtube.com,Video Streaming
10,whatsapp.net,Instant Messengers;Internet Phone & VOIP
11,instagram.com,Social Networks
12,apple.com,Information Technology;Technology
13,googlevideo.com,Search Engines;Video Streaming
14,live.com,Technology;Webmail
15,office.com,Technology
16,spotify.com,Audio Streaming
17,googlesyndication.com,Search Engines;Advertisements
18,googleusercontent.com,Content Servers
19,amazonaws.com,Technology
20,cloudfront.net,Content Servers;Science;Technology
21,bing.com,Search Engines
22,cloudflare.com,Technology
23,tiktokv.com,Social Networks;Video Streaming
24,ytimg.com,Content Servers
25,office.net,Content Servers
26,msn.com,News & Media
27,googleadservices.com,Advertisements
28,google-analytics.com,Business;Technology
29,fbcdn.net,Social Networks
30,google.cl,Search Engines
31,akadns.net,Content Servers
32,cloudflare-dns.com,Content Servers
33,akamai.net,Content Servers
34,netflix.com,Movies;Video Streaming
35,akamaiedge.net,Content Servers
36,apple-dns.net,Content Servers
37,rubiconproject.com,Advertisements
38,ggpht.com,Content Servers
39,ntp.org,Technology;Government
40,googletagmanager.com,Content Servers
41,amazon-adsystem.com,Advertisements
42,adnxs.com,Content Servers
43,office365.com,Technology
44,icloud.com,File Sharing;Content Servers
45,lencr.org,Information Technology
46,cdn77.org,Content Servers
47,azure.com,Technology
48,skype.com,Instant Messengers;Internet Phone & VOIP
49,yahoo.com,News & Media
50,whatsapp.com,Instant Messengers;Internet Phone & VOIP
51,smartadserver.com,Advertisements
52,criteo.com,Business
53,windowsupdate.com,Information Technology;Business
54,microsoftonline.com,Technology
55,akamaized.net,Content Servers
56,amazon.com,Ecommerce
57,pubmatic.com,Business;Technology
58,linkedin.com,Professional Networking
59,twitter.com,Social Networks
60,nr-data.net,Content Servers
61,aaplimg.com,Information Technology;Content Servers;Technology
62,ttlivecdn.com,Content Servers
63,opera.com,Technology
64,scorecardresearch.com,Business
65,mdstrm.com,Business
66,sharepoint.com,File Sharing;Technology
67,gvt1.com,Content Servers
68,windows.net,Technology
69,windows.com,Information Technology
70,dns.google,Information Technology
71,outlook.com,Webmail
72,facebook.net,Social Networks
73,roblox.com,Gaming;Safe for Kids
74,trafficmanager.net,Information Technology;Content Servers
75,bytefcdn-oversea.com,
76,cdninstagram.com,Content Servers
77,2mdn.net,Content Servers
78,clarity.ms,Content Servers
79,scdn.co,Content Servers
80,casalemedia.com,Advertisements
81,aliexpress.com,Ecommerce
82,azureedge.net,Content Servers
83,ampproject.org,Information Technology
84,bidswitch.net,Technology
85,bamgrid.com,Content Servers
86,taboola.com,Business;Advertisements
87,openx.net,Advertisements
88,unity3d.com,Gaming;Technology
89,gmail.com,Webmail
90,pki.goog,Information Security
91,twimg.com,Content Servers
92,demdex.net,Technology
93,sentry.io,Business
94,digicert.com,Information Security
95,msftncsi.com,Content Servers
96,avcdn.net,Content Servers
97,a2z.com,Content Servers
98,appcenter.ms,Technology
99,lijit.com,Business
100,discord.com,Instant Messengers;Internet Phone & VOIP
