rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,tiktokcdn.com,Content Servers;Social Networks
6,facebook.com,Social Networks
7,tiktokv.com,Social Networks;Video Streaming
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,office.com,Technology
10,apple.com,Information Technology;Technology
11,doubleclick.net,Advertisements
12,live.com,Technology;Webmail
13,youtube.com,Video Streaming
14,gvt2.com,Content Servers
15,cloudfront.net,Content Servers;Science;Technology
16,instagram.com,Social Networks
17,amazonaws.com,Technology
18,spotify.com,Audio Streaming
19,akamai.net,Content Servers
20,akamaiedge.net,Content Servers
21,akadns.net,Content Servers
22,cdn77.org,Content Servers
23,googlevideo.com,Search Engines;Video Streaming
24,bing.com,Search Engines
25,office.net,Content Servers
26,googleusercontent.com,Content Servers
27,googlesyndication.com,Search Engines;Advertisements
28,fbcdn.net,Social Networks
29,amazon.com,Ecommerce
30,msn.com,News & Media
31,icloud.com,File Sharing;Content Servers
32,apple-dns.net,Content Servers
33,netflix.com,Movies;Video Streaming
34,ytimg.com,Content Servers
35,cloudflare.com,Technology
36,cloudflare-dns.com,Content Servers
37,googleadservices.com,Advertisements
38,office365.com,Technology
39,ttlivecdn.com,Content Servers
40,skype.com,Instant Messengers;Internet Phone & VOIP
41,ntp.org,Technology;Government
42,microsoftonline.com,Technology
43,aaplimg.com,Information Technology;Content Servers;Technology
44,google-analytics.com,Business;Technology
45,yahoo.com,News & Media
46,bytefcdn-oversea.com,
47,azure.com,Technology
48,whatsapp.com,Instant Messengers;Internet Phone & VOIP
49,snapchat.com,Social Networks
50,amazon-adsystem.com,Advertisements
51,sharepoint.com,File Sharing;Technology
52,google.co.cr,Search Engines
53,trafficmanager.net,Information Technology;Content Servers
54,windows.net,Technology
55,googletagmanager.com,Content Servers
56,rubiconproject.com,Advertisements
57,akamaized.net,Content Servers
58,ggpht.com,Content Servers
59,windowsupdate.com,Information Technology;Business
60,dropbox.com,File Sharing
61,adnxs.com,Content Servers
62,outlook.com,Webmail
63,dns.google,Information Technology
64,unity3d.com,Gaming;Technology
65,linkedin.com,Professional Networking
66,twitter.com,Social Networks
67,windows.com,Information Technology
68,bytefcdn-ttpeu.com,Content Servers
69,lencr.org,Information Technology
70,pki.goog,Information Security
71,pubmatic.com,Business;Technology
72,msftncsi.com,Content Servers
73,fastly.net,Information Security;Information Technology;Technology
74,digicert.com,Information Security
75,ui.com,Technology
76,qlivecdn.com,
77,msedge.net,Content Servers
78,tiktokcdn-us.com,Content Servers
79,cdninstagram.com,Content Servers
80,grammarly.com,Artificial Intelligence;Hobbies & Interests
81,appsflyersdk.com,Content Servers;APIs
82,canva.com,Hobbies & Interests
83,app-measurement.com,APIs
84,scdn.co,Content Servers
85,gvt1.com,Content Servers
86,go.cr,
87,rocket-cdn.com,Content Servers
88,gmail.com,Webmail
89,adobe.com,Technology
90,a2z.com,Content Servers
91,criteo.com,Business
92,adobe.io,Business;Technology
93,baidu.com,Search Engines
94,facebook.net,Social Networks
95,avast.com,Technology
96,clarity.ms,Content Servers
97,slack.com,Instant Messengers
98,smartadserver.com,Advertisements
99,azureedge.net,Content Servers
100,nr-data.net,Content Servers
