rank,domain,categories
1,cloudflare.com,Technology
2,google.com,Search Engines
3,facebook.com,Social Networks
4,googleapis.com,Content Servers;Personal Blogs
5,gstatic.com,Content Servers
6,microsoft.com,Information Technology;Business
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,fbcdn.net,Social Networks
9,ntp.org,Technology;Government
10,doubleclick.net,Advertisements
11,googlevideo.com,Search Engines;Video Streaming
12,cloudfront.net,Content Servers;Science;Technology
13,gvt2.com,Content Servers
14,bing.com,Search Engines
15,akamaiedge.net,Content Servers
16,ytimg.com,Content Servers
17,akadns.net,Content Servers
18,apple.com,Information Technology;Technology
19,windows.com,Information Technology
20,googleusercontent.com,Content Servers
21,googlesyndication.com,Search Engines;Advertisements
22,msn.com,News & Media
23,amazonaws.com,Technology
24,google-analytics.com,Business;Technology
25,opera.com,Technology
26,instagram.com,Social Networks
27,gvt1.com,Content Servers
28,google.com.cu,Search Engines
29,pki.goog,Information Security
30,apple-dns.net,Content Servers
31,mozilla.com,Information Technology
32,akamai.net,Content Servers
33,ggpht.com,Content Servers
34,youtube.com,Video Streaming
35,googletagmanager.com,Content Servers
36,trafficmanager.net,Information Technology;Content Servers
37,azure.com,Technology
38,aaplimg.com,Information Technology;Content Servers;Technology
39,lencr.org,Information Technology
40,live.com,Technology;Webmail
41,revolico.com,Auctions & Marketplaces
42,samsung.com,Home & Garden;Technology
43,office.com,Technology
44,cloudflare-dns.com,Content Servers
45,cdninstagram.com,Content Servers
46,rubiconproject.com,Advertisements
47,fastly.net,Information Security;Information Technology;Technology
48,icloud.com,File Sharing;Content Servers
49,app-measurement.com,APIs
50,netflix.com,Movies;Video Streaming
51,yahoo.com,News & Media
52,isnssdk.com,Content Servers
53,mozgcp.net,Information Technology;Content Servers
54,applovin.com,Gaming
55,amazon-adsystem.com,Advertisements
56,kaspersky.com,Technology
57,miui.com,Technology
58,windowsupdate.com,Information Technology;Business
59,whatsapp.com,Instant Messengers;Internet Phone & VOIP
60,360safe.com,Information Security
61,msftncsi.com,Content Servers
62,android.com,Technology
63,pubmatic.com,Business;Technology
64,amazon.com,Ecommerce
65,cloudflare.net,Information Technology;Technology
66,ampproject.org,Information Technology
67,unity3d.com,Gaming;Technology
68,office365.com,Technology
69,twitter.com,Social Networks
70,criteo.com,Business
71,cdn77.org,Content Servers
72,brave.com,Information Technology
73,twimg.com,Content Servers
74,scorecardresearch.com,Business
75,googleadservices.com,Advertisements
76,spotify.com,Audio Streaming
77,taboola.com,Business;Advertisements
78,mozilla.org,Technology
79,xiaomi.com,Technology
80,vungle.com,Business;Technology
81,eu-1-id5-sync.com,Content Servers;Weather
82,mrf.io,News & Media
83,pinterest.com,Photography;Social Networks
84,digicert.com,Information Security
85,adnxs.com,Content Servers
86,xiaomi.net,Information Technology;Technology
87,smartadserver.com,Advertisements
88,hzmklvdieo.com,Content Servers
89,firefox.com,Information Technology
90,sensic.net,Business
91,like.video,Information Technology
92,v-mate.mobi,Gaming
93,facebook.net,Social Networks
94,3lift.com,Business
95,gmail.com,Webmail
96,cloudflareclient.com,Content Servers
97,yandex.ru,News & Media
98,snapchat.com,Social Networks
99,appcenter.ms,Technology
100,qq.com,News & Media
