rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Personal Blogs
4,office.com,Technology
5,gstatic.com,Content Servers
6,tiktokcdn.com,Content Servers;Social Networks
7,office.net,Content Servers
8,facebook.com,Social Networks
9,amazonaws.com,Technology
10,akadns.net,Content Servers
11,live.com,Technology;Webmail
12,cloudfront.net,Content Servers;Science;Technology
13,whatsapp.net,Instant Messengers;Internet Phone & VOIP
14,office365.com,Technology
15,akamai.net,Content Servers
16,akamaiedge.net,Content Servers
17,azure.com,Technology
18,tiktokv.com,Social Networks;Video Streaming
19,doubleclick.net,Advertisements
20,ntp.org,Technology;Government
21,cdn77.org,Content Servers
22,gvt2.com,Content Servers
23,bing.com,Search Engines
24,apple.com,Information Technology;Technology
25,cloudflare.com,Technology
26,googlesyndication.com,Search Engines;Advertisements
27,youtube.com,Video Streaming
28,googleusercontent.com,Content Servers
29,trafficmanager.net,Content Servers
30,msftncsi.com,Content Servers
31,googlevideo.com,Search Engines;Video Streaming
32,instagram.com,Social Networks
33,spotify.com,Audio Streaming
34,sharepoint.com,File Sharing;Technology
35,amazon.com,Ecommerce
36,windows.net,Technology
37,googleadservices.com,Advertisements
38,ytimg.com,Content Servers
39,roblox.com,Gaming;Safe for Kids
40,icloud.com,File Sharing;Content Servers
41,fbcdn.net,Social Networks
42,apple-dns.net,Content Servers
43,bytefcdn-oversea.com,
44,netflix.com,Movies;Video Streaming
45,amazon-adsystem.com,Advertisements
46,snapchat.com,Social Networks
47,cloudflare-dns.com,Content Servers
48,windows.com,Information Technology
49,outlook.com,Webmail
50,msn.com,News & Media
51,microsoftonline.com,Technology
52,grammarly.com,Artificial Intelligence;Hobbies & Interests
53,fastly.net,Information Security;Information Technology;Technology
54,ttlivecdn.com,Content Servers
55,lencr.org,Information Technology
56,skype.com,Instant Messengers;Internet Phone & VOIP
57,scorecardresearch.com,Business
58,aaplimg.com,Information Technology;Content Servers;Technology
59,ggpht.com,Content Servers
60,adobe.com,Technology
61,googletagmanager.com,Content Servers
62,yahoo.com,News & Media
63,google-analytics.com,Business;Technology
64,adnxs.com,Content Servers
65,grammarly.io,Information Technology;Content Servers
66,ui.com,Technology
67,tiktokv.eu,Content Servers
68,linkedin.com,Professional Networking
69,a2z.com,Content Servers
70,sc-cdn.net,Content Servers
71,bytefcdn-ttpeu.com,Content Servers
72,media-amazon.com,Content Servers
73,rubiconproject.com,Advertisements
74,unity3d.com,Gaming;Technology
75,casalemedia.com,Advertisements
76,gvt1.com,Content Servers
77,gmail.com,Webmail
78,akamaized.net,Content Servers
79,facebook.net,Social Networks
80,tiktokcdn-us.com,Content Servers
81,rocket-cdn.com,Content Servers
82,appsflyersdk.com,Content Servers;APIs
83,pubmatic.com,Business;Technology
84,sc-gw.com,Content Servers
85,cdninstagram.com,Content Servers
86,msedge.net,Content Servers
87,azureedge.net,Content Servers
88,ntppool.org,Technology
89,dropbox.com,File Sharing
90,twimg.com,Content Servers
91,app-measurement.com,APIs
92,adobe.io,Business;Technology
93,rbxcdn.com,Content Servers
94,applovin.com,Gaming
95,sentry.io,Business
96,amazonalexa.com,Content Servers
97,digicert.com,Information Security
98,pki.goog,Information Security
99,media.net,Business
100,surfshark.com,CIPA Filter;Anonymizer
