rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,amazonaws.com,Technology
8,office.com,Technology
9,tiktokcdn.com,Content Servers;Social Networks
10,doubleclick.net,Advertisements
11,youtube.com,Video Streaming
12,instagram.com,Social Networks
13,live.com,Technology;Webmail
14,googleusercontent.com,Content Servers
15,akadns.net,Content Servers
16,akamaiedge.net,Content Servers
17,whatsapp.net,Instant Messengers;Internet Phone & VOIP
18,fbcdn.net,Social Networks
19,akamai.net,Content Servers
20,googlevideo.com,Search Engines;Video Streaming
21,cloudflare.com,Technology
22,bing.com,Search Engines
23,googlesyndication.com,Search Engines;Advertisements
24,gvt2.com,Content Servers
25,spotify.com,Audio Streaming
26,tiktokv.com,Social Networks;Video Streaming
27,apple-dns.net,Content Servers
28,icloud.com,File Sharing;Content Servers
29,cdn77.org,Content Servers
30,msn.com,News & Media
31,azure.com,Technology
32,ntp.org,Technology;Government
33,office.net,Content Servers
34,ytimg.com,Content Servers
35,google-analytics.com,Business;Technology
36,googleadservices.com,Advertisements
37,skype.com,Instant Messengers;Internet Phone & VOIP
38,cloudfront.net,Content Servers;Science;Technology
39,trafficmanager.net,Information Technology;Content Servers
40,office365.com,Technology
41,aaplimg.com,Information Technology;Content Servers;Technology
42,lencr.org,Information Technology
43,microsoftonline.com,Technology
44,cloudflare-dns.com,Content Servers
45,googletagmanager.com,Content Servers
46,windowsupdate.com,Information Technology;Business
47,netflix.com,Movies;Video Streaming
48,fastly.net,Information Security;Information Technology;Technology
49,bytefcdn-oversea.com,
50,yahoo.com,News & Media
51,amazon-adsystem.com,Advertisements
52,outlook.com,Webmail
53,pki.goog,Information Security
54,adnxs.com,Content Servers
55,slack.com,Instant Messengers
56,app-measurement.com,APIs
57,yandex.net,News & Media
58,yandex.ru,News & Media
59,google.com.cy,Search Engines
60,ttlivecdn.com,Content Servers
61,snapchat.com,Social Networks
62,msftncsi.com,Content Servers
63,linkedin.com,Professional Networking
64,ggpht.com,Content Servers
65,criteo.com,Business
66,twitter.com,Social Networks
67,rubiconproject.com,Advertisements
68,digicert.com,Information Security
69,gmail.com,Webmail
70,amazon.com,Ecommerce
71,bytefcdn-ttpeu.com,Content Servers
72,gvt1.com,Content Servers
73,ui.com,Technology
74,msedge.net,Content Servers
75,akamaized.net,Content Servers
76,unity3d.com,Gaming;Technology
77,app-analytics-services.com,Content Servers
78,sentry.io,Business
79,grammarly.com,Artificial Intelligence;Hobbies & Interests
80,viber.com,Instant Messengers;Internet Phone & VOIP
81,cdninstagram.com,Content Servers
82,taboola.com,Business;Advertisements
83,windows.net,Technology
84,facebook.net,Social Networks
85,twimg.com,Content Servers
86,dns.google,Information Technology
87,roblox.com,Gaming;Safe for Kids
88,sharepoint.com,File Sharing;Technology
89,dropbox.com,File Sharing
90,pubmatic.com,Business;Technology
91,cdn-apple.com,Content Servers
92,ampproject.org,Information Technology
93,grammarly.io,Information Technology;Content Servers
94,rocket-cdn.com,Content Servers
95,ubuntu.com,Technology
96,casalemedia.com,Advertisements
97,adobe.io,Business;Technology
98,eset.com,Technology
99,brave.com,Information Technology
100,nr-data.net,Content Servers
