rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,doubleclick.net,Advertisements
8,gvt2.com,Content Servers
9,seznam.cz,News & Media
10,googlesyndication.com,Search Engines;Advertisements
11,youtube.com,Video Streaming
12,office.com,Technology
13,googleusercontent.com,Content Servers
14,live.com,Technology;Webmail
15,googlevideo.com,Search Engines;Video Streaming
16,akadns.net,Content Servers
17,tiktokcdn.com,Content Servers;Social Networks
18,bing.com,Search Engines
19,spotify.com,Audio Streaming
20,cloudflare.com,Technology
21,instagram.com,Social Networks
22,google-analytics.com,Business;Technology
23,akamaiedge.net,Content Servers
24,sdn.cz,Content Servers
25,fbcdn.net,Social Networks
26,whatsapp.net,Instant Messengers;Internet Phone & VOIP
27,apple-dns.net,Content Servers
28,akamai.net,Content Servers
29,amazonaws.com,Technology
30,icloud.com,File Sharing;Content Servers
31,googleadservices.com,Advertisements
32,azure.com,Technology
33,msn.com,News & Media
34,adnxs.com,Content Servers
35,cloudfront.net,Content Servers;Science;Technology
36,ytimg.com,Content Servers
37,ntp.org,Technology
38,googletagmanager.com,Content Servers
39,criteo.com,Business
40,tiktokv.com,Social Networks;Video Streaming
41,skype.com,Instant Messengers;Internet Phone & VOIP
42,lencr.org,Information Technology
43,office.net,Content Servers
44,aaplimg.com,Information Technology;Content Servers;Technology
45,pubmatic.com,Business;Technology
46,adform.net,Content Servers
47,rubiconproject.com,Advertisements
48,cloudflare-dns.com,Content Servers
49,cdn77.org,Content Servers
50,netflix.com,Movies;Video Streaming
51,trafficmanager.net,Content Servers
52,clarity.ms,Content Servers
53,office365.com,Technology
54,amazon-adsystem.com,Advertisements
55,app-measurement.com,APIs
56,google.cz,Search Engines
57,pki.goog,Information Security
58,microsoftonline.com,Technology
59,yahoo.com,News & Media
60,windowsupdate.com,Information Technology;Business
61,fastly.net,Information Security;Information Technology;Technology
62,snapchat.com,Social Networks
63,gemius.pl,Business;Technology
64,ggpht.com,Content Servers
65,msftncsi.com,Content Servers
66,twitter.com,Social Networks
67,gvt1.com,Content Servers
68,sharepoint.com,File Sharing;Technology
69,linkedin.com,Professional Networking
70,ui.com,Technology
71,digicert.com,Information Security
72,smartadserver.com,Advertisements
73,ttlivecdn.com,Content Servers
74,eset.com,Technology
75,facebook.net,Social Networks
76,casalemedia.com,Advertisements
77,windows.com,Information Technology
78,akamaized.net,Content Servers
79,criteo.net,Business
80,im.cz,Login Screens
81,novinky.cz,News & Media
82,discord.com,Instant Messengers;Internet Phone & VOIP
83,creativecdn.com,Content Servers
84,cdninstagram.com,Content Servers
85,mapy.cz,Education
86,azureedge.net,Content Servers
87,2mdn.net,Content Servers
88,msedge.net,Content Servers
89,mozilla.com,Information Technology
90,sentry.io,Business
91,unity3d.com,Gaming;Technology
92,opera.com,Technology
93,bytefcdn-oversea.com,
94,windows.net,Technology
95,gmail.com,Webmail
96,amazon.com,Ecommerce
97,dns.google,Information Technology
98,szn.cz,News & Media
99,jsdelivr.net,Content Servers
100,msftconnecttest.com,Content Servers
