rank,domain,categories
1,google.com,Search Engines
2,tiktokcdn.com,Content Servers;Social Networks
3,googleapis.com,Content Servers;Personal Blogs
4,gstatic.com,Content Servers
5,akamai.net,Content Servers
6,facebook.com,Social Networks
7,cdn77.org,Content Servers
8,apple.com,Information Technology;Technology
9,microsoft.com,Information Technology;Business
10,whatsapp.net,Instant Messengers;Internet Phone & VOIP
11,akadns.net,Content Servers
12,tiktokv.com,Social Networks;Video Streaming
13,akamaiedge.net,Content Servers
14,amazonaws.com,Technology
15,cloudfront.net,Content Servers;Science;Technology
16,youtube.com,Video Streaming
17,googlevideo.com,Search Engines;Video Streaming
18,gvt2.com,Content Servers
19,apple-dns.net,Content Servers
20,doubleclick.net,Advertisements
21,netflix.com,Movies;Video Streaming
22,fbcdn.net,Social Networks
23,aaplimg.com,Information Technology;Content Servers;Technology
24,instagram.com,Social Networks
25,bytefcdn-oversea.com,
26,spotify.com,Audio Streaming
27,amazon.com,Ecommerce
28,googlesyndication.com,Search Engines;Advertisements
29,ytimg.com,Content Servers
30,cloudflare.com,Technology
31,icloud.com,File Sharing;Content Servers
32,googleusercontent.com,Content Servers
33,bytefcdn-ttpeu.com,Content Servers
34,fastly.net,Information Security;Information Technology;Technology
35,rocket-cdn.com,Content Servers
36,roblox.com,Gaming;Safe for Kids
37,office.com,Technology
38,rbxcdn.com,Content Servers
39,ttlivecdn.com,Content Servers
40,tiktokcdn-us.com,Content Servers
41,bing.com,Search Engines
42,ntp.org,Technology;Government
43,unity3d.com,Gaming;Technology
44,live.com,Technology;Webmail
45,atomile.com,No Content
46,wsdvs.com,Content Servers
47,qlivecdn.com,
48,amazon-adsystem.com,Advertisements
49,googleadservices.com,Advertisements
50,snapchat.com,Social Networks
51,a2z.com,Content Servers
52,ggpht.com,Content Servers
53,taboola.com,Business;Advertisements
54,google-analytics.com,Business;Technology
55,google.com.do,Search Engines
56,byteoversea.net,Content Servers
57,trafficmanager.net,Information Technology;Content Servers
58,gvt1.com,Content Servers
59,azure.com,Technology
60,akamaized.net,Content Servers
61,cdn20.com,Content Servers
62,appsflyersdk.com,Content Servers;APIs
63,amazon.dev,Content Servers
64,cloudflare-dns.com,Content Servers
65,whatsapp.com,Instant Messengers;Internet Phone & VOIP
66,msn.com,News & Media
67,applovin.com,Business;Technology
68,cdninstagram.com,Content Servers
69,windows.com,Information Technology
70,tiktokv.us,Content Servers
71,shalltry.com,Content Servers
72,rubiconproject.com,Advertisements
73,ttdns2.com,Content Servers
74,adnxs.com,Content Servers
75,criteo.com,Business
76,nflxso.net,Content Servers
77,yahoo.com,News & Media
78,cdn-apple.com,Content Servers
79,amazonvideo.com,Movies;Television;Video Streaming
80,googletagmanager.com,Content Servers
81,mtgglobals.com,Content Servers
82,xiaomi.com,Technology
83,windowsupdate.com,Information Technology;Business
84,pubmatic.com,Business;Technology
85,office365.com,Technology
86,app-analytics-services.com,Content Servers
87,ovscdns.net,Content Servers
88,baidu.com,Search Engines
89,pangle.io,Content Servers
90,office.net,Content Servers
91,aliyuncs.com,Content Servers
92,skype.com,Instant Messengers;Internet Phone & VOIP
93,smartadserver.com,Advertisements
94,roku.com,Ecommerce;Technology;Video Streaming
95,vungle.com,Business;Technology
96,gd34fdldh.xyz,Content Servers
97,ampproject.org,Information Technology
98,media-amazon.com,Content Servers
99,casalemedia.com,Advertisements
100,epicgames.com,Ecommerce;Gaming
