rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,gvt2.com,Content Servers
7,doubleclick.net,Advertisements
8,googlevideo.com,Search Engines;Video Streaming
9,amazonaws.com,Technology
10,youtube.com,Video Streaming
11,apple.com,Information Technology;Technology
12,fbcdn.net,Social Networks
13,googlesyndication.com,Search Engines;Advertisements
14,instagram.com,Social Networks
15,googleadservices.com,Advertisements
16,cloudflare.com,Technology
17,yahoo.com,News & Media
18,spotify.com,Audio Streaming
19,akadns.net,Content Servers
20,icloud.com,File Sharing;Content Servers
21,ggpht.com,Content Servers
22,lencr.org,Information Technology
23,googleusercontent.com,Content Servers
24,tiktokcdn.com,Content Servers;Social Networks
25,ytimg.com,Content Servers
26,azure.com,Technology
27,cdninstagram.com,Content Servers
28,bing.com,Search Engines
29,whatsapp.net,Instant Messengers;Internet Phone & VOIP
30,brave.com,Information Technology
31,tiktokv.com,Social Networks;Video Streaming
32,snapchat.com,Social Networks
33,google-analytics.com,Business;Technology
34,smartadserver.com,Advertisements
35,surfshark.com,CIPA Filter;Anonymizer
36,akamai.net,Content Servers
37,akamaiedge.net,Content Servers
38,trafficmanager.net,Information Technology;Content Servers
39,dns.google,Information Technology
40,apple-dns.net,Content Servers
41,skype.com,Instant Messengers;Internet Phone & VOIP
42,cdn77.org,Content Servers
43,adnxs.com,Content Servers
44,linkedin.com,Professional Networking
45,viber.com,Instant Messengers;Internet Phone & VOIP
46,office.com,Technology
47,gvt1.com,Content Servers
48,rubiconproject.com,Advertisements
49,facebook.net,Social Networks
50,amazon-adsystem.com,Advertisements
51,cloudfront.net,Content Servers;Science;Technology
52,google.dz,Search Engines
53,cloudflare-dns.com,Content Servers
54,twitter.com,Social Networks
55,live.com,Technology;Webmail
56,ttlivecdn.com,Content Servers
57,googletagmanager.com,Content Servers
58,kaspersky.com,Technology
59,casalemedia.com,Advertisements
60,msn.com,News & Media
61,pubmatic.com,Business;Technology
62,appsflyersdk.com,Content Servers;APIs
63,xnxx-cdn.com,CIPA Filter;Pornography
64,criteo.com,Business
65,outbrain.com,Business;Advertisements
66,nakheelteam.cc,Technology
67,ntp.org,Technology;Government
68,xhcdn.com,Content Servers
69,bytefcdn-oversea.com,
70,wp.com,Information Technology;Personal Blogs
71,chatgpt.com,Artificial Intelligence;Chat
72,kaspersky-labs.com,Technology
73,pki.goog,Information Security
74,aaplimg.com,Information Technology;Content Servers;Technology
75,outlook.com,Webmail
76,azureedge.net,Content Servers
77,fastly.net,Information Security;Information Technology;Technology
78,3lift.com,Business
79,mozilla.com,Information Technology
80,openx.net,Advertisements
81,fbsbx.com,Content Servers
82,mixpanel.com,Business
83,ampproject.org,Information Technology
84,amazon.com,Ecommerce
85,sacdnssedge.com,
86,aliexpress.com,Ecommerce
87,android.com,Technology
88,discord.com,Instant Messengers;Internet Phone & VOIP
89,licdn.com,Content Servers
90,xcoinsystem.com,Content Servers
91,roblox.com,Gaming;Safe for Kids
92,taboola.com,Business;Advertisements
93,sc-cdn.net,Content Servers
94,akamaized.net,Content Servers
95,truecaller.com,Information Technology;Professional Networking
96,twimg.com,Content Servers
97,criteo.net,Business
98,heytapdl.com,Content Servers
99,applovin.com,Gaming
100,360yield.com,Technology
