rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,googleapis.com,Content Servers;Personal Blogs
4,tiktokcdn.com,Content Servers;Social Networks
5,microsoft.com,Information Technology;Business
6,facebook.com,Social Networks
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,gvt2.com,Content Servers
9,doubleclick.net,Advertisements
10,tiktokv.com,Social Networks;Video Streaming
11,youtube.com,Video Streaming
12,googlevideo.com,Search Engines;Video Streaming
13,cloudfront.net,Content Servers;Science;Technology
14,live.com,Technology;Webmail
15,instagram.com,Social Networks
16,googlesyndication.com,Search Engines;Advertisements
17,fbcdn.net,Social Networks
18,bing.com,Search Engines
19,googleusercontent.com,Content Servers
20,office.com,Technology
21,ytimg.com,Content Servers
22,spotify.com,Audio Streaming
23,apple.com,Information Technology;Technology
24,cloudflare.com,Technology
25,msn.com,News & Media
26,akamai.net,Content Servers
27,cloudflare-dns.com,Content Servers
28,googleadservices.com,Advertisements
29,netflix.com,Movies;Video Streaming
30,cdn77.org,Content Servers
31,ttlivecdn.com,Content Servers
32,ggpht.com,Content Servers
33,google.com.ec,Search Engines
34,office.net,Content Servers
35,gvt1.com,Content Servers
36,amazonaws.com,Technology
37,akamaiedge.net,Content Servers
38,google-analytics.com,Business;Technology
39,whatsapp.com,Instant Messengers;Internet Phone & VOIP
40,akadns.net,Content Servers
41,amazon.com,Ecommerce
42,bytefcdn-oversea.com,
43,skype.com,Instant Messengers;Internet Phone & VOIP
44,amazon-adsystem.com,Advertisements
45,adnxs.com,Content Servers
46,apple-dns.net,Content Servers
47,ntp.org,Technology;Government
48,googletagmanager.com,Content Servers
49,akamaized.net,Content Servers
50,icloud.com,File Sharing;Content Servers
51,yahoo.com,News & Media
52,roblox.com,Gaming;Safe for Kids
53,dns.google,Information Technology
54,windows.com,Information Technology
55,shalltry.com,Content Servers
56,taboola.com,Business;Advertisements
57,microsoftonline.com,Technology
58,3ghddf123d.com,
59,gd34fdldh.xyz,
60,pubmatic.com,Business;Technology
61,snapchat.com,Social Networks
62,rubiconproject.com,Advertisements
63,office365.com,Technology
64,aaplimg.com,Information Technology;Content Servers;Technology
65,linkedin.com,Professional Networking
66,ampproject.org,Information Technology
67,tiktok.com,Social Networks;Video Streaming;Advertisements
68,bytefcdn-ttpeu.com,Content Servers
69,pangle.io,Content Servers
70,cdninstagram.com,Content Servers
71,twitter.com,Social Networks
72,tiktokcdn-us.com,Content Servers
73,avcdn.net,Content Servers
74,app-measurement.com,APIs
75,rocket-cdn.com,Content Servers
76,adg96kda3f.xyz,
77,unity3d.com,Gaming;Technology
78,smartadserver.com,Advertisements
79,rbxcdn.com,Content Servers
80,criteo.com,Business
81,zoom.us,Technology
82,canva.com,Hobbies & Interests
83,opera.com,Technology
84,azureedge.net,Content Servers
85,appsflyersdk.com,Content Servers;APIs
86,clarity.ms,Content Servers
87,azure.com,Technology
88,qlivecdn.com,
89,xiaomi.com,Technology
90,haddf523dd.com,Newly Seen Domains
91,a2z.com,Content Servers
92,scorecardresearch.com,Business
93,lencr.org,Information Technology
94,outlook.com,Webmail
95,wikipedia.org,Education
96,facebook.net,Social Networks
97,android.com,Technology
98,windowsupdate.com,Information Technology;Business
99,xnxx-cdn.com,CIPA Filter;Pornography
100,brave.com,Information Technology
