rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,azure.com,Technology
8,instagram.com,Social Networks
9,gvt2.com,Content Servers
10,akadns.net,Content Servers
11,doubleclick.net,Advertisements
12,youtube.com,Video Streaming
13,googleusercontent.com,Content Servers
14,cloudflare.com,Technology
15,amazonaws.com,Technology
16,akamaiedge.net,Content Servers
17,trafficmanager.net,Information Technology;Content Servers
18,akamai.net,Content Servers
19,office.com,Technology
20,icloud.com,File Sharing;Content Servers
21,google-analytics.com,Business;Technology
22,fbcdn.net,Social Networks
23,spotify.com,Audio Streaming
24,whatsapp.net,Instant Messengers;Internet Phone & VOIP
25,googlevideo.com,Search Engines;Video Streaming
26,apple-dns.net,Content Servers
27,bing.com,Search Engines
28,live.com,Technology;Webmail
29,ntp.org,Technology;Government
30,googlesyndication.com,Search Engines;Advertisements
31,cloudfront.net,Content Servers;Science;Technology
32,yandex.net,News & Media
33,windowsupdate.com,Information Technology;Business
34,ytimg.com,Content Servers
35,yandex.ru,News & Media
36,googletagmanager.com,Content Servers
37,slack.com,Instant Messengers
38,tiktokcdn.com,Content Servers;Social Networks
39,aaplimg.com,Information Technology;Content Servers;Technology
40,mail.ru,Webmail
41,skype.com,Instant Messengers;Internet Phone & VOIP
42,cloudflare-dns.com,Content Servers
43,lencr.org,Information Technology
44,gmail.com,Webmail
45,cdninstagram.com,Content Servers
46,microsoftonline.com,Technology
47,office.net,Content Servers
48,tiktokv.com,Social Networks;Video Streaming
49,fastly.net,Information Security;Information Technology;Technology
50,msn.com,News & Media
51,googleadservices.com,Advertisements
52,app-measurement.com,APIs
53,msedge.net,Content Servers
54,windows.net,Technology
55,gvt1.com,Content Servers
56,dns.google,Information Technology
57,ggpht.com,Content Servers
58,cdn77.org,Content Servers
59,sentry.io,Business
60,pki.goog,Information Security
61,amazon-adsystem.com,Advertisements
62,office365.com,Technology
63,facebook.net,Social Networks
64,snapchat.com,Social Networks
65,linkedin.com,Professional Networking
66,msftncsi.com,Content Servers
67,twitter.com,Social Networks
68,mozilla.com,Information Technology
69,vk.com,Social Networks
70,appcenter.ms,Technology
71,ubuntu.com,Technology
72,clarity.ms,Content Servers
73,yahoo.com,News & Media
74,grammarly.com,Artificial Intelligence;Hobbies & Interests
75,adnxs.com,Content Servers
76,github.com,Technology
77,mozilla.org,Technology
78,criteo.com,Business
79,windows.com,Information Technology
80,telegram.org,Instant Messengers
81,ampproject.org,Information Technology
82,akamaized.net,Content Servers
83,amazon.com,Ecommerce
84,rubiconproject.com,Advertisements
85,userapi.com,Social Networks
86,digicert.com,Information Security
87,opera.com,Technology
88,outlook.com,Webmail
89,adform.net,Content Servers
90,nr-data.net,Content Servers
91,yandex.com,Search Engines;Webmail
92,app-analytics-services.com,Content Servers
93,dropbox.com,File Sharing
94,twimg.com,Content Servers
95,viber.com,Instant Messengers;Internet Phone & VOIP
96,discord.com,Instant Messengers;Internet Phone & VOIP
97,grammarly.io,Information Technology;Content Servers
98,hotjar.com,Business;Technology
99,jsdelivr.net,Content Servers
100,scdn.co,Content Servers
