rank,domain,categories
1,googleapis.com,Content Servers;Personal Blogs
2,google.com,Search Engines
3,facebook.com,Social Networks
4,gstatic.com,Content Servers
5,tiktokcdn.com,Content Servers;Social Networks
6,microsoft.com,Information Technology;Business
7,tiktokv.com,Social Networks;Video Streaming
8,apple.com,Information Technology;Technology
9,whatsapp.net,Instant Messengers;Internet Phone & VOIP
10,fbcdn.net,Social Networks
11,youtube.com,Video Streaming
12,instagram.com,Social Networks
13,googlevideo.com,Search Engines;Video Streaming
14,doubleclick.net,Advertisements
15,gvt2.com,Content Servers
16,akamai.net,Content Servers
17,akamaiedge.net,Content Servers
18,apple-dns.net,Content Servers
19,cdn77.org,Content Servers
20,ytimg.com,Content Servers
21,googleusercontent.com,Content Servers
22,akadns.net,Content Servers
23,googlesyndication.com,Search Engines;Advertisements
24,icloud.com,File Sharing;Content Servers
25,snapchat.com,Social Networks
26,cloudflare.com,Technology
27,amazonaws.com,Technology
28,bing.com,Search Engines
29,live.com,Technology;Webmail
30,google-analytics.com,Business;Technology
31,office.com,Technology
32,spotify.com,Audio Streaming
33,ttlivecdn.com,Content Servers
34,googleadservices.com,Advertisements
35,googletagmanager.com,Content Servers
36,bytefcdn-oversea.com,
37,msn.com,News & Media
38,cloudfront.net,Content Servers;Science;Technology
39,ggpht.com,Content Servers
40,cdninstagram.com,Content Servers
41,amazon-adsystem.com,Advertisements
42,gvt1.com,Content Servers
43,aaplimg.com,Information Technology;Content Servers;Technology
44,skype.com,Instant Messengers;Internet Phone & VOIP
45,appsflyersdk.com,Content Servers;APIs
46,app-measurement.com,APIs
47,pki.goog,Information Security
48,cloudflare-dns.com,Content Servers
49,ntp.org,Technology;Government
50,twitter.com,Social Networks
51,yahoo.com,News & Media
52,msftncsi.com,Content Servers
53,akamaized.net,Content Servers
54,linkedin.com,Professional Networking
55,azure.com,Technology
56,applovin.com,Business;Technology
57,office.net,Content Servers
58,unity3d.com,Gaming;Technology
59,criteo.com,Business
60,lencr.org,Information Technology
61,windowsupdate.com,Information Technology;Business
62,sc-cdn.net,Content Servers
63,twimg.com,Content Servers
64,pangle.io,Content Servers
65,rubiconproject.com,Advertisements
66,appcenter.ms,Technology
67,app-analytics-services.com,Content Servers
68,fastly.net,Information Security;Information Technology;Technology
69,bytefcdn-ttpeu.com,Content Servers
70,rocket-cdn.com,Content Servers
71,cloudflareclient.com,Content Servers
72,microsoftonline.com,Technology
73,whatsapp.com,Instant Messengers;Internet Phone & VOIP
74,tiktok.com,Social Networks;Video Streaming;Advertisements
75,facebook.net,Social Networks
76,windows.com,Information Technology
77,appsflyer.com,Business;Technology
78,taboola.com,Business;Advertisements
79,crashlytics.com,Information Technology
80,msftconnecttest.com,Content Servers
81,adnxs.com,Content Servers
82,gmail.com,Webmail
83,office365.com,Technology
84,pubmatic.com,Business;Technology
85,android.com,Technology
86,tiktokcdn-us.com,Content Servers
87,brave.com,Information Technology
88,sentry.io,Business
89,qq.com,News & Media
90,roblox.com,Gaming;Safe for Kids
91,trafficmanager.net,Information Technology;Content Servers
92,byteoversea.net,Content Servers
93,azureedge.net,Content Servers
94,qlivecdn.com,
95,digicert.com,Information Security
96,amazon.com,Ecommerce
97,clarity.ms,Content Servers
98,ibyteimg.com,Content Servers
99,netflix.com,Movies;Video Streaming
100,t.co,Redirect;Social Networks
