rank,domain,categories
1,tiktokcdn.com,Content Servers;Social Networks
2,google.com,Search Engines
3,googleapis.com,Content Servers;Personal Blogs
4,tiktokv.com,Social Networks;Video Streaming
5,gstatic.com,Content Servers
6,facebook.com,Social Networks
7,googlevideo.com,Search Engines;Video Streaming
8,doubleclick.net,Advertisements
9,whatsapp.net,Instant Messengers;Internet Phone & VOIP
10,akamai.net,Content Servers
11,apple.com,Information Technology;Technology
12,ttlivecdn.com,Content Servers
13,akadns.net,Content Servers
14,cdn77.org,Content Servers
15,akamaiedge.net,Content Servers
16,fbcdn.net,Social Networks
17,instagram.com,Social Networks
18,snapchat.com,Social Networks
19,youtube.com,Video Streaming
20,bytefcdn-oversea.com,
21,googleusercontent.com,Content Servers
22,apple-dns.net,Content Servers
23,ytimg.com,Content Servers
24,app-measurement.com,APIs
25,amazonaws.com,Technology
26,bytefcdn-ttpeu.com,Content Servers
27,rocket-cdn.com,Content Servers
28,google-analytics.com,Business;Technology
29,icloud.com,File Sharing;Content Servers
30,microsoft.com,Information Technology;Business
31,qlivecdn.com,
32,aaplimg.com,Information Technology;Content Servers;Technology
33,byteoversea.net,Content Servers
34,wsdvs.com,Content Servers
35,cloudfront.net,Content Servers;Science;Technology
36,cloudflare.com,Technology
37,truecaller.com,Information Technology;Professional Networking
38,atomile.com,No Content
39,googlesyndication.com,Search Engines;Advertisements
40,appsflyersdk.com,Content Servers;APIs
41,fastly.net,Information Security;Information Technology;Technology
42,office.com,Technology
43,byteglb.com,
44,ggpht.com,Content Servers
45,bing.com,Search Engines
46,cloudflareclient.com,Content Servers
47,gvt2.com,Content Servers
48,crashlytics.com,Information Technology
49,app-analytics-services.com,Content Servers
50,linkedin.com,Professional Networking
51,ttoverseaus.net,Content Servers
52,tiktokcdn-us.com,Content Servers
53,cdninstagram.com,Content Servers
54,google.com.et,Search Engines
55,googletagmanager.com,Content Servers
56,pangle.io,Content Servers
57,sc-gw.com,Content Servers
58,spotify.com,Audio Streaming
59,googleadservices.com,Advertisements
60,pki.goog,Information Security
61,ovscdns.net,Content Servers
62,sc-cdn.net,Content Servers
63,v-mate.mobi,Gaming
64,unity3d.com,Gaming;Technology
65,imo.im,Instant Messengers
66,appsflyer.com,Business;Technology
67,yahoo.com,News & Media
68,spbycdn.com,
69,tiktok.com,Social Networks;Video Streaming;Advertisements
70,xnxx-cdn.com,CIPA Filter;Pornography
71,bytetcdn.com,Content Servers
72,akamaized.net,Content Servers
73,facebook.net,Social Networks
74,imotech.tech,Content Servers
75,applovin.com,Gaming
76,ntp.org,Technology;Government
77,twimg.com,Content Servers
78,cloudflare-dns.com,Content Servers
79,amazon-adsystem.com,Advertisements
80,twitter.com,Social Networks
81,viber.com,Instant Messengers;Internet Phone & VOIP
82,live.com,Technology;Webmail
83,ttdns2.com,Content Servers
84,digicert.com,Information Security
85,kzhi.tech,Content Servers
86,skype.com,Instant Messengers;Internet Phone & VOIP
87,shalltry.com,Content Servers
88,msn.com,News & Media
89,mncdn.com,Content Servers
90,netflix.com,Movies;Video Streaming
91,grammarly.io,Information Technology;Content Servers
92,inmobi.com,Business
93,pitaya-clientai.com,
94,tlivepush.com,File Sharing
95,pinimg.com,Photography;Social Networks
96,appcenter.ms,Technology
97,samsung.com,Home & Garden;Technology
98,cb7lvj2ab.link,CIPA Filter;DGA Domains
99,cdn-apple.com,Content Servers
100,mzstatic.com,Information Technology;Technology
