rank,domain,categories
1,gstatic.com,Content Servers
2,tiktokcdn.com,Content Servers;Social Networks
3,google.com,Search Engines
4,googleapis.com,Content Servers;Personal Blogs
5,apple.com,Information Technology;Technology
6,microsoft.com,Information Technology;Business
7,facebook.com,Social Networks
8,tiktokv.com,Social Networks;Video Streaming
9,whatsapp.net,Instant Messengers;Internet Phone & VOIP
10,cdn77.org,Content Servers
11,apple-dns.net,Content Servers
12,doubleclick.net,Advertisements
13,akamai.net,Content Servers
14,youtube.com,Video Streaming
15,googlevideo.com,Search Engines;Video Streaming
16,instagram.com,Social Networks
17,fbcdn.net,Social Networks
18,gvt2.com,Content Servers
19,office.com,Technology
20,akamaiedge.net,Content Servers
21,icloud.com,File Sharing;Content Servers
22,akadns.net,Content Servers
23,snapchat.com,Social Networks
24,ui.com,Technology
25,googleusercontent.com,Content Servers
26,yahoo.com,News & Media
27,bytefcdn-oversea.com,
28,ttlivecdn.com,Content Servers
29,aaplimg.com,Information Technology;Content Servers;Technology
30,bing.com,Search Engines
31,live.com,Technology;Webmail
32,amazonaws.com,Technology
33,rocket-cdn.com,Content Servers
34,googlesyndication.com,Search Engines;Advertisements
35,whatsapp.com,Instant Messengers;Internet Phone & VOIP
36,amazon-adsystem.com,Advertisements
37,googleadservices.com,Advertisements
38,cloudflare.com,Technology
39,msn.com,News & Media
40,netflix.com,Movies;Video Streaming
41,ytimg.com,Content Servers
42,cloudfront.net,Content Servers;Science;Technology
43,shalltry.com,Content Servers
44,bytefcdn-ttpeu.com,Content Servers
45,msftncsi.com,Content Servers
46,byteglb.com,
47,office.net,Content Servers
48,amazon.com,Ecommerce
49,ggpht.com,Content Servers
50,appsflyersdk.com,Content Servers;APIs
51,qlivecdn.com,
52,wsdvs.com,Content Servers
53,ntp.org,Technology;Government
54,gvt1.com,Content Servers
55,google.ga,Search Engines
56,office365.com,Technology
57,app-measurement.com,APIs
58,atomile.com,No Content
59,digicert.com,Information Security
60,microsoftonline.com,Technology
61,akamaized.net,Content Servers
62,ampproject.org,Information Technology
63,applovin.com,Gaming
64,fastly.net,Information Security;Information Technology;Technology
65,avcdn.net,Content Servers
66,trafficmanager.net,Information Technology;Content Servers
67,azure.com,Technology
68,criteo.com,Business
69,linkedin.com,Professional Networking
70,msftconnecttest.com,Content Servers
71,byteoversea.net,Content Servers
72,sc-cdn.net,Content Servers
73,twitter.com,Social Networks
74,pangle.io,Content Servers
75,cloudflare-dns.com,Content Servers
76,xnxx-cdn.com,CIPA Filter;Pornography
77,smartadserver.com,Advertisements
78,mtgglobals.com,Content Servers
79,pubmatic.com,Business;Technology
80,cdninstagram.com,Content Servers
81,kaspersky.com,Technology
82,adnxs.com,Content Servers
83,opera.com,Technology
84,spotify.com,Audio Streaming
85,unity3d.com,Gaming;Technology
86,skype.com,Instant Messengers;Internet Phone & VOIP
87,google-analytics.com,Business;Technology
88,sc-gw.com,Content Servers
89,pki.goog,Information Security
90,googletagmanager.com,Content Servers
91,cdn-apple.com,Content Servers
92,smaato.net,Business
93,bangcdn.net,Content Servers
94,ttdns2.com,Content Servers
95,windowsupdate.com,Information Technology;Business
96,ovscdns.net,Content Servers
97,yahoodns.net,Content Servers
98,outlook.com,Webmail
99,alibaba.com,Auctions & Marketplaces;Shopping
100,inmobi.com,Business
