rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,office.com,Technology
8,amazonaws.com,Technology
9,live.com,Technology;Webmail
10,doubleclick.net,Advertisements
11,tiktokcdn.com,Content Servers;Social Networks
12,bing.com,Search Engines
13,akadns.net,Content Servers
14,office.net,Content Servers
15,gvt2.com,Content Servers
16,azure.com,Technology
17,akamaiedge.net,Content Servers
18,youtube.com,Video Streaming
19,googleusercontent.com,Content Servers
20,cloudfront.net,Content Servers;Science;Technology
21,office365.com,Technology
22,tiktokv.com,Social Networks;Video Streaming
23,googlesyndication.com,Search Engines;Advertisements
24,whatsapp.net,Instant Messengers;Internet Phone & VOIP
25,akamai.net,Content Servers
26,apple-dns.net,Content Servers
27,spotify.com,Audio Streaming
28,instagram.com,Social Networks
29,ntp.org,Technology;Government
30,icloud.com,File Sharing;Content Servers
31,googlevideo.com,Search Engines;Video Streaming
32,google-analytics.com,Business;Technology
33,cloudflare.com,Technology
34,fbcdn.net,Social Networks
35,msn.com,News & Media
36,microsoftonline.com,Technology
37,cloudflare-dns.com,Content Servers
38,snapchat.com,Social Networks
39,amazon.com,Ecommerce
40,trafficmanager.net,Information Technology;Content Servers
41,yahoo.com,News & Media
42,sharepoint.com,File Sharing;Technology
43,outlook.com,Webmail
44,googleadservices.com,Advertisements
45,aaplimg.com,Information Technology;Content Servers;Technology
46,amazon-adsystem.com,Advertisements
47,skype.com,Instant Messengers;Internet Phone & VOIP
48,lencr.org,Information Technology
49,windows.net,Technology
50,googletagmanager.com,Content Servers
51,netflix.com,Movies;Video Streaming
52,windowsupdate.com,Information Technology;Business
53,cdninstagram.com,Content Servers
54,fastly.net,Information Security;Information Technology;Technology
55,linkedin.com,Professional Networking
56,cdn77.org,Content Servers
57,ytimg.com,Content Servers
58,adnxs.com,Content Servers
59,app-measurement.com,APIs
60,amazon.co.uk,Ecommerce
61,ui.com,Technology
62,nr-data.net,Content Servers
63,windows.com,Information Technology
64,google.co.uk,Search Engines
65,akamaized.net,Content Servers
66,msftncsi.com,Content Servers
67,gvt1.com,Content Servers
68,rubiconproject.com,Advertisements
69,slack.com,Instant Messengers
70,twitter.com,Social Networks
71,pki.goog,Information Security
72,digicert.com,Information Security
73,grammarly.com,Artificial Intelligence;Hobbies & Interests
74,dns.google,Information Technology
75,msftconnecttest.com,Content Servers
76,ttlivecdn.com,Content Servers
77,azureedge.net,Content Servers
78,dropbox.com,File Sharing
79,a2z.com,Content Servers
80,criteo.com,Business
81,bytefcdn-oversea.com,
82,launchdarkly.com,Business
83,adobe.io,Business;Technology
84,bbci.co.uk,News & Media;Video Streaming
85,gmail.com,Webmail
86,grammarly.io,Information Technology;Content Servers
87,pubmatic.com,Business;Technology
88,adobe.com,Technology
89,bbc.co.uk,News & Media;Video Streaming
90,msedge.net,Content Servers
91,clarity.ms,Content Servers
92,appcenter.ms,Technology
93,sentry.io,Business
94,ubuntu.com,Technology
95,casalemedia.com,Advertisements
96,facebook.net,Social Networks
97,ggpht.com,Content Servers
98,smartadserver.com,Advertisements
99,scorecardresearch.com,Business
100,app-analytics-services.com,Content Servers
