rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,microsoft.com,Information Technology;Business
6,doubleclick.net,Advertisements
7,gvt2.com,Content Servers
8,fbcdn.net,Social Networks
9,tiktokcdn.com,Content Servers;Social Networks
10,youtube.com,Video Streaming
11,googlevideo.com,Search Engines;Video Streaming
12,apple.com,Information Technology;Technology
13,instagram.com,Social Networks
14,googleusercontent.com,Content Servers
15,googlesyndication.com,Search Engines;Advertisements
16,google-analytics.com,Business;Technology
17,tiktokv.com,Social Networks;Video Streaming
18,akamai.net,Content Servers
19,mail.ru,Webmail
20,yandex.ru,News & Media
21,cdn77.org,Content Servers
22,cloudflare.com,Technology
23,googletagmanager.com,Content Servers
24,akamaiedge.net,Content Servers
25,akadns.net,Content Servers
26,googleadservices.com,Advertisements
27,google.ge,Search Engines
28,apple-dns.net,Content Servers
29,ytimg.com,Content Servers
30,bing.com,Search Engines
31,icloud.com,File Sharing;Content Servers
32,live.com,Technology;Webmail
33,whatsapp.net,Instant Messengers;Internet Phone & VOIP
34,amazonaws.com,Technology
35,ttlivecdn.com,Content Servers
36,bytefcdn-oversea.com,
37,yahoo.com,News & Media
38,office.com,Technology
39,yandex.net,News & Media
40,ggpht.com,Content Servers
41,cloudfront.net,Content Servers;Science;Technology
42,aaplimg.com,Information Technology;Content Servers;Technology
43,facebook.net,Social Networks
44,clarity.ms,Content Servers
45,cloudflare-dns.com,Content Servers
46,msn.com,News & Media
47,amazon-adsystem.com,Advertisements
48,amazon.com,Ecommerce
49,rubiconproject.com,Advertisements
50,adnxs.com,Content Servers
51,spotify.com,Audio Streaming
52,pubmatic.com,Business;Technology
53,office.net,Content Servers
54,linkedin.com,Professional Networking
55,skype.com,Instant Messengers;Internet Phone & VOIP
56,azure.com,Technology
57,viber.com,Instant Messengers;Internet Phone & VOIP
58,bytefcdn-ttpeu.com,Content Servers
59,cdninstagram.com,Content Servers
60,ntp.org,Technology;Government
61,criteo.com,Business
62,gvt1.com,Content Servers
63,fastly.net,Information Security;Information Technology;Technology
64,rocket-cdn.com,Content Servers
65,grammarly.com,Artificial Intelligence;Hobbies & Interests
66,trafficmanager.net,Content Servers
67,app-measurement.com,APIs
68,moviead55.ru,Content Servers
69,hotjar.com,Business;Technology
70,fastly-edge.com,Content Servers
71,twitter.com,Social Networks
72,nr-data.net,Content Servers
73,ok.ru,Social Networks;Video Streaming
74,roblox.com,Gaming;Safe for Kids
75,bog.ge,Economy & Finance
76,fbsbx.com,Content Servers
77,casalemedia.com,Advertisements
78,windowsupdate.com,Information Technology;Business
79,smartadserver.com,Advertisements
80,openx.net,Advertisements
81,unity3d.com,Gaming;Technology
82,bidswitch.net,Technology
83,qlivecdn.com,
84,grammarly.io,Information Technology;Content Servers
85,opera.com,Technology
86,byteoversea.net,Content Servers
87,adform.net,Content Servers
88,ampproject.org,Information Technology
89,sentry.io,Business
90,pinterest.com,Photography;Social Networks
91,online-metrix.net,Content Servers
92,vk.com,Social Networks
93,akamaized.net,Content Servers
94,pki.goog,Information Security
95,adjarabet.com,Gambling;CIPA Filter
96,app-analytics-services.com,Content Servers
97,demdex.net,Technology
98,snapchat.com,Social Networks
99,digicert.com,Information Security
100,appsflyersdk.com,Content Servers;APIs
