rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Personal Blogs
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,office.com,Technology
7,akamai.net,Content Servers
8,tiktokcdn.com,Content Servers;Social Networks
9,apple.com,Information Technology;Technology
10,bing.com,Search Engines
11,akamaiedge.net,Content Servers
12,whatsapp.net,Instant Messengers;Internet Phone & VOIP
13,akadns.net,Content Servers
14,youtube.com,Video Streaming
15,live.com,Technology;Webmail
16,msn.com,News & Media
17,tiktokv.com,Social Networks;Video Streaming
18,apple-dns.net,Content Servers
19,doubleclick.net,Advertisements
20,snapchat.com,Social Networks
21,icloud.com,File Sharing;Content Servers
22,cdn77.org,Content Servers
23,googlevideo.com,Search Engines;Video Streaming
24,office365.com,Technology
25,amazonaws.com,Technology
26,instagram.com,Social Networks
27,googleusercontent.com,Content Servers
28,office.net,Content Servers
29,cloudfront.net,Content Servers;Science;Technology
30,cloudflare.com,Technology
31,aaplimg.com,Information Technology;Content Servers;Technology
32,fbcdn.net,Social Networks
33,gvt2.com,Content Servers
34,ntp.org,Technology;Government
35,googlesyndication.com,Search Engines;Advertisements
36,netflix.com,Movies;Video Streaming
37,ytimg.com,Content Servers
38,googleadservices.com,Advertisements
39,google-analytics.com,Business;Technology
40,sc-cdn.net,Content Servers
41,bytefcdn-oversea.com,
42,skype.com,Instant Messengers;Internet Phone & VOIP
43,microsoftonline.com,Technology
44,azure.com,Technology
45,cloudflare-dns.com,Content Servers
46,ttlivecdn.com,Content Servers
47,bytefcdn-ttpeu.com,Content Servers
48,amazon-adsystem.com,Advertisements
49,akamaized.net,Content Servers
50,amazon.com,Ecommerce
51,lencr.org,Information Technology
52,adnxs.com,Content Servers
53,spotify.com,Audio Streaming
54,windowsupdate.com,Information Technology;Business
55,smartadserver.com,Advertisements
56,yahoo.com,News & Media
57,msftncsi.com,Content Servers
58,pki.goog,Information Security
59,trafficmanager.net,Information Technology;Content Servers
60,sharepoint.com,File Sharing;Technology
61,criteo.com,Business
62,fastly.net,Information Security;Information Technology;Technology
63,googletagmanager.com,Content Servers
64,sc-gw.com,Content Servers
65,app-analytics-services.com,Content Servers
66,app-measurement.com,APIs
67,ggpht.com,Content Servers
68,gmail.com,Webmail
69,windows.com,Information Technology
70,cdninstagram.com,Content Servers
71,windows.net,Technology
72,avast.com,Technology
73,rubiconproject.com,Advertisements
74,digicert.com,Information Security
75,avcdn.net,Content Servers
76,outlook.com,Webmail
77,tiktokcdn-eu.com,Content Servers
78,dropbox.com,File Sharing
79,a2z.com,Content Servers
80,baidu.com,Search Engines
81,azureedge.net,Content Servers
82,gvt1.com,Content Servers
83,msftconnecttest.com,Content Servers
84,mozilla.com,Information Technology
85,taboola.com,Business;Advertisements
86,unity3d.com,Gaming;Technology
87,adobe.io,Business;Technology
88,epicgames.com,Ecommerce;Gaming
89,adobe.com,Technology
90,mozgcp.net,Information Technology;Content Servers
91,pubmatic.com,Business;Technology
92,msedge.net,Content Servers
93,nr-data.net,Content Servers
94,3lift.com,Business
95,orange.fr,Information Technology
96,mcafee.com,Technology
97,appsflyersdk.com,Content Servers;APIs
98,gamepass.com,Gaming;Information Technology
99,cdn-apple.com,Content Servers
100,applovin.com,Business;Technology
