rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,microsoft.com,Information Technology;Business
4,googleapis.com,Content Servers;Webmail
5,facebook.com,Social Networks
6,tiktokcdn.com,Content Servers;Social Networks
7,apple.com,Information Technology;Technology
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,tiktokv.com,Social Networks;Video Streaming
10,doubleclick.net,Advertisements
11,gvt2.com,Content Servers
12,akamai.net,Content Servers
13,live.com,Technology;Webmail
14,cdn77.org,Content Servers
15,akadns.net,Content Servers
16,snapchat.com,Social Networks
17,bing.com,Search Engines
18,amazonaws.com,Technology
19,youtube.com,Video Streaming
20,office.com,Technology
21,akamaiedge.net,Content Servers
22,instagram.com,Social Networks
23,apple-dns.net,Content Servers
24,googlevideo.com,Search Engines;Video Streaming
25,fbcdn.net,Social Networks
26,bytefcdn-oversea.com,
27,googleusercontent.com,Content Servers
28,googlesyndication.com,Search Engines;Advertisements
29,grammarly.com,Artificial Intelligence;Hobbies & Interests
30,icloud.com,File Sharing;Content Servers
31,msn.com,News & Media
32,grammarly.io,Information Technology;Content Servers
33,aaplimg.com,Information Technology;Content Servers;Technology
34,spotify.com,Audio Streaming
35,ttlivecdn.com,Content Servers
36,office.net,Content Servers
37,skype.com,Instant Messengers;Internet Phone & VOIP
38,cloudflare-dns.com,Content Servers
39,google-analytics.com,Business;Technology
40,ytimg.com,Content Servers
41,cloudflare.com,Technology
42,bytefcdn-ttpeu.com,Content Servers
43,google.com.gh,Search Engines
44,azure.com,Technology
45,googleadservices.com,Advertisements
46,cloudfront.net,Content Servers;Science;Technology
47,rocket-cdn.com,Content Servers
48,yahoo.com,News & Media
49,netflix.com,Movies;Video Streaming
50,sc-gw.com,Content Servers
51,sc-cdn.net,Content Servers
52,amazon-adsystem.com,Advertisements
53,msftconnecttest.com,Content Servers
54,shalltry.com,Content Servers
55,akamaized.net,Content Servers
56,windows.com,Information Technology
57,msftncsi.com,Content Servers
58,whatsapp.com,Instant Messengers;Internet Phone & VOIP
59,twitter.com,Social Networks
60,app-measurement.com,APIs
61,windowsupdate.com,Information Technology;Business
62,trafficmanager.net,Content Servers
63,wsdvs.com,Content Servers
64,pki.goog,Information Security
65,linkedin.com,Professional Networking
66,atomile.com,No Content
67,gvt1.com,Content Servers
68,qlivecdn.com,
69,lencr.org,Information Technology
70,msport.com,Gambling;CIPA Filter
71,ntp.org,Technology
72,office365.com,Technology
73,googletagmanager.com,Content Servers
74,applovin.com,Gaming
75,digicert.com,Information Security
76,unity3d.com,Gaming;Technology
77,byteglb.com,
78,ggpht.com,Content Servers
79,microsoftonline.com,Technology
80,fastly.net,Information Security;Information Technology;Technology
81,appsflyersdk.com,Content Servers
82,byteoversea.net,Content Servers
83,ui.com,Technology
84,sharepoint.com,File Sharing;Technology
85,adnxs.com,Content Servers
86,nr-data.net,Content Servers
87,twimg.com,Content Servers
88,rubiconproject.com,Advertisements
89,pubmatic.com,Business;Technology
90,dns.google,Information Technology
91,mozilla.com,Information Technology
92,amplitude.com,Business;Technology
93,amazon.com,Ecommerce
94,gmail.com,Webmail
95,cdn-apple.com,Content Servers
96,opera.com,Technology
97,zoom.us,Technology
98,msedge.net,Content Servers
99,bangcdn.net,Content Servers
100,criteo.com,Business
