rank,domain,categories
1,tiktokcdn.com,Content Servers;Social Networks
2,google.com,Search Engines
3,googleapis.com,Content Servers;Personal Blogs
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,whatsapp.net,Instant Messengers;Internet Phone & VOIP
7,tiktokv.com,Social Networks;Video Streaming
8,microsoft.com,Information Technology;Business
9,instagram.com,Social Networks
10,akamai.net,Content Servers
11,apple.com,Information Technology;Technology
12,cdn77.org,Content Servers
13,apple-dns.net,Content Servers
14,shalltry.com,Content Servers
15,akamaiedge.net,Content Servers
16,doubleclick.net,Advertisements
17,bytefcdn-oversea.com,
18,youtube.com,Video Streaming
19,ttlivecdn.com,Content Servers
20,akadns.net,Content Servers
21,googlevideo.com,Search Engines;Video Streaming
22,snapchat.com,Social Networks
23,netflix.com,Movies;Video Streaming
24,gvt2.com,Content Servers
25,fbcdn.net,Social Networks
26,ytimg.com,Content Servers
27,office.com,Technology
28,ntp.org,Technology;Government
29,amazonaws.com,Technology
30,skype.com,Instant Messengers;Internet Phone & VOIP
31,icloud.com,File Sharing;Content Servers
32,bytefcdn-ttpeu.com,Content Servers
33,live.com,Technology;Webmail
34,aaplimg.com,Information Technology;Content Servers;Technology
35,app-measurement.com,APIs
36,googlesyndication.com,Search Engines;Advertisements
37,googleusercontent.com,Content Servers
38,spotify.com,Audio Streaming
39,applovin.com,Gaming
40,unity3d.com,Gaming;Technology
41,cloudfront.net,Content Servers;Science;Technology
42,bing.com,Search Engines
43,xvideos-cdn.com,CIPA Filter;Pornography
44,cloudflare-dns.com,Content Servers
45,gvt1.com,Content Servers
46,qq.com,News & Media
47,dns.google,Information Technology
48,byteoversea.net,Content Servers
49,v-mate.mobi,Gaming
50,pangle.io,Content Servers
51,rocket-cdn.com,Content Servers
52,wsdvs.com,Content Servers
53,qlivecdn.com,
54,azureedge.net,Content Servers
55,google-analytics.com,Business;Technology
56,amazon-adsystem.com,Advertisements
57,android.com,Technology
58,msn.com,News & Media
59,akamaized.net,Content Servers
60,whatsapp.com,Instant Messengers;Internet Phone & VOIP
61,fastly.net,Information Security;Information Technology;Technology
62,tiktokcdn-us.com,Content Servers
63,avcdn.net,Content Servers
64,xiaomi.com,Technology
65,atomile.com,No Content
66,byteglb.com,
67,ggpht.com,Content Servers
68,yahoo.com,News & Media
69,kzhi.tech,Content Servers
70,googleadservices.com,Advertisements
71,piojm.tech,Technology
72,baidu.com,Search Engines
73,isnssdk.com,Content Servers
74,appsflyer.com,Business;Technology
75,microsoftonline.com,Technology
76,pki.goog,Information Security
77,hisavana.com,Content Servers
78,mikrotik.com,Technology
79,vungle.com,Business;Technology
80,amazon.com,Ecommerce
81,inmobi.com,Business
82,cdninstagram.com,Content Servers
83,crashlytics.com,Information Technology
84,dropbox.com,File Sharing
85,sc-cdn.net,Content Servers
86,mtgglobals.com,Content Servers
87,googletagmanager.com,Content Servers
88,aliyuncs.com,Content Servers
89,azure.com,Technology
90,appsflyersdk.com,Content Servers;APIs
91,bangcdn.net,Content Servers
92,likee.video,Social Networks;Video Streaming
93,windows.com,Information Technology
94,appcenter.ms,Technology
95,bigolive.tv,Video Streaming
96,cloudflare.com,Technology
97,imolive2.com,Content Servers
98,xnxx-cdn.com,CIPA Filter;Pornography
99,avast.com,Technology
100,office365.com,Technology
