rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,doubleclick.net,Advertisements
7,gvt2.com,Content Servers
8,apple.com,Information Technology;Technology
9,office.com,Technology
10,googlesyndication.com,Search Engines;Advertisements
11,live.com,Technology;Webmail
12,cloudflare.com,Technology
13,googlevideo.com,Search Engines;Video Streaming
14,youtube.com,Video Streaming
15,instagram.com,Social Networks
16,google-analytics.com,Business;Technology
17,fbcdn.net,Social Networks
18,akadns.net,Content Servers
19,bing.com,Search Engines
20,googleusercontent.com,Content Servers
21,googleadservices.com,Advertisements
22,spotify.com,Audio Streaming
23,amazonaws.com,Technology
24,yahoo.com,News & Media
25,cloudfront.net,Content Servers;Science;Technology
26,akamai.net,Content Servers
27,msn.com,News & Media
28,akamaiedge.net,Content Servers
29,tiktokcdn.com,Content Servers;Social Networks
30,office.net,Content Servers
31,google.gr,Search Engines
32,azure.com,Technology
33,googletagmanager.com,Content Servers
34,skype.com,Instant Messengers;Internet Phone & VOIP
35,tiktokv.com,Social Networks;Video Streaming
36,apple-dns.net,Content Servers
37,ytimg.com,Content Servers
38,amazon-adsystem.com,Advertisements
39,microsoftonline.com,Technology
40,ntp.org,Technology
41,icloud.com,File Sharing;Content Servers
42,cloudflare-dns.com,Content Servers
43,taboola.com,Business;Advertisements
44,viber.com,Instant Messengers;Internet Phone & VOIP
45,office365.com,Technology
46,criteo.com,Business
47,rubiconproject.com,Advertisements
48,trafficmanager.net,Content Servers
49,adnxs.com,Content Servers
50,windowsupdate.com,Information Technology;Business
51,whatsapp.net,Instant Messengers;Internet Phone & VOIP
52,twitter.com,Social Networks
53,linkedin.com,Professional Networking
54,pubmatic.com,Business;Technology
55,fastly.net,Information Security;Information Technology;Technology
56,lencr.org,Information Technology
57,clarity.ms,Content Servers
58,onesignal.com,Business;Technology
59,facebook.net,Social Networks
60,netflix.com,Movies;Video Streaming
61,aaplimg.com,Information Technology;Content Servers;Technology
62,windows.net,Technology
63,ggpht.com,Content Servers
64,glomex.com,Business;Technology
65,mozilla.com,Information Technology
66,openx.net,Advertisements
67,digicert.com,Information Security
68,app-measurement.com,APIs
69,outlook.com,Webmail
70,ttlivecdn.com,Content Servers
71,gvt1.com,Content Servers
72,casalemedia.com,Advertisements
73,akamaized.net,Content Servers
74,sharepoint.com,File Sharing;Technology
75,gmail.com,Webmail
76,smartadserver.com,Advertisements
77,cdn77.org,Content Servers
78,msedge.net,Content Servers
79,cdninstagram.com,Content Servers
80,azureedge.net,Content Servers
81,orangeclickmedia.com,Business
82,criteo.net,Business
83,windows.com,Information Technology
84,jsdelivr.net,Content Servers
85,msftncsi.com,Content Servers
86,pki.goog,Information Security
87,ampproject.org,Information Technology
88,dropbox.com,File Sharing
89,twimg.com,Content Servers
90,teads.tv,Advertisements
91,adobe.com,Technology
92,nr-data.net,Content Servers
93,adform.net,Content Servers
94,2mdn.net,Content Servers
95,adman.gr,Business
96,fastly-edge.com,Content Servers
97,lijit.com,Business
98,snapchat.com,Social Networks
99,outbrain.com,Business;Advertisements
100,amazon.com,Ecommerce
