rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,gstatic.com,Content Servers
4,tiktokcdn.com,Content Servers;Social Networks
5,facebook.com,Social Networks
6,microsoft.com,Information Technology;Business
7,tiktokv.com,Social Networks;Video Streaming
8,youtube.com,Video Streaming
9,googlevideo.com,Search Engines;Video Streaming
10,whatsapp.net,Instant Messengers;Internet Phone & VOIP
11,gvt2.com,Content Servers
12,instagram.com,Social Networks
13,doubleclick.net,Advertisements
14,apple.com,Information Technology;Technology
15,fbcdn.net,Social Networks
16,spotify.com,Audio Streaming
17,ytimg.com,Content Servers
18,bing.com,Search Engines
19,googleusercontent.com,Content Servers
20,googlesyndication.com,Search Engines;Advertisements
21,akamai.net,Content Servers
22,live.com,Technology;Webmail
23,cdn77.org,Content Servers
24,netflix.com,Movies;Video Streaming
25,ttlivecdn.com,Content Servers
26,office.com,Technology
27,cloudflare.com,Technology
28,amazonaws.com,Technology
29,ggpht.com,Content Servers
30,googleadservices.com,Advertisements
31,akadns.net,Content Servers
32,akamaiedge.net,Content Servers
33,icloud.com,File Sharing;Content Servers
34,gvt1.com,Content Servers
35,msn.com,News & Media
36,office.net,Content Servers
37,ntp.org,Technology;Government
38,bytefcdn-oversea.com,
39,snapchat.com,Social Networks
40,cloudfront.net,Content Servers;Science;Technology
41,amazon.com,Ecommerce
42,tiktokcdn-us.com,Content Servers
43,apple-dns.net,Content Servers
44,google-analytics.com,Business;Technology
45,google.com.gt,Search Engines
46,amazon-adsystem.com,Advertisements
47,whatsapp.com,Instant Messengers;Internet Phone & VOIP
48,unity3d.com,Gaming;Technology
49,skype.com,Instant Messengers;Internet Phone & VOIP
50,aaplimg.com,Information Technology;Content Servers;Technology
51,roblox.com,Gaming;Safe for Kids
52,bytefcdn-ttpeu.com,Content Servers
53,cloudflare-dns.com,Content Servers
54,pangle.io,Content Servers
55,microsoftonline.com,Technology
56,rbxcdn.com,Content Servers
57,appsflyersdk.com,Content Servers;APIs
58,qlivecdn.com,
59,rocket-cdn.com,Content Servers
60,twitter.com,Social Networks
61,akamaized.net,Content Servers
62,googletagmanager.com,Content Servers
63,applovin.com,Gaming
64,byteicdn.com,Content Servers
65,app-measurement.com,APIs
66,rubiconproject.com,Advertisements
67,cdninstagram.com,Content Servers
68,fastly.net,Information Security;Information Technology;Technology
69,ampproject.org,Information Technology
70,yahoo.com,News & Media
71,bamgrid.com,Content Servers
72,android.com,Technology
73,nflxso.net,Content Servers
74,atomile.com,No Content
75,a2z.com,Content Servers
76,linkedin.com,Professional Networking
77,scdn.co,Content Servers
78,vungle.com,Business;Technology
79,pubmatic.com,Business;Technology
80,msftncsi.com,Content Servers
81,samsungcloud.com,Content Servers
82,wsdvs.com,Content Servers
83,gmail.com,Webmail
84,appcenter.ms,Technology
85,azure.com,Technology
86,office365.com,Technology
87,dbankcloud.com,Technology
88,tiktok.com,Social Networks;Video Streaming;Advertisements
89,windowsupdate.com,Information Technology;Business
90,mtgglobals.com,Content Servers
91,epicgames.com,Ecommerce;Gaming
92,windows.com,Information Technology
93,facebook.net,Social Networks
94,dns.google,Information Technology
95,digicert.com,Information Security
96,lencr.org,Information Technology
97,pki.goog,Information Security
98,msftconnecttest.com,Content Servers
99,twimg.com,Content Servers
100,eset.com,Technology
