rank,domain,categories
1,googleapis.com,Content Servers;Personal Blogs
2,google.com,Search Engines
3,gstatic.com,Content Servers
4,tiktokcdn.com,Content Servers;Social Networks
5,facebook.com,Social Networks
6,microsoft.com,Information Technology;Business
7,tiktokv.com,Social Networks;Video Streaming
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,doubleclick.net,Advertisements
10,gvt2.com,Content Servers
11,googlevideo.com,Search Engines;Video Streaming
12,akamai.net,Content Servers
13,youtube.com,Video Streaming
14,cloudfront.net,Content Servers;Science;Technology
15,instagram.com,Social Networks
16,googlesyndication.com,Search Engines;Advertisements
17,cdn77.org,Content Servers
18,amazonaws.com,Technology
19,fbcdn.net,Social Networks
20,apple.com,Information Technology;Technology
21,googleusercontent.com,Content Servers
22,ttlivecdn.com,Content Servers
23,live.com,Technology;Webmail
24,spotify.com,Audio Streaming
25,ytimg.com,Content Servers
26,netflix.com,Movies;Video Streaming
27,bing.com,Search Engines
28,akadns.net,Content Servers
29,office.com,Technology
30,akamaiedge.net,Content Servers
31,cloudflare-dns.com,Content Servers
32,bytefcdn-oversea.com,
33,googleadservices.com,Advertisements
34,cloudflare.com,Technology
35,snapchat.com,Social Networks
36,msn.com,News & Media
37,amazon.com,Ecommerce
38,amazon-adsystem.com,Advertisements
39,apple-dns.net,Content Servers
40,gvt1.com,Content Servers
41,icloud.com,File Sharing;Content Servers
42,google-analytics.com,Business;Technology
43,tiktokcdn-us.com,Content Servers
44,office.net,Content Servers
45,google.hn,Search Engines
46,whatsapp.com,Instant Messengers;Internet Phone & VOIP
47,bytefcdn-ttpeu.com,Content Servers
48,ggpht.com,Content Servers
49,ntp.org,Technology;Government
50,aaplimg.com,Information Technology;Content Servers;Technology
51,yahoo.com,News & Media
52,gboxlab.com,Information Technology
53,skype.com,Instant Messengers;Internet Phone & VOIP
54,rocket-cdn.com,Content Servers
55,akamaized.net,Content Servers
56,roblox.com,Gaming;Safe for Kids
57,qlivecdn.com,
58,unity3d.com,Gaming;Technology
59,googletagmanager.com,Content Servers
60,a2z.com,Content Servers
61,linkedin.com,Professional Networking
62,appsflyersdk.com,Content Servers;APIs
63,dns.google,Information Technology
64,app-measurement.com,APIs
65,cdninstagram.com,Content Servers
66,pubmatic.com,Business;Technology
67,rbxcdn.com,Content Servers
68,twitter.com,Social Networks
69,adnxs.com,Content Servers
70,fastly.net,Information Security;Information Technology;Technology
71,pangle.io,Content Servers
72,atomile.com,No Content
73,microsoftonline.com,Technology
74,mtgglobals.com,Content Servers
75,wsdvs.com,Content Servers
76,ampproject.org,Information Technology
77,windowsupdate.com,Information Technology;Business
78,criteo.com,Business
79,windows.com,Information Technology
80,appcenter.ms,Technology
81,rubiconproject.com,Advertisements
82,applovin.com,Gaming
83,msftncsi.com,Content Servers
84,msftconnecttest.com,Content Servers
85,android.com,Technology
86,facebook.net,Social Networks
87,cdn-apple.com,Content Servers
88,byteoversea.net,Content Servers
89,azure.com,Technology
90,tiktokv.us,Content Servers
91,office365.com,Technology
92,baidu.com,Search Engines
93,dbankcloud.com,Technology
94,lencr.org,Information Technology
95,pitaya-clientai.com,
96,openx.net,Advertisements
97,samsungcloud.com,Content Servers
98,scorecardresearch.com,Business
99,bamgrid.com,Content Servers
100,smartadserver.com,Advertisements
