rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,doubleclick.net,Advertisements
7,googlesyndication.com,Search Engines;Advertisements
8,office.com,Technology
9,instagram.com,Social Networks
10,cloudflare.com,Technology
11,bing.com,Search Engines
12,youtube.com,Video Streaming
13,apple.com,Information Technology;Technology
14,google-analytics.com,Business;Technology
15,live.com,Technology;Webmail
16,googlevideo.com,Search Engines;Video Streaming
17,spotify.com,Audio Streaming
18,tiktokcdn.com,Content Servers;Social Networks
19,googleusercontent.com,Content Servers
20,gvt2.com,Content Servers
21,amazonaws.com,Technology
22,cloudfront.net,Content Servers;Science;Technology
23,whatsapp.net,Instant Messengers;Internet Phone & VOIP
24,googleadservices.com,Advertisements
25,tiktokv.com,Social Networks;Video Streaming
26,amazon-adsystem.com,Advertisements
27,fbcdn.net,Social Networks
28,ytimg.com,Content Servers
29,akadns.net,Content Servers
30,akamaiedge.net,Content Servers
31,azure.com,Technology
32,googletagmanager.com,Content Servers
33,akamai.net,Content Servers
34,fastly.net,Information Security;Information Technology;Technology
35,criteo.com,Business
36,msn.com,News & Media
37,apple-dns.net,Content Servers
38,viber.com,Instant Messengers;Internet Phone & VOIP
39,rubiconproject.com,Advertisements
40,google.hr,Search Engines
41,office.net,Content Servers
42,icloud.com,File Sharing;Content Servers
43,adnxs.com,Content Servers
44,skype.com,Instant Messengers;Internet Phone & VOIP
45,ntp.org,Technology;Government
46,cdn77.org,Content Servers
47,cloudflare-dns.com,Content Servers
48,lencr.org,Information Technology
49,yahoo.com,News & Media
50,smartadserver.com,Advertisements
51,trafficmanager.net,Content Servers
52,slack.com,Instant Messengers
53,pubmatic.com,Business;Technology
54,ggpht.com,Content Servers
55,snapchat.com,Social Networks
56,casalemedia.com,Advertisements
57,ad.gt,Advertisements
58,dotmetrics.net,Business;Technology
59,windowsupdate.com,Information Technology;Business
60,adform.net,Content Servers
61,aaplimg.com,Information Technology;Content Servers;Technology
62,pki.goog,Information Security
63,dotmetrics.rocks,Content Servers
64,office365.com,Technology
65,netflix.com,Movies;Video Streaming
66,teads.tv,Advertisements
67,microsoftonline.com,Technology
68,linkedin.com,Professional Networking
69,twitter.com,Social Networks
70,3lift.com,Business
71,criteo.net,Business
72,lijit.com,Business
73,facebook.net,Social Networks
74,index.hr,News & Media
75,mozilla.com,Information Technology
76,gvt1.com,Content Servers
77,cdninstagram.com,Content Servers
78,gmail.com,Webmail
79,creativecdn.com,Content Servers
80,ttlivecdn.com,Content Servers
81,azureedge.net,Content Servers
82,clarity.ms,Content Servers
83,2mdn.net,Content Servers
84,amazon.com,Ecommerce
85,bytefcdn-oversea.com,
86,openx.net,Advertisements
87,app-measurement.com,APIs
88,id5-sync.com,Content Servers
89,sharepoint.com,File Sharing;Technology
90,bidswitch.net,Technology
91,akamaized.net,Content Servers
92,connectad.io,Technology
93,adobe.com,Technology
94,jsdelivr.net,Content Servers
95,ampproject.org,Information Technology
96,quantserve.com,Content Servers
97,upscore.com,Business
98,taboola.com,Business;Advertisements
99,pinterest.com,Photography;Social Networks
100,sentry.io,Business
