rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,doubleclick.net,Advertisements
8,gvt2.com,Content Servers
9,googlevideo.com,Search Engines;Video Streaming
10,youtube.com,Video Streaming
11,googlesyndication.com,Search Engines;Advertisements
12,office.com,Technology
13,fbcdn.net,Social Networks
14,googleusercontent.com,Content Servers
15,tiktokcdn.com,Content Servers;Social Networks
16,spotify.com,Audio Streaming
17,live.com,Technology;Webmail
18,akadns.net,Content Servers
19,cloudflare.com,Technology
20,bing.com,Search Engines
21,amazonaws.com,Technology
22,googleadservices.com,Advertisements
23,akamaiedge.net,Content Servers
24,instagram.com,Social Networks
25,google-analytics.com,Business;Technology
26,apple-dns.net,Content Servers
27,akamai.net,Content Servers
28,ytimg.com,Content Servers
29,tiktokv.com,Social Networks;Video Streaming
30,office.net,Content Servers
31,msn.com,News & Media
32,ntp.org,Technology;Government
33,icloud.com,File Sharing;Content Servers
34,cloudfront.net,Content Servers;Science;Technology
35,rubiconproject.com,Advertisements
36,skype.com,Instant Messengers;Internet Phone & VOIP
37,netflix.com,Movies;Video Streaming
38,azure.com,Technology
39,googletagmanager.com,Content Servers
40,cloudflare-dns.com,Content Servers
41,google.hu,Search Engines
42,viber.com,Instant Messengers;Internet Phone & VOIP
43,office365.com,Technology
44,adnxs.com,Content Servers
45,criteo.com,Business
46,amazon-adsystem.com,Advertisements
47,trafficmanager.net,Information Technology;Content Servers
48,aaplimg.com,Information Technology;Content Servers;Technology
49,lencr.org,Information Technology
50,yahoo.com,News & Media
51,microsoftonline.com,Technology
52,fastly.net,Information Security;Information Technology;Technology
53,cdn77.org,Content Servers
54,ggpht.com,Content Servers
55,pki.goog,Information Security
56,pubmatic.com,Business;Technology
57,smartadserver.com,Advertisements
58,taboola.com,Business;Advertisements
59,adform.net,Content Servers
60,gemius.pl,Business;Technology
61,ui.com,Technology
62,facebook.net,Social Networks
63,eset.com,Technology
64,whatsapp.net,Instant Messengers;Internet Phone & VOIP
65,msftncsi.com,Content Servers
66,windowsupdate.com,Information Technology;Business
67,gmail.com,Webmail
68,sharepoint.com,File Sharing;Technology
69,openx.net,Advertisements
70,mozilla.com,Information Technology
71,app-measurement.com,APIs
72,casalemedia.com,Advertisements
73,teads.tv,Advertisements
74,windows.com,Information Technology
75,linkedin.com,Professional Networking
76,ttlivecdn.com,Content Servers
77,outlook.com,Webmail
78,amazon.com,Ecommerce
79,digicert.com,Information Security
80,snapchat.com,Social Networks
81,azureedge.net,Content Servers
82,cdninstagram.com,Content Servers
83,gvt1.com,Content Servers
84,3lift.com,Business
85,hotjar.com,Business;Technology
86,bytefcdn-oversea.com,
87,creativecdn.com,Content Servers
88,2mdn.net,Content Servers
89,criteo.net,Business
90,discord.com,Instant Messengers;Internet Phone & VOIP
91,akamaized.net,Content Servers
92,msftconnecttest.com,Content Servers
93,inmobi.com,Business
94,msedge.net,Content Servers
95,twitter.com,Social Networks
96,clarity.ms,Content Servers
97,brave.com,Information Technology
98,360yield.com,Technology
99,adobe.com,Technology
100,windows.net,Technology
