rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,tiktokcdn.com,Content Servers;Social Networks
5,facebook.com,Social Networks
6,gvt2.com,Content Servers
7,microsoft.com,Information Technology;Business
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,doubleclick.net,Advertisements
10,googlevideo.com,Search Engines;Video Streaming
11,youtube.com,Video Streaming
12,instagram.com,Social Networks
13,tiktokv.com,Social Networks;Video Streaming
14,googlesyndication.com,Search Engines;Advertisements
15,googleusercontent.com,Content Servers
16,akamai.net,Content Servers
17,ttlivecdn.com,Content Servers
18,apple.com,Information Technology;Technology
19,cdn77.org,Content Servers
20,shopee.co.id,Ecommerce
21,ytimg.com,Content Servers
22,fbcdn.net,Social Networks
23,google-analytics.com,Business;Technology
24,googleadservices.com,Advertisements
25,bing.com,Search Engines
26,spotify.com,Audio Streaming
27,cloudflare.com,Technology
28,amazonaws.com,Technology
29,vivoglobal.com,Technology
30,akamaiedge.net,Content Servers
31,ibyteimg.com,Content Servers
32,ntp.org,Technology;Government
33,akadns.net,Content Servers
34,cloudfront.net,Content Servers;Science;Technology
35,msn.com,News & Media
36,cloudflare-dns.com,Content Servers
37,bytefcdn-oversea.com,
38,live.com,Technology;Webmail
39,whatsapp.com,Instant Messengers;Internet Phone & VOIP
40,googletagmanager.com,Content Servers
41,google.co.id,Search Engines
42,snackvideo.in,
43,ggpht.com,Content Servers
44,office.com,Technology
45,heytapmobile.com,Content Servers
46,byteoversea.com,Content Servers
47,akamaized.net,Content Servers
48,heytapdl.com,Content Servers
49,ampproject.org,Information Technology
50,amazon-adsystem.com,Advertisements
51,apple-dns.net,Content Servers
52,rubiconproject.com,Advertisements
53,applovin.com,Gaming
54,gvt1.com,Content Servers
55,shopeemobile.com,Ecommerce
56,allawnos.com,
57,yahoo.com,News & Media
58,appsflyersdk.com,Content Servers;APIs
59,xiaomi.com,Technology
60,bytefcdn-ttpeu.com,Content Servers
61,pubmatic.com,Business;Technology
62,unity3d.com,Gaming;Technology
63,netflix.com,Movies;Video Streaming
64,adnxs.com,Content Servers
65,go.id,
66,rocket-cdn.com,Content Servers
67,android.com,Technology
68,pangle.io,Content Servers
69,kwai-pro.com,Content Servers
70,appsflyer.com,Business;Technology
71,dns.google,Information Technology
72,trafficmanager.net,Content Servers
73,susercontent.com,No Content
74,icloud.com,File Sharing;Content Servers
75,azure.com,Technology
76,tokopedia.com,Ecommerce
77,app-measurement.com,APIs
78,cdninstagram.com,Content Servers
79,wsdvs.com,Content Servers
80,facebook.net,Social Networks
81,aaplimg.com,Information Technology;Content Servers;Technology
82,isnssdk.com,Content Servers
83,skype.com,Instant Messengers;Internet Phone & VOIP
84,criteo.com,Business
85,twitter.com,Social Networks
86,split.io,Business
87,atomile.com,No Content
88,shalltry.com,Content Servers
89,mgid.com,Business
90,linkedin.com,Professional Networking
91,miui.com,Technology
92,canva.com,Hobbies & Interests
93,qlivecdn.com,
94,fastly.net,Information Security;Information Technology;Technology
95,office.net,Content Servers
96,smartadserver.com,Advertisements
97,heytapmobi.com,Technology
98,capcutapi.com,Parked & For Sale Domains
99,opera.com,Technology
100,oppomobile.com,Information Technology
