rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,gvt2.com,Content Servers
7,doubleclick.net,Advertisements
8,youtube.com,Video Streaming
9,googlevideo.com,Search Engines;Video Streaming
10,instagram.com,Social Networks
11,whatsapp.net,Instant Messengers;Internet Phone & VOIP
12,googlesyndication.com,Search Engines;Advertisements
13,googleusercontent.com,Content Servers
14,googleadservices.com,Advertisements
15,bing.com,Search Engines
16,ytimg.com,Content Servers
17,apple.com,Information Technology;Technology
18,cloudflare.com,Technology
19,fbcdn.net,Social Networks
20,google-analytics.com,Business;Technology
21,live.com,Technology;Webmail
22,cloudflare-dns.com,Content Servers
23,amazonaws.com,Technology
24,msn.com,News & Media
25,office.com,Technology
26,amazon.com,Ecommerce
27,google.co.in,Search Engines
28,amazon-adsystem.com,Advertisements
29,cloudfront.net,Content Servers;Science;Technology
30,snapchat.com,Social Networks
31,googletagmanager.com,Content Servers
32,spotify.com,Audio Streaming
33,ggpht.com,Content Servers
34,gvt1.com,Content Servers
35,netflix.com,Movies;Video Streaming
36,ampproject.org,Information Technology
37,yahoo.com,News & Media
38,akamaiedge.net,Content Servers
39,ntp.org,Technology;Government
40,akadns.net,Content Servers
41,criteo.com,Business
42,hotstar.com,Movies;Television;Video Streaming
43,linkedin.com,Professional Networking
44,akamai.net,Content Servers
45,akamaized.net,Content Servers
46,apple-dns.net,Content Servers
47,skype.com,Instant Messengers;Internet Phone & VOIP
48,xhcdn.com,Content Servers
49,rubiconproject.com,Advertisements
50,amazon.in,Ecommerce
51,whatsapp.com,Instant Messengers;Internet Phone & VOIP
52,office.net,Content Servers
53,vivoglobal.com,Technology
54,pubmatic.com,Business;Technology
55,adnxs.com,Content Servers
56,allawnos.com,
57,nakheelteam.cc,Technology
58,grammarly.com,Artificial Intelligence;Hobbies & Interests
59,a2z.com,Content Servers
60,taboola.com,Business;Advertisements
61,dns.google,Information Technology
62,icloud.com,File Sharing;Content Servers
63,microsoftonline.com,Technology
64,clevertap-prod.com,Content Servers
65,clarity.ms,Content Servers
66,lencr.org,Information Technology
67,windowsupdate.com,Information Technology;Business
68,android.com,Technology
69,vimeocdn.com,Content Servers
70,app-measurement.com,APIs
71,cdninstagram.com,Content Servers
72,appsflyersdk.com,Content Servers;APIs
73,brave.com,Information Technology
74,aaplimg.com,Information Technology;Content Servers;Technology
75,msftncsi.com,Content Servers
76,3gppnetwork.org,Content Servers
77,windows.com,Information Technology
78,inmobi.com,Business
79,smartadserver.com,Advertisements
80,tsyndicate.com,Content Servers
81,applovin.com,Business;Technology
82,msftconnecttest.com,Content Servers
83,azure.com,Technology
84,truecaller.com,Information Technology;Professional Networking
85,appsflyer.com,Business;Technology
86,facebook.net,Social Networks
87,wikipedia.org,Education
88,grammarly.io,Information Technology;Content Servers
89,paytm.com,Economy & Finance
90,scorecardresearch.com,Business
91,xiaomi.com,Technology
92,media-amazon.com,Content Servers
93,twitter.com,Social Networks
94,msedge.net,Content Servers
95,unity3d.com,Gaming;Technology
96,heytapdl.com,Content Servers
97,windows.net,Technology
98,casalemedia.com,Advertisements
99,office365.com,Technology
100,trafficmanager.net,Information Technology;Content Servers
