rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,tiktokcdn.com,Content Servers;Social Networks
4,microsoft.com,Information Technology;Business
5,gstatic.com,Content Servers
6,facebook.com,Social Networks
7,apple.com,Information Technology;Technology
8,tiktokv.com,Social Networks;Video Streaming
9,akamai.net,Content Servers
10,googlevideo.com,Search Engines;Video Streaming
11,gvt2.com,Content Servers
12,youtube.com,Video Streaming
13,cdn77.org,Content Servers
14,doubleclick.net,Advertisements
15,whatsapp.net,Instant Messengers;Internet Phone & VOIP
16,amazonaws.com,Technology
17,akadns.net,Content Servers
18,instagram.com,Social Networks
19,akamaiedge.net,Content Servers
20,googleusercontent.com,Content Servers
21,snapchat.com,Social Networks
22,office.com,Technology
23,ttlivecdn.com,Content Servers
24,apple-dns.net,Content Servers
25,yahoo.com,News & Media
26,netflix.com,Movies;Video Streaming
27,icloud.com,File Sharing;Content Servers
28,googlesyndication.com,Search Engines;Advertisements
29,bing.com,Search Engines
30,bytefcdn-oversea.com,
31,amazon.com,Ecommerce
32,live.com,Technology;Webmail
33,ytimg.com,Content Servers
34,cloudfront.net,Content Servers;Science;Technology
35,aaplimg.com,Information Technology;Content Servers;Technology
36,ui.com,Technology
37,fbcdn.net,Social Networks
38,office.net,Content Servers
39,amazon-adsystem.com,Advertisements
40,grammarly.com,Artificial Intelligence;Hobbies & Interests
41,skype.com,Instant Messengers;Internet Phone & VOIP
42,fastly.net,Information Security;Information Technology;Technology
43,cloudflare.com,Technology
44,windows.net,Technology
45,google-analytics.com,Business;Technology
46,microsoftonline.com,Technology
47,msn.com,News & Media
48,rocket-cdn.com,Content Servers
49,office365.com,Technology
50,azure.com,Technology
51,tiktokcdn-us.com,Content Servers
52,bytefcdn-ttpeu.com,Content Servers
53,googleadservices.com,Advertisements
54,grammarly.io,Information Technology;Content Servers
55,roblox.com,Gaming;Safe for Kids
56,ggpht.com,Content Servers
57,google.com.jm,Search Engines
58,ntp.org,Technology;Government
59,criteo.com,Business
60,cloudflare-dns.com,Content Servers
61,pubmatic.com,Business;Technology
62,appsflyersdk.com,Content Servers;APIs
63,sharepoint.com,File Sharing;Technology
64,unity3d.com,Gaming;Technology
65,mtgglobals.com,Content Servers
66,qlivecdn.com,
67,applovin.com,Gaming
68,spotify.com,Audio Streaming
69,trafficmanager.net,Content Servers
70,wsdvs.com,Content Servers
71,app-measurement.com,APIs
72,akamaized.net,Content Servers
73,windowsupdate.com,Information Technology;Business
74,pangle.io,Content Servers
75,casalemedia.com,Advertisements
76,mcafee.com,Technology
77,gvt1.com,Content Servers
78,pki.goog,Information Security
79,msftncsi.com,Content Servers
80,rubiconproject.com,Advertisements
81,outlook.com,Webmail
82,lencr.org,Information Technology
83,nr-data.net,Content Servers
84,app-analytics-services.com,Content Servers
85,cdninstagram.com,Content Servers
86,windows.com,Information Technology
87,googletagmanager.com,Content Servers
88,media.net,Business
89,whatsapp.com,Instant Messengers;Internet Phone & VOIP
90,gmail.com,Webmail
91,taboola.com,Business;Advertisements
92,msftconnecttest.com,Content Servers
93,adnxs.com,Content Servers
94,cdn-apple.com,Content Servers
95,surfshark.com,CIPA Filter;Anonymizer
96,azureedge.net,Content Servers
97,digicert.com,Information Security
98,linkedin.com,Professional Networking
99,scorecardresearch.com,Business
100,atomile.com,No Content
