rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,tiktokcdn.com,Content Servers;Social Networks
7,gvt2.com,Content Servers
8,doubleclick.net,Advertisements
9,tiktokv.com,Social Networks;Video Streaming
10,youtube.com,Video Streaming
11,whatsapp.net,Instant Messengers;Internet Phone & VOIP
12,googlevideo.com,Search Engines;Video Streaming
13,googlesyndication.com,Search Engines;Advertisements
14,instagram.com,Social Networks
15,apple.com,Information Technology;Technology
16,googleusercontent.com,Content Servers
17,bing.com,Search Engines
18,akamai.net,Content Servers
19,ytimg.com,Content Servers
20,live.com,Technology;Webmail
21,fbcdn.net,Social Networks
22,googleadservices.com,Advertisements
23,office.com,Technology
24,amazonaws.com,Technology
25,snapchat.com,Social Networks
26,cloudflare.com,Technology
27,cdn77.org,Content Servers
28,akamaiedge.net,Content Servers
29,msn.com,News & Media
30,ttlivecdn.com,Content Servers
31,netflix.com,Movies;Video Streaming
32,spotify.com,Audio Streaming
33,google-analytics.com,Business;Technology
34,google.co.ke,Search Engines
35,cloudfront.net,Content Servers;Science;Technology
36,akadns.net,Content Servers
37,shalltry.com,Content Servers
38,gvt1.com,Content Servers
39,amazon-adsystem.com,Advertisements
40,ntp.org,Technology;Government
41,grammarly.com,Artificial Intelligence;Hobbies & Interests
42,cloudflare-dns.com,Content Servers
43,yahoo.com,News & Media
44,ggpht.com,Content Servers
45,twitter.com,Social Networks
46,icloud.com,File Sharing;Content Servers
47,googletagmanager.com,Content Servers
48,apple-dns.net,Content Servers
49,skype.com,Instant Messengers;Internet Phone & VOIP
50,bytefcdn-oversea.com,
51,msftncsi.com,Content Servers
52,amazon.com,Ecommerce
53,office.net,Content Servers
54,grammarly.io,Information Technology;Content Servers
55,app-measurement.com,APIs
56,clarity.ms,Content Servers
57,linkedin.com,Professional Networking
58,aaplimg.com,Information Technology;Content Servers;Technology
59,rubiconproject.com,Advertisements
60,whatsapp.com,Instant Messengers;Internet Phone & VOIP
61,akamaized.net,Content Servers
62,taboola.com,Business;Advertisements
63,applovin.com,Gaming
64,windows.com,Information Technology
65,twimg.com,Content Servers
66,allawnos.com,
67,msftconnecttest.com,Content Servers
68,t.co,Redirect;Social Networks
69,pubmatic.com,Business;Technology
70,azure.com,Technology
71,dns.google,Information Technology
72,kaspersky.com,Technology
73,ampproject.org,Information Technology
74,adnxs.com,Content Servers
75,android.com,Technology
76,criteo.com,Business
77,bangcdn.net,Content Servers
78,ui.com,Technology
79,appsflyersdk.com,Content Servers;APIs
80,opera.com,Technology
81,brave.com,Information Technology
82,cdninstagram.com,Content Servers
83,office365.com,Technology
84,windowsupdate.com,Information Technology;Business
85,truecaller.com,Information Technology;Professional Networking
86,tiktokcdn-us.com,Content Servers
87,unity3d.com,Gaming;Technology
88,rocket-cdn.com,Content Servers
89,appcenter.ms,Technology
90,facebook.net,Social Networks
91,lencr.org,Information Technology
92,smartadserver.com,Advertisements
93,casalemedia.com,Advertisements
94,bytefcdn-ttpeu.com,Content Servers
95,kaspersky-labs.com,Technology
96,xvideos-cdn.com,CIPA Filter;Pornography
97,tiktok.com,Social Networks;Video Streaming;Advertisements
98,sc-cdn.net,Content Servers
99,pki.goog,Information Security
100,appsflyer.com,Business;Technology
