rank,domain,categories
1,tiktokcdn.com,Content Servers;Social Networks
2,googleapis.com,Content Servers;Personal Blogs
3,google.com,Search Engines
4,facebook.com,Social Networks
5,tiktokv.com,Social Networks;Video Streaming
6,instagram.com,Social Networks
7,apple.com,Information Technology;Technology
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,akamaiedge.net,Content Servers
10,cdn77.org,Content Servers
11,akamai.net,Content Servers
12,yandex.net,News & Media
13,gstatic.com,Content Servers
14,apple-dns.net,Content Servers
15,akadns.net,Content Servers
16,ttlivecdn.com,Content Servers
17,yandex.ru,News & Media
18,googlevideo.com,Search Engines;Video Streaming
19,youtube.com,Video Streaming
20,bytefcdn-oversea.com,
21,fbcdn.net,Social Networks
22,aaplimg.com,Information Technology;Content Servers;Technology
23,mail.ru,Webmail
24,microsoft.com,Information Technology;Business
25,icloud.com,File Sharing;Content Servers
26,xiaomi.com,Technology
27,amazonaws.com,Technology
28,app-measurement.com,APIs
29,doubleclick.net,Advertisements
30,rocket-cdn.com,Content Servers
31,gvt2.com,Content Servers
32,ntp.org,Technology;Government
33,qlivecdn.com,
34,ytimg.com,Content Servers
35,gcdn.co,Content Servers
36,googleusercontent.com,Content Servers
37,bytefcdn-ttpeu.com,Content Servers
38,appsflyersdk.com,Content Servers;APIs
39,fastly.net,Information Security;Information Technology;Technology
40,cloudflare.com,Technology
41,wsdvs.com,Content Servers
42,unity3d.com,Gaming;Technology
43,ggpht.com,Content Servers
44,ttdns2.com,Content Servers
45,app-analytics-services.com,Content Servers
46,atomile.com,No Content
47,googlesyndication.com,Search Engines;Advertisements
48,cloudflare-dns.com,Content Servers
49,miui.com,Technology
50,cloudfront.net,Content Servers;Science;Technology
51,tiktokcdn-us.com,Content Servers
52,byteoversea.net,Content Servers
53,ovscdns.net,Content Servers
54,pki.goog,Information Security
55,google-analytics.com,Business;Technology
56,userapi.com,Social Networks
57,applovin.com,Business;Technology
58,cdninstagram.com,Content Servers
59,snapchat.com,Social Networks
60,google.kg,Search Engines
61,roblox.com,Gaming;Safe for Kids
62,rbxcdn.com,Content Servers
63,2gis.com,Education;News & Media
64,whatsapp.com,Instant Messengers;Internet Phone & VOIP
65,android.com,Technology
66,telegram.org,Instant Messengers
67,amazon-adsystem.com,Advertisements
68,ibyteimg.com,Content Servers
69,vk.com,Social Networks
70,yastatic.net,Technology
71,my.com,
72,digicert.com,Information Security
73,bing.com,Search Engines
74,gvt1.com,Content Servers
75,bytetcdn.com,Content Servers
76,aliyuncs.com,Content Servers
77,ok.ru,Social Networks;Video Streaming
78,crashlytics.com,Information Technology
79,spotify.com,Audio Streaming
80,ttoverseaus.net,Content Servers
81,qq.com,News & Media
82,googletagmanager.com,Content Servers
83,xiaomi.net,Information Technology;Technology
84,pitaya-clientai.com,
85,skype.com,Instant Messengers;Internet Phone & VOIP
86,appsflyer.com,Business;Technology
87,mzstatic.com,Information Technology;Technology
88,mncdn.com,Content Servers
89,byteglb.com,
90,cdn-apple.com,Content Servers
91,live.com,Technology;Webmail
92,pinterest.com,Photography;Social Networks
93,lencr.org,Information Technology
94,edgesuite.net,Content Servers
95,mtgglobals.com,Content Servers
96,akamaized.net,Content Servers
97,facebook.net,Social Networks
98,taobao.com,Ecommerce
99,sentry.io,Business
100,2gis.ru,Education
