rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,facebook.com,Social Networks
4,googleapis.com,Content Servers;Personal Blogs
5,microsoft.com,Information Technology;Business
6,gvt2.com,Content Servers
7,tiktokcdn.com,Content Servers;Social Networks
8,fbcdn.net,Social Networks
9,instagram.com,Social Networks
10,youtube.com,Video Streaming
11,apple.com,Information Technology;Technology
12,doubleclick.net,Advertisements
13,whatsapp.net,Instant Messengers;Internet Phone & VOIP
14,googlevideo.com,Search Engines;Video Streaming
15,tiktokv.com,Social Networks;Video Streaming
16,live.com,Technology;Webmail
17,cdn77.org,Content Servers
18,bing.com,Search Engines
19,qq.com,News & Media
20,googleusercontent.com,Content Servers
21,akamai.net,Content Servers
22,google-analytics.com,Business;Technology
23,googleadservices.com,Advertisements
24,skype.com,Instant Messengers;Internet Phone & VOIP
25,akadns.net,Content Servers
26,googlesyndication.com,Search Engines;Advertisements
27,ytimg.com,Content Servers
28,msn.com,News & Media
29,cloudflare.com,Technology
30,akamaiedge.net,Content Servers
31,apple-dns.net,Content Servers
32,telegram.org,Instant Messengers
33,bytefcdn-oversea.com,
34,cloudflare-dns.com,Content Servers
35,icloud.com,File Sharing;Content Servers
36,line-apps.com,Content Servers
37,amazonaws.com,Technology
38,google.com.kh,Search Engines
39,whatsapp.com,Instant Messengers;Internet Phone & VOIP
40,douyincdn.com,Content Servers
41,livechatinc.com,Instant Messengers;Business
42,googletagmanager.com,Content Servers
43,baidu.com,Search Engines
44,office.com,Technology
45,amazon-adsystem.com,Advertisements
46,ttlivecdn.com,Content Servers
47,aaplimg.com,Information Technology;Content Servers;Technology
48,ggpht.com,Content Servers
49,tiktok.com,Social Networks;Video Streaming;Advertisements
50,spotify.com,Audio Streaming
51,cloudfront.net,Content Servers;Science;Technology
52,line-scdn.net,Content Servers
53,msedge.net,Content Servers
54,qlivecdn.com,
55,rubiconproject.com,Advertisements
56,urban-vpn.com,CIPA Filter;Anonymizer
57,wsdvs.com,Content Servers
58,yahoo.com,News & Media
59,surfshark.com,CIPA Filter;Anonymizer
60,rocket-cdn.com,Content Servers
61,gvt1.com,Content Servers
62,reasonsecurity.com,Content Servers
63,bytefcdn-ttpeu.com,Content Servers
64,line.biz,Content Servers
65,akamaized.net,Content Servers
66,fbsbx.com,Content Servers
67,cdninstagram.com,Content Servers
68,dns.google,Information Technology
69,aliyuncs.com,Content Servers
70,sentry.io,Business
71,netflix.com,Movies;Video Streaming
72,fastly-edge.com,Content Servers
73,adnxs.com,Content Servers
74,linkedin.com,Professional Networking
75,windowsupdate.com,Information Technology;Business
76,pubmatic.com,Business;Technology
77,office.net,Content Servers
78,pinterest.com,Photography;Social Networks
79,line.me,Instant Messengers;Internet Phone & VOIP
80,msftncsi.com,Content Servers
81,360.cn,Technology
82,zijieapi.com,Content Servers
83,criteo.com,Business
84,ad.gt,Advertisements
85,xiaohongshu.com,Video Streaming
86,app-measurement.com,APIs
87,ntp.org,Technology;Government
88,sogou.com,Search Engines
89,livechat-static.com,Content Servers
90,canva.com,Hobbies & Interests
91,pki.goog,Information Security
92,atomile.com,No Content
93,bidswitch.net,Technology
94,yximgs.com,Content Servers
95,go-mpulse.net,Content Servers
96,jsdelivr.net,Content Servers
97,openx.net,Advertisements
98,clarity.ms,Content Servers
99,fastly.net,Information Security;Information Technology;Technology
100,capcutapi.com,Parked & For Sale Domains
