rank,domain,categories
1,facebook.com,Social Networks
2,google.com,Search Engines
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,googleapis.com,Content Servers;Webmail
6,ui.com,Technology
7,gvt2.com,Content Servers
8,fbcdn.net,Social Networks
9,googleusercontent.com,Content Servers
10,live.com,Technology;Webmail
11,msn.com,News & Media
12,youtube.com,Video Streaming
13,bing.com,Search Engines
14,ytimg.com,Content Servers
15,apple.com,Information Technology;Technology
16,googlevideo.com,Search Engines;Video Streaming
17,doubleclick.net,Advertisements
18,msftncsi.com,Content Servers
19,windowsupdate.com,Information Technology;Business
20,cloudfront.net,Content Servers;Science;Technology
21,tiktokv.com,Social Networks;Video Streaming
22,office.com,Technology
23,skype.com,Instant Messengers;Internet Phone & VOIP
24,mcafee.com,Technology
25,tiktokcdn.com,Content Servers;Social Networks
26,brightcloud.com,Information Security
27,gvt1.com,Content Servers
28,yahoo.com,News & Media
29,googlesyndication.com,Search Engines;Advertisements
30,amazonaws.com,Technology
31,googleadservices.com,Advertisements
32,amazon-adsystem.com,Advertisements
33,googletagmanager.com,Content Servers
34,xnxx-cdn.com,CIPA Filter;Pornography
35,microsoftonline.com,Technology
36,mtgglobals.com,Content Servers
37,google-analytics.com,Business;Technology
38,criteo.com,Business
39,baidu.com,Search Engines
40,msftconnecttest.com,Content Servers
41,avast.com,Technology
42,fbpigeon.com,Social Networks
43,live.net,Content Servers
44,nelreports.net,Content Servers
45,lencr.org,Information Technology
46,akamaiedge.net,Content Servers
47,vmplayer2019.com,
48,superplus1.info,
49,shalltry.com,Content Servers
50,unity3d.com,Gaming;Technology
51,push-sender.com,
52,ntp.org,Technology;Government
53,applovin.com,Gaming
54,azureedge.net,Content Servers
55,office.net,Content Servers
56,icloud.com,File Sharing;Content Servers
57,unifi-ai.com,Content Servers
58,app-measurement.com,APIs
59,jagnoans.com,Content Servers
60,allawnos.com,
61,ggpht.com,Content Servers
62,mozilla.com,Information Technology
63,akamai.net,Content Servers
64,rubiconproject.com,Advertisements
65,akadns.net,Content Servers
66,akamaized.net,Content Servers
67,douyincdn.com,Content Servers
68,adnxs.com,Content Servers
69,windows.com,Information Technology
70,yximgs.com,Content Servers
71,qq.com,News & Media
72,tencent-cloud.net,
73,ixigua.com,Video Streaming
74,adobe.com,Technology
75,vungle.com,Business;Technology
76,kwimgs.com,Information Technology
77,dbankcloud.cn,Technology
78,douyinliving.com,
79,whatsapp.net,Instant Messengers;Internet Phone & VOIP
80,vivo.com.cn,Technology
81,etoote.com,Arts
82,dbankcloud.com,Technology
83,anz.com,Economy & Finance
84,heytapmobi.com,Technology
85,appsflyersdk.com,Content Servers;APIs
86,hicloud.com,File Sharing
87,ttlivecdn.com,Content Servers
88,zijieapi.com,Content Servers
89,amap.com,Education
90,umeng.com,Technology
91,taobao.com,Ecommerce
92,alicdn.com,Content Servers
93,freefiremobile.com,
94,dutils.com,Technology
95,amemv.com,Information Technology
96,instagram.com,Social Networks
97,samsungcloud.com,Content Servers
98,snssdk.com,Information Technology;News & Media
99,cloudflare-dns.com,Content Servers
100,omnatuor.com,CIPA Filter;Malware
