rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Personal Blogs
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,tiktokcdn.com,Content Servers;Social Networks
7,apple.com,Information Technology;Technology
8,ui.com,Technology
9,googlevideo.com,Search Engines;Video Streaming
10,office.com,Technology
11,youtube.com,Video Streaming
12,live.com,Technology;Webmail
13,cloudflare-dns.com,Content Servers
14,gvt2.com,Content Servers
15,tiktokv.com,Social Networks;Video Streaming
16,icloud.com,File Sharing;Content Servers
17,akamai.net,Content Servers
18,whatsapp.net,Instant Messengers;Internet Phone & VOIP
19,amazonaws.com,Technology
20,fbcdn.net,Social Networks
21,msn.com,News & Media
22,bing.com,Search Engines
23,doubleclick.net,Advertisements
24,googleusercontent.com,Content Servers
25,snapchat.com,Social Networks
26,office365.com,Technology
27,apple-dns.net,Content Servers
28,ytimg.com,Content Servers
29,office.net,Content Servers
30,azure.com,Technology
31,app-analytics-services.com,Content Servers
32,instagram.com,Social Networks
33,amazon.com,Ecommerce
34,msftncsi.com,Content Servers
35,akadns.net,Content Servers
36,cdninstagram.com,Content Servers
37,unity3d.com,Gaming;Technology
38,microsoftonline.com,Technology
39,akamaiedge.net,Content Servers
40,roblox.com,Gaming;Safe for Kids
41,pangle.io,Content Servers
42,googlesyndication.com,Search Engines;Advertisements
43,skype.com,Instant Messengers;Internet Phone & VOIP
44,googleadservices.com,Advertisements
45,grammarly.io,Information Technology;Content Servers
46,grammarly.com,Artificial Intelligence;Hobbies & Interests
47,windows.com,Information Technology
48,cloudfront.net,Content Servers;Science;Technology
49,surfshark.com,CIPA Filter;Anonymizer
50,app-measurement.com,APIs
51,cloudflare.com,Technology
52,appsflyersdk.com,Content Servers;APIs
53,gvt1.com,Content Servers
54,yahoo.com,News & Media
55,tiktokcdn-us.com,Content Servers
56,cdn77.org,Content Servers
57,windows.net,Technology
58,ttlivecdn.com,Content Servers
59,spotify.com,Audio Streaming
60,amazon.dev,Content Servers
61,aaplimg.com,Information Technology;Content Servers;Technology
62,windowsupdate.com,Information Technology;Business
63,dns.google,Information Technology
64,criteo.com,Business
65,pki.goog,Information Security
66,mtgglobals.com,Content Servers
67,avcdn.net,Content Servers
68,dropbox.com,File Sharing
69,lencr.org,Information Technology
70,rbxcdn.com,Content Servers
71,google-analytics.com,Business;Technology
72,msedge.net,Content Servers
73,unifi-ai.com,Content Servers
74,smaato.net,Business
75,ggpht.com,Content Servers
76,googletagmanager.com,Content Servers
77,pubmatic.com,Business;Technology
78,scorecardresearch.com,Business
79,samsungcloud.com,Content Servers
80,mzstatic.com,Information Technology;Technology
81,ampproject.org,Information Technology
82,ntppool.org,Technology
83,inmobi.com,Business
84,bidmachine.io,Business;Technology
85,crashlytics.com,Information Technology
86,netflix.com,Movies;Video Streaming
87,bytefcdn-oversea.com,
88,adnxs.com,Content Servers
89,safebrowsing.apple,Content Servers
90,rings.solutions,Content Servers
91,appcenter.ms,Technology
92,gmail.com,Webmail
93,intuit.com,Business
94,bytefcdn-ttpeu.com,Content Servers
95,tiktokv.us,Content Servers
96,digicert.com,Information Security
97,qlivecdn.com,
98,applovin.com,Business;Technology
99,mcafee.com,Technology
100,whatsapp.com,Instant Messengers;Internet Phone & VOIP
