rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,microsoft.com,Information Technology;Business
4,naver.com,News & Media
5,gstatic.com,Content Servers
6,facebook.com,Social Networks
7,apple.com,Information Technology;Technology
8,pstatic.net,News & Media
9,doubleclick.net,Advertisements
10,googlevideo.com,Search Engines;Video Streaming
11,kakao.com,Instant Messengers
12,youtube.com,Video Streaming
13,gvt2.com,Content Servers
14,googlesyndication.com,Search Engines;Advertisements
15,daum.net,News & Media;Video Streaming
16,daumcdn.net,Search Engines
17,akadns.net,Content Servers
18,bing.com,Search Engines
19,amazonaws.com,Technology
20,cloudflare.com,Technology
21,instagram.com,Social Networks
22,icloud.com,File Sharing;Content Servers
23,googleusercontent.com,Content Servers
24,apple-dns.net,Content Servers
25,akamaiedge.net,Content Servers
26,google-analytics.com,Business;Technology
27,criteo.com,Business
28,tiktokcdn.com,Content Servers;Social Networks
29,ytimg.com,Content Servers
30,msn.com,News & Media
31,kakaocdn.net,Content Servers
32,ahnlab.com,Content Servers
33,google.co.kr,Search Engines
34,cloudflare-dns.com,Content Servers
35,live.com,Technology;Webmail
36,akamai.net,Content Servers
37,googleadservices.com,Advertisements
38,office.com,Technology
39,googletagmanager.com,Content Servers
40,coupangcdn.com,Content Servers
41,kgslb.com,Content Servers
42,ggpht.com,Content Servers
43,aaplimg.com,Information Technology;Content Servers;Technology
44,tiktokv.com,Social Networks;Video Streaming
45,sentry.io,Business
46,cloudfront.net,Content Servers;Science;Technology
47,fbcdn.net,Social Networks
48,twitter.com,Social Networks
49,adnxs.com,Content Servers
50,skype.com,Instant Messengers;Internet Phone & VOIP
51,app-measurement.com,APIs
52,criteo.net,Business
53,nheos.com,Content Servers
54,pki.goog,Information Security
55,windowsupdate.com,Information Technology;Business
56,taboola.com,Business;Advertisements
57,pubmatic.com,Business;Technology
58,navercorp.com,News & Media
59,coupang.com,Ecommerce
60,amazon-adsystem.com,Advertisements
61,app-analytics-services.com,Content Servers
62,ntp.org,Technology;Government
63,digicert.com,Information Security
64,naver.net,News & Media
65,cdninstagram.com,Content Servers
66,lencr.org,Information Technology
67,akamaized.net,Content Servers
68,toss.im,Economy & Finance
69,unity3d.com,Gaming;Technology
70,yahoo.com,News & Media
71,rubiconproject.com,Advertisements
72,jsdelivr.net,Content Servers
73,nexon.com,Gaming
74,azure.com,Technology
75,spotify.com,Audio Streaming
76,cdn77.org,Content Servers
77,one.one,Information Technology
78,msftncsi.com,Content Servers
79,windows.com,Information Technology
80,fmkorea.com,Forums
81,lijit.com,Business
82,netflix.com,Movies;Video Streaming
83,kgns1.com,Business;Content Servers
84,dcinside.com,Forums;News & Media
85,notion.so,Business;Technology
86,appsflyersdk.com,Content Servers;APIs
87,smartadserver.com,Advertisements
88,clarity.ms,Content Servers
89,bidswitch.net,Technology
90,twimg.com,Content Servers
91,casalemedia.com,Advertisements
92,gvt1.com,Content Servers
93,facebook.net,Social Networks
94,appier.net,Business
95,onkakao.net,Content Servers
96,office.net,Content Servers
97,cdn-apple.com,Content Servers
98,afreecatv.com,Video Streaming
99,tynt.com,Business
100,microsoftonline.com,Technology
