rank,domain,categories
1,googleapis.com,Content Servers;Personal Blogs
2,google.com,Search Engines
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,office.com,Technology
7,doubleclick.net,Advertisements
8,amazonaws.com,Technology
9,akamai.net,Content Servers
10,cdn77.org,Content Servers
11,gvt2.com,Content Servers
12,live.com,Technology;Webmail
13,akamaized.net,Content Servers
14,googlesyndication.com,Search Engines;Advertisements
15,office.net,Content Servers
16,tiktokcdn.com,Content Servers;Social Networks
17,akamaiedge.net,Content Servers
18,apple.com,Information Technology;Technology
19,akadns.net,Content Servers
20,bing.com,Search Engines
21,youtube.com,Video Streaming
22,msn.com,News & Media
23,cloudflare.com,Technology
24,google-analytics.com,Business;Technology
25,amazon.com,Ecommerce
26,azure.com,Technology
27,cloudfront.net,Content Servers;Science;Technology
28,apple-dns.net,Content Servers
29,googlevideo.com,Search Engines;Video Streaming
30,tiktokv.com,Social Networks;Video Streaming
31,spotify.com,Audio Streaming
32,instagram.com,Social Networks
33,whatsapp.net,Instant Messengers;Internet Phone & VOIP
34,icloud.com,File Sharing;Content Servers
35,skype.com,Instant Messengers;Internet Phone & VOIP
36,googleusercontent.com,Content Servers
37,office365.com,Technology
38,aaplimg.com,Information Technology;Content Servers;Technology
39,googleadservices.com,Advertisements
40,msftncsi.com,Content Servers
41,snapchat.com,Social Networks
42,yahoo.com,News & Media
43,netflix.com,Movies;Video Streaming
44,sharepoint.com,File Sharing;Technology
45,linkedin.com,Professional Networking
46,fbcdn.net,Social Networks
47,ytimg.com,Content Servers
48,microsoftonline.com,Technology
49,amazon-adsystem.com,Advertisements
50,adobe.io,Business;Technology
51,lencr.org,Information Technology
52,adnxs.com,Content Servers
53,bytefcdn-oversea.com,
54,googletagmanager.com,Content Servers
55,rubiconproject.com,Advertisements
56,grammarly.io,Information Technology;Content Servers
57,slack.com,Instant Messengers
58,windows.com,Information Technology
59,ubuntu.com,Technology
60,fastly.net,Information Security;Information Technology;Technology
61,windowsupdate.com,Information Technology;Business
62,pki.goog,Information Security
63,pubmatic.com,Business;Technology
64,gmail.com,Webmail
65,outlook.com,Webmail
66,appcenter.ms,Technology
67,a2z.com,Content Servers
68,grammarly.com,Artificial Intelligence;Hobbies & Interests
69,ttlivecdn.com,Content Servers
70,github.com,Technology
71,nr-data.net,Content Servers
72,adobe.com,Technology
73,smartadserver.com,Advertisements
74,ggpht.com,Content Servers
75,cloudflare-dns.com,Content Servers
76,casalemedia.com,Advertisements
77,digicert.com,Information Security
78,trafficmanager.net,Information Technology;Content Servers
79,windows.net,Technology
80,qlivecdn.com,
81,mzstatic.com,Information Technology;Technology
82,app-measurement.com,APIs
83,msftconnecttest.com,Content Servers
84,bytefcdn-ttpeu.com,Content Servers
85,criteo.com,Business
86,azureedge.net,Content Servers
87,launchdarkly.com,Business
88,licdn.com,Content Servers
89,cdninstagram.com,Content Servers
90,rocket-cdn.com,Content Servers
91,roblox.com,Gaming;Safe for Kids
92,clarity.ms,Content Servers
93,app-analytics-services.com,Content Servers
94,msedge.net,Content Servers
95,scorecardresearch.com,Business
96,3lift.com,Business
97,ui.com,Technology
98,dropbox.com,File Sharing
99,ring.com,Business;Photography
100,gvt1.com,Content Servers
