rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,tiktokcdn.com,Content Servers;Social Networks
6,microsoft.com,Information Technology;Business
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,instagram.com,Social Networks
9,apple.com,Information Technology;Technology
10,fbcdn.net,Social Networks
11,cdn77.org,Content Servers
12,akamai.net,Content Servers
13,cloudflare.com,Technology
14,qq.com,News & Media
15,youtube.com,Video Streaming
16,tiktokv.com,Social Networks;Video Streaming
17,doubleclick.net,Advertisements
18,gvt2.com,Content Servers
19,googlevideo.com,Search Engines;Video Streaming
20,akadns.net,Content Servers
21,google-analytics.com,Business;Technology
22,bytefcdn-oversea.com,
23,amazonaws.com,Technology
24,akamaiedge.net,Content Servers
25,apple-dns.net,Content Servers
26,live.com,Technology;Webmail
27,bing.com,Search Engines
28,ytimg.com,Content Servers
29,baidu.com,Search Engines
30,ttlivecdn.com,Content Servers
31,googlesyndication.com,Search Engines;Advertisements
32,googleusercontent.com,Content Servers
33,douyincdn.com,Content Servers
34,aaplimg.com,Information Technology;Content Servers;Technology
35,icloud.com,File Sharing;Content Servers
36,office.com,Technology
37,cloudfront.net,Content Servers;Science;Technology
38,bytefcdn-ttpeu.com,Content Servers
39,wsdvs.com,Content Servers
40,ntp.org,Technology;Government
41,msn.com,News & Media
42,whatsapp.com,Instant Messengers;Internet Phone & VOIP
43,ggpht.com,Content Servers
44,netflix.com,Movies;Video Streaming
45,qlivecdn.com,
46,atomile.com,No Content
47,rocket-cdn.com,Content Servers
48,wechat.com,Instant Messengers;Internet Phone & VOIP
49,office.net,Content Servers
50,app-measurement.com,APIs
51,aliyuncs.com,Content Servers
52,taobao.com,Ecommerce
53,line-apps.com,Content Servers
54,googleadservices.com,Advertisements
55,fbsbx.com,Content Servers
56,google.la,Search Engines
57,skype.com,Instant Messengers;Internet Phone & VOIP
58,spotify.com,Audio Streaming
59,pki.goog,Information Security
60,googletagmanager.com,Content Servers
61,tencent-cloud.net,
62,cloudflare-dns.com,Content Servers
63,cdninstagram.com,Content Servers
64,roblox.com,Gaming;Safe for Kids
65,iq.com,Movies;Television;Video Streaming
66,applovin.com,Gaming
67,yximgs.com,Content Servers
68,zalo.me,Instant Messengers
69,akamaized.net,Content Servers
70,azure.com,Technology
71,twitter.com,Social Networks
72,appsflyersdk.com,Content Servers;APIs
73,ovscdns.net,Content Servers
74,amazon-adsystem.com,Advertisements
75,unity3d.com,Gaming;Technology
76,alicdn.com,Content Servers
77,fastly.net,Information Security;Information Technology;Technology
78,zijieapi.com,Content Servers
79,byteoversea.net,Content Servers
80,msftncsi.com,Content Servers
81,rbxcdn.com,Content Servers
82,line-scdn.net,Content Servers
83,app-analytics-services.com,Content Servers
84,trafficmanager.net,Content Servers
85,amemv.com,Information Technology
86,volcfcdndvs.com,Content Servers
87,gmail.com,Webmail
88,appsflyer.com,Business;Technology
89,yahoo.com,News & Media
90,xiaohongshu.com,Video Streaming
91,digicert.com,Information Security
92,ixigua.com,Video Streaming
93,dns.google,Information Technology
94,sogou.com,Search Engines
95,douyinliving.com,
96,tiktok.com,Social Networks;Video Streaming;Advertisements
97,windows.com,Information Technology
98,cdn-apple.com,Content Servers
99,tbcache.com,Content Servers
100,ttdns2.com,
