rank,domain,categories
1,google.com,Search Engines
2,tiktokcdn.com,Content Servers;Social Networks
3,facebook.com,Social Networks
4,googleapis.com,Content Servers;Personal Blogs
5,gstatic.com,Content Servers
6,tiktokv.com,Social Networks;Video Streaming
7,microsoft.com,Information Technology;Business
8,apple.com,Information Technology;Technology
9,whatsapp.net,Instant Messengers;Internet Phone & VOIP
10,instagram.com,Social Networks
11,akamai.net,Content Servers
12,nakheelteam.cc,Technology
13,cdn77.org,Content Servers
14,fbcdn.net,Social Networks
15,akadns.net,Content Servers
16,youtube.com,Video Streaming
17,doubleclick.net,Advertisements
18,gvt2.com,Content Servers
19,bytefcdn-oversea.com,
20,apple-dns.net,Content Servers
21,akamaiedge.net,Content Servers
22,ttlivecdn.com,Content Servers
23,googlevideo.com,Search Engines;Video Streaming
24,icloud.com,File Sharing;Content Servers
25,ytimg.com,Content Servers
26,snapchat.com,Social Networks
27,googlesyndication.com,Search Engines;Advertisements
28,bing.com,Search Engines
29,googleusercontent.com,Content Servers
30,aaplimg.com,Information Technology;Content Servers;Technology
31,office.com,Technology
32,live.com,Technology;Webmail
33,amazonaws.com,Technology
34,bytefcdn-ttpeu.com,Content Servers
35,rocket-cdn.com,Content Servers
36,cloudflare.com,Technology
37,shalltry.com,Content Servers
38,qlivecdn.com,
39,google-analytics.com,Business;Technology
40,fastly.net,Information Security;Information Technology;Technology
41,msn.com,News & Media
42,office.net,Content Servers
43,akamaized.net,Content Servers
44,ntp.org,Technology;Government
45,netflix.com,Movies;Video Streaming
46,googleadservices.com,Advertisements
47,atomile.com,No Content
48,skype.com,Instant Messengers;Internet Phone & VOIP
49,cloudfront.net,Content Servers;Science;Technology
50,kaavefali.com,Technology
51,google.com.lb,Search Engines
52,cloudflare-dns.com,Content Servers
53,spotify.com,Audio Streaming
54,amazon-adsystem.com,Advertisements
55,wsdvs.com,Content Servers
56,byteoversea.net,Content Servers
57,ggpht.com,Content Servers
58,unity3d.com,Gaming;Technology
59,roblox.com,Gaming;Safe for Kids
60,cdninstagram.com,Content Servers
61,appsflyersdk.com,Content Servers;APIs
62,googletagmanager.com,Content Servers
63,app-measurement.com,APIs
64,app-analytics-services.com,Content Servers
65,pangle.io,Content Servers
66,whatsapp.com,Instant Messengers;Internet Phone & VOIP
67,gvt1.com,Content Servers
68,pki.goog,Information Security
69,yahoo.com,News & Media
70,azure.com,Technology
71,applovin.com,Gaming
72,twitter.com,Social Networks
73,epicgames.com,Ecommerce;Gaming
74,linkedin.com,Professional Networking
75,windowsupdate.com,Information Technology;Business
76,office365.com,Technology
77,rbxcdn.com,Content Servers
78,appcenter.ms,Technology
79,microsoftonline.com,Technology
80,grammarly.com,Artificial Intelligence;Hobbies & Interests
81,rubiconproject.com,Advertisements
82,twimg.com,Content Servers
83,msftncsi.com,Content Servers
84,igamecj.com,Content Servers
85,gmail.com,Webmail
86,trafficmanager.net,Information Technology;Content Servers
87,ttdns2.com,Content Servers
88,adnxs.com,Content Servers
89,digicert.com,Information Security
90,pubmatic.com,Business;Technology
91,amazon.com,Ecommerce
92,surfshark.com,CIPA Filter;Anonymizer
93,ovscdns.net,Content Servers
94,ibyteimg.com,Content Servers
95,sc-cdn.net,Content Servers
96,outlook.com,Webmail
97,byteglb.com,
98,discord.com,Instant Messengers;Internet Phone & VOIP
99,lencr.org,Information Technology
100,fbsbx.com,Content Servers
