rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,gstatic.com,Content Servers
4,tiktokcdn.com,Content Servers;Social Networks
5,apple.com,Information Technology;Technology
6,facebook.com,Social Networks
7,microsoft.com,Information Technology;Business
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,instagram.com,Social Networks
10,tiktokv.com,Social Networks;Video Streaming
11,apple-dns.net,Content Servers
12,gvt2.com,Content Servers
13,googleusercontent.com,Content Servers
14,akadns.net,Content Servers
15,fbcdn.net,Social Networks
16,akamai.net,Content Servers
17,office.com,Technology
18,ytimg.com,Content Servers
19,doubleclick.net,Advertisements
20,youtube.com,Video Streaming
21,bing.com,Search Engines
22,roblox.com,Gaming;Safe for Kids
23,googlevideo.com,Search Engines;Video Streaming
24,icloud.com,File Sharing;Content Servers
25,snapchat.com,Social Networks
26,cloudfront.net,Content Servers;Science;Technology
27,aaplimg.com,Information Technology;Content Servers;Technology
28,unity3d.com,Gaming;Technology
29,netflix.com,Movies;Video Streaming
30,ui.com,Technology
31,amazon-adsystem.com,Advertisements
32,live.com,Technology;Webmail
33,yahoo.com,News & Media
34,gmail.com,Webmail
35,amazon.com,Ecommerce
36,amazonaws.com,Technology
37,office.net,Content Servers
38,ggpht.com,Content Servers
39,akamaiedge.net,Content Servers
40,googlesyndication.com,Search Engines;Advertisements
41,spotify.com,Audio Streaming
42,cloudflare-dns.com,Content Servers
43,office365.com,Technology
44,cloudflare.com,Technology
45,ntp.org,Technology;Government
46,skype.com,Instant Messengers;Internet Phone & VOIP
47,grammarly.com,Artificial Intelligence;Hobbies & Interests
48,microsoftonline.com,Technology
49,app-measurement.com,APIs
50,cdninstagram.com,Content Servers
51,google-analytics.com,Business;Technology
52,grammarly.io,Information Technology;Content Servers
53,applovin.com,Business;Technology
54,msn.com,News & Media
55,appcenter.ms,Technology
56,a2z.com,Content Servers
57,pangle.io,Content Servers
58,outlook.com,Webmail
59,whatsapp.com,Instant Messengers;Internet Phone & VOIP
60,pinterest.com,Photography;Social Networks
61,mtgglobals.com,Content Servers
62,twitter.com,Social Networks
63,vungle.com,Business;Technology
64,android.com,Technology
65,tiktokcdn-us.com,Content Servers
66,isnssdk.com,Content Servers
67,samsungcloud.com,Content Servers
68,windows.com,Information Technology
69,amazon.dev,Content Servers
70,googleadservices.com,Advertisements
71,sc-cdn.net,Content Servers
72,app-analytics-services.com,Content Servers
73,appsflyersdk.com,Content Servers;APIs
74,azure.com,Technology
75,tiktokv.us,Content Servers
76,optimizely.com,Business;Technology
77,opera.com,Technology
78,adnxs.com,Content Servers
79,criteo.com,Business
80,trafficmanager.net,Information Technology;Content Servers
81,crashlytics.com,Information Technology
82,sentry.io,Business
83,nr-data.net,Content Servers
84,adobe.com,Technology
85,bytefcdn-oversea.com,
86,cdn77.org,Content Servers
87,nelreports.net,Content Servers
88,zoom.us,Technology
89,googletagmanager.com,Content Servers
90,shein.com,Ecommerce;Fashion
91,dns.google,Information Technology
92,linkedin.com,Professional Networking
93,zoho.com,Business
94,cdn-apple.com,Content Servers
95,amazonvideo.com,Movies;Television;Video Streaming
96,aliexpress.com,Ecommerce
97,dropbox.com,File Sharing
98,media-amazon.com,Content Servers
99,ttvnw.net,Video Streaming
100,taboola.com,Business;Advertisements
