rank,domain,categories
1,microsoft.com,Information Technology;Business
2,googleapis.com,Content Servers;Personal Blogs
3,google.com,Search Engines
4,amazonaws.com,Technology
5,gstatic.com,Content Servers
6,facebook.com,Social Networks
7,cloudfront.net,Content Servers;Science;Technology
8,instagram.com,Social Networks
9,youtube.com,Video Streaming
10,gvt2.com,Content Servers
11,ui.com,Technology
12,bing.com,Search Engines
13,google-analytics.com,Business;Technology
14,doubleclick.net,Advertisements
15,akamai.net,Content Servers
16,tiktokv.com,Social Networks;Video Streaming
17,spotify.com,Audio Streaming
18,googlesyndication.com,Search Engines;Advertisements
19,skype.com,Instant Messengers;Internet Phone & VOIP
20,cloudflare.com,Technology
21,live.com,Technology;Webmail
22,github.com,Technology
23,googlevideo.com,Search Engines;Video Streaming
24,googleadservices.com,Advertisements
25,googletagmanager.com,Content Servers
26,app-measurement.com,APIs
27,msn.com,News & Media
28,ubnt.com,Technology;Advertisements
29,akamaized.net,Content Servers
30,office.net,Content Servers
31,ubuntu.com,Technology
32,discord.com,Instant Messengers;Internet Phone & VOIP
33,office.com,Technology
34,yahoo.com,News & Media
35,criteo.com,Business
36,cloudflare-dns.com,Content Servers
37,apple.com,Information Technology;Technology
38,lencr.org,Information Technology
39,netflix.com,Movies;Video Streaming
40,discord.gg,Information Technology;Instant Messengers
41,google.de,Search Engines
42,tidal.com,Information Technology;Audio Streaming
43,amazon-adsystem.com,Advertisements
44,snapcraft.io,Information Technology;Technology
45,tailscale.com,Information Security
46,akamaiedge.net,Content Servers
47,rubiconproject.com,Advertisements
48,atlassian.com,Technology
49,googleusercontent.com,Content Servers
50,adnxs.com,Content Servers
51,microsoftonline.com,Technology
52,nr-data.net,Content Servers
53,scdn.co,Content Servers
54,intercom.io,Technology
55,whatsapp.net,Instant Messengers;Internet Phone & VOIP
56,brave.com,Information Technology
57,fastly-edge.com,Content Servers
58,pki.goog,Information Security
59,discordapp.com,Information Technology;Instant Messengers;Internet Phone & VOIP
60,twitch.tv,Video Streaming
61,beeproxies.com,CIPA Filter;Pornography
62,telegram.org,Instant Messengers
63,amazon.com,Ecommerce
64,amazon.de,Ecommerce
65,ytimg.com,Content Servers
66,twitter.com,Social Networks
67,msedge.net,Content Servers
68,aaplimg.com,Information Technology;Content Servers;Technology
69,booking.com,Travel
70,worldtimeapi.org,Education;Technology
71,windowsupdate.com,Information Technology;Business
72,linkedin.com,Professional Networking
73,adform.net,Content Servers
74,cdninstagram.com,Content Servers
75,akadns.net,Content Servers
76,apple-dns.net,Content Servers
77,banterbubbles.com,Cryptocurrency
78,dropbox.com,File Sharing
79,azureedge.net,Content Servers
80,snapchat.com,Social Networks
81,azure.com,Technology
82,office365.com,Technology
83,casalemedia.com,Advertisements
84,outbrain.com,Business;Advertisements
85,kaspersky.com,Technology
86,windows.com,Information Technology
87,ntp.org,Technology;Government
88,cloudflare.net,Information Technology;Technology
89,gvt1.com,Content Servers
90,taboola.com,Business;Advertisements
91,pinimg.com,Photography;Social Networks
92,outlook.com,Webmail
93,tailscale.io,Technology
94,surfshark.com,CIPA Filter;Anonymizer
95,epicgames.com,Ecommerce;Gaming
96,ggpht.com,Content Servers
97,smartadserver.com,Advertisements
98,msftncsi.com,Content Servers
99,jsdelivr.net,Content Servers
100,10gen.cc,Content Servers
