rank,domain,categories
1,google.com,Search Engines
2,facebook.com,Social Networks
3,googleapis.com,Content Servers;Personal Blogs
4,gstatic.com,Content Servers
5,tiktokcdn.com,Content Servers;Social Networks
6,microsoft.com,Information Technology;Business
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,fbcdn.net,Social Networks
9,tiktokv.com,Social Networks;Video Streaming
10,googlevideo.com,Search Engines;Video Streaming
11,gvt2.com,Content Servers
12,apple.com,Information Technology;Technology
13,doubleclick.net,Advertisements
14,akamaiedge.net,Content Servers
15,akamai.net,Content Servers
16,akadns.net,Content Servers
17,apple-dns.net,Content Servers
18,office.com,Technology
19,instagram.com,Social Networks
20,youtube.com,Video Streaming
21,bing.com,Search Engines
22,snapchat.com,Social Networks
23,ytimg.com,Content Servers
24,netflix.com,Movies;Video Streaming
25,googleusercontent.com,Content Servers
26,googleadservices.com,Advertisements
27,ntp.org,Technology;Government
28,icloud.com,File Sharing;Content Servers
29,live.com,Technology;Webmail
30,cdn77.org,Content Servers
31,amazonaws.com,Technology
32,googlesyndication.com,Search Engines;Advertisements
33,cloudflare-dns.com,Content Servers
34,cloudfront.net,Content Servers;Science;Technology
35,google-analytics.com,Business;Technology
36,msn.com,News & Media
37,windows.com,Information Technology
38,bytefcdn-oversea.com,
39,amazon.com,Ecommerce
40,aaplimg.com,Information Technology;Content Servers;Technology
41,skype.com,Instant Messengers;Internet Phone & VOIP
42,gvt1.com,Content Servers
43,shalltry.com,Content Servers
44,msftncsi.com,Content Servers
45,cloudflare.com,Technology
46,yahoo.com,News & Media
47,grammarly.com,Artificial Intelligence;Hobbies & Interests
48,applovin.com,Gaming
49,amazon-adsystem.com,Advertisements
50,windowsupdate.com,Information Technology;Business
51,office.net,Content Servers
52,unity3d.com,Gaming;Technology
53,xnxx-cdn.com,CIPA Filter;Pornography
54,ttlivecdn.com,Content Servers
55,ampproject.org,Information Technology
56,ggpht.com,Content Servers
57,ui.com,Technology
58,googletagmanager.com,Content Servers
59,gmail.com,Webmail
60,fastly.net,Information Security;Information Technology;Technology
61,microsoftonline.com,Technology
62,mtgglobals.com,Content Servers
63,azure.com,Technology
64,surfshark.com,CIPA Filter;Anonymizer
65,pki.goog,Information Security
66,app-analytics-services.com,Content Servers
67,bytefcdn-ttpeu.com,Content Servers
68,sc-cdn.net,Content Servers
69,palmpay.app,Politics, Advocacy, and Government-Related
70,bangcdn.net,Content Servers
71,rubiconproject.com,Advertisements
72,qq.com,News & Media
73,msftconnecttest.com,Content Servers
74,linkedin.com,Professional Networking
75,office365.com,Technology
76,dropbox.com,File Sharing
77,rocket-cdn.com,Content Servers
78,app-measurement.com,APIs
79,licdn.com,Content Servers
80,qlivecdn.com,
81,scorecardresearch.com,Business
82,meraki.com,
83,dns.google,Information Technology
84,boomplaymusic.com,Information Technology;Music
85,android.com,Technology
86,baidu.com,Search Engines
87,whatsapp.com,Instant Messengers;Internet Phone & VOIP
88,live.net,Content Servers
89,akamaized.net,Content Servers
90,xvideos-cdn.com,CIPA Filter;Pornography
91,avast.com,Technology
92,fbpigeon.com,Social Networks
93,inner-active.mobi,Content Servers
94,vungle.com,Business;Technology
95,sfx.ms,File Sharing
96,root-servers.net,Technology
97,anydesk.com,Information Technology
98,v-mate.mobi,Gaming
99,msedge.net,Content Servers
100,hakunaymatata.com,
