rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,gvt2.com,Content Servers
7,apple.com,Information Technology;Technology
8,doubleclick.net,Advertisements
9,tiktokcdn.com,Content Servers;Social Networks
10,youtube.com,Video Streaming
11,googlesyndication.com,Search Engines;Advertisements
12,googlevideo.com,Search Engines;Video Streaming
13,googleusercontent.com,Content Servers
14,office.com,Technology
15,live.com,Technology;Webmail
16,akadns.net,Content Servers
17,google-analytics.com,Business;Technology
18,instagram.com,Social Networks
19,spotify.com,Audio Streaming
20,bing.com,Search Engines
21,amazonaws.com,Technology
22,fbcdn.net,Social Networks
23,tiktokv.com,Social Networks;Video Streaming
24,akamai.net,Content Servers
25,cloudflare.com,Technology
26,akamaiedge.net,Content Servers
27,cloudflare-dns.com,Content Servers
28,apple-dns.net,Content Servers
29,ytimg.com,Content Servers
30,icloud.com,File Sharing;Content Servers
31,googletagmanager.com,Content Servers
32,whatsapp.net,Instant Messengers;Internet Phone & VOIP
33,googleadservices.com,Advertisements
34,cloudfront.net,Content Servers;Science;Technology
35,skype.com,Instant Messengers;Internet Phone & VOIP
36,ntp.org,Technology;Government
37,msn.com,News & Media
38,amazon-adsystem.com,Advertisements
39,app-measurement.com,APIs
40,gvt1.com,Content Servers
41,office.net,Content Servers
42,azure.com,Technology
43,yahoo.com,News & Media
44,windowsupdate.com,Information Technology;Business
45,aaplimg.com,Information Technology;Content Servers;Technology
46,cdn77.org,Content Servers
47,criteo.com,Business
48,akamaized.net,Content Servers
49,pki.goog,Information Security
50,ttlivecdn.com,Content Servers
51,sentry.io,Business
52,snapchat.com,Social Networks
53,lencr.org,Information Technology
54,adnxs.com,Content Servers
55,facebook.net,Social Networks
56,adform.net,Content Servers
57,yandex.net,News & Media
58,yandex.ru,News & Media
59,rubiconproject.com,Advertisements
60,gmail.com,Webmail
61,github.com,Technology
62,microsoftonline.com,Technology
63,office365.com,Technology
64,smartadserver.com,Advertisements
65,ggpht.com,Content Servers
66,msedge.net,Content Servers
67,appsflyersdk.com,Content Servers;APIs
68,discord.com,Instant Messengers;Internet Phone & VOIP
69,clarity.ms,Content Servers
70,pubmatic.com,Business;Technology
71,linkedin.com,Professional Networking
72,twitter.com,Social Networks
73,slack.com,Instant Messengers
74,digicert.com,Information Security
75,windows.com,Information Technology
76,cdninstagram.com,Content Servers
77,fastly.net,Information Security;Information Technology;Technology
78,netflix.com,Movies;Video Streaming
79,discord.gg,Information Technology;Instant Messengers
80,trafficmanager.net,Content Servers
81,amazon.com,Ecommerce
82,dns.google,Information Technology
83,msftncsi.com,Content Servers
84,nr-data.net,Content Servers
85,sharepoint.com,File Sharing;Technology
86,twimg.com,Content Servers
87,cdn-apple.com,Content Servers
88,unity3d.com,Gaming;Technology
89,viber.com,Instant Messengers;Internet Phone & VOIP
90,adobe.com,Technology
91,grammarly.com,Artificial Intelligence;Hobbies & Interests
92,google.lt,Search Engines
93,openx.net,Advertisements
94,mail.ru,Webmail
95,bytefcdn-oversea.com,
96,roblox.com,Gaming;Safe for Kids
97,mozilla.com,Information Technology
98,ubuntu.com,Technology
99,azureedge.net,Content Servers
100,casalemedia.com,Advertisements
