rank,domain,categories
1,tiktokcdn.com,Content Servers;Social Networks
2,facebook.com,Social Networks
3,googleapis.com,Content Servers;Personal Blogs
4,google.com,Search Engines
5,tiktokv.com,Social Networks;Video Streaming
6,gstatic.com,Content Servers
7,akamai.net,Content Servers
8,apple.com,Information Technology;Technology
9,whatsapp.net,Instant Messengers;Internet Phone & VOIP
10,microsoft.com,Information Technology;Business
11,cdn77.org,Content Servers
12,fbcdn.net,Social Networks
13,instagram.com,Social Networks
14,akamaiedge.net,Content Servers
15,amazonaws.com,Technology
16,akadns.net,Content Servers
17,snapchat.com,Social Networks
18,apple-dns.net,Content Servers
19,bytefcdn-oversea.com,
20,ttlivecdn.com,Content Servers
21,ntp.org,Technology;Government
22,doubleclick.net,Advertisements
23,googlevideo.com,Search Engines;Video Streaming
24,gvt2.com,Content Servers
25,icloud.com,File Sharing;Content Servers
26,youtube.com,Video Streaming
27,googleusercontent.com,Content Servers
28,bytefcdn-ttpeu.com,Content Servers
29,ytimg.com,Content Servers
30,aaplimg.com,Information Technology;Content Servers;Technology
31,nakheelteam.cc,Technology
32,cloudflare.com,Technology
33,cloudfront.net,Content Servers;Science;Technology
34,igamecj.com,Content Servers
35,fastly.net,Information Security;Information Technology;Technology
36,rocket-cdn.com,Content Servers
37,ggpht.com,Content Servers
38,msn.com,News & Media
39,appsflyersdk.com,Content Servers;APIs
40,app-measurement.com,APIs
41,googlesyndication.com,Search Engines;Advertisements
42,qlivecdn.com,
43,googleadservices.com,Advertisements
44,applovin.com,Gaming
45,sc-cdn.net,Content Servers
46,google-analytics.com,Business;Technology
47,bing.com,Search Engines
48,pki.goog,Information Security
49,unity3d.com,Gaming;Technology
50,gvt1.com,Content Servers
51,office.com,Technology
52,twitter.com,Social Networks
53,byteglb.com,
54,wsdvs.com,Content Servers
55,sc-gw.com,Content Servers
56,azure.com,Technology
57,viber.com,Instant Messengers;Internet Phone & VOIP
58,cloudflare-dns.com,Content Servers
59,amazon-adsystem.com,Advertisements
60,atomile.com,No Content
61,skype.com,Instant Messengers;Internet Phone & VOIP
62,digicert.com,Information Security
63,google.com.ly,Search Engines
64,googletagmanager.com,Content Servers
65,android.com,Technology
66,ttdns2.com,Content Servers
67,mtgglobals.com,Content Servers
68,byteoversea.net,Content Servers
69,app-analytics-services.com,Content Servers
70,live.com,Technology;Webmail
71,pangle.io,Content Servers
72,xiaomi.com,Technology
73,shalltry.com,Content Servers
74,vungle.com,Business;Technology
75,yahoo.com,News & Media
76,spotify.com,Audio Streaming
77,tdatamaster.com,
78,whatsapp.com,Instant Messengers;Internet Phone & VOIP
79,appcenter.ms,Technology
80,fbsbx.com,Content Servers
81,lencr.org,Information Technology
82,dns.google,Information Technology
83,crashlytics.com,Information Technology
84,cdninstagram.com,Content Servers
85,twimg.com,Content Servers
86,pitaya-clientai.com,
87,ovscdns.net,Content Servers
88,appsflyer.com,Business;Technology
89,isnssdk.com,Content Servers
90,gcloudcs.com,Gaming
91,qq.com,News & Media
92,roblox.com,Gaming;Safe for Kids
93,kaspersky.com,Technology
94,trafficmanager.net,Information Technology;Content Servers
95,byteoversea.com,Content Servers
96,ttoverseaus.net,Content Servers
97,rbxcdn.com,Content Servers
98,akamaized.net,Content Servers
99,fbpigeon.com,Social Networks
100,netflix.com,Movies;Video Streaming
