rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,tiktokcdn.com,Content Servers;Social Networks
6,microsoft.com,Information Technology;Business
7,apple.com,Information Technology;Technology
8,tiktokv.com,Social Networks;Video Streaming
9,instagram.com,Social Networks
10,whatsapp.net,Instant Messengers;Internet Phone & VOIP
11,fbcdn.net,Social Networks
12,googlevideo.com,Search Engines;Video Streaming
13,doubleclick.net,Advertisements
14,akadns.net,Content Servers
15,googleusercontent.com,Content Servers
16,akamai.net,Content Servers
17,youtube.com,Video Streaming
18,cloudflare.com,Technology
19,snapchat.com,Social Networks
20,icloud.com,File Sharing;Content Servers
21,amazonaws.com,Technology
22,akamaiedge.net,Content Servers
23,gvt2.com,Content Servers
24,ntp.org,Technology;Government
25,cdn77.org,Content Servers
26,apple-dns.net,Content Servers
27,googlesyndication.com,Search Engines;Advertisements
28,google-analytics.com,Business;Technology
29,aaplimg.com,Information Technology;Content Servers;Technology
30,cloudfront.net,Content Servers;Science;Technology
31,googleadservices.com,Advertisements
32,ttlivecdn.com,Content Servers
33,spotify.com,Audio Streaming
34,bytefcdn-oversea.com,
35,ytimg.com,Content Servers
36,google.co.ma,Search Engines
37,netflix.com,Movies;Video Streaming
38,office.com,Technology
39,googletagmanager.com,Content Servers
40,cdninstagram.com,Content Servers
41,bing.com,Search Engines
42,app-measurement.com,APIs
43,amazon-adsystem.com,Advertisements
44,azure.com,Technology
45,live.com,Technology;Webmail
46,twitter.com,Social Networks
47,cloudflare-dns.com,Content Servers
48,gmail.com,Webmail
49,bytefcdn-ttpeu.com,Content Servers
50,rocket-cdn.com,Content Servers
51,ggpht.com,Content Servers
52,whatsapp.com,Instant Messengers;Internet Phone & VOIP
53,criteo.com,Business
54,wsdvs.com,Content Servers
55,sc-cdn.net,Content Servers
56,yahoo.com,News & Media
57,linkedin.com,Professional Networking
58,android.com,Technology
59,byteoversea.net,Content Servers
60,lencr.org,Information Technology
61,kaspersky-labs.com,Technology
62,fastly.net,Information Security;Information Technology;Technology
63,pki.goog,Information Security
64,sc-gw.com,Content Servers
65,office365.com,Technology
66,akamaized.net,Content Servers
67,skype.com,Instant Messengers;Internet Phone & VOIP
68,nakheelteam.cc,Technology
69,appsflyersdk.com,Content Servers;APIs
70,pangle.io,Content Servers
71,qlivecdn.com,
72,unity3d.com,Gaming;Technology
73,kaspersky.com,Technology
74,app-analytics-services.com,Content Servers
75,gvt1.com,Content Servers
76,trafficmanager.net,Information Technology;Content Servers
77,dns.google,Information Technology
78,rubiconproject.com,Advertisements
79,applovin.com,Business;Technology
80,tiktokcdn-us.com,Content Servers
81,appsflyer.com,Business;Technology
82,digicert.com,Information Security
83,facebook.net,Social Networks
84,microsoftonline.com,Technology
85,atomile.com,No Content
86,adnxs.com,Content Servers
87,windowsupdate.com,Information Technology;Business
88,cdn-apple.com,Content Servers
89,taboola.com,Business;Advertisements
90,speedtest.net,Information Technology
91,truecaller.com,Information Technology;Professional Networking
92,twimg.com,Content Servers
93,byteglb.com,
94,cdn20.com,Content Servers
95,amazon.com,Ecommerce
96,one.one,Information Technology
97,roblox.com,Gaming;Safe for Kids
98,tiktok.com,Social Networks;Video Streaming;Advertisements
99,fast.com,Information Technology
100,pinterest.com,Photography;Social Networks
