rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,cloudflare.com,Technology
7,doubleclick.net,Advertisements
8,tiktokcdn.com,Content Servers;Social Networks
9,gvt2.com,Content Servers
10,instagram.com,Social Networks
11,apple.com,Information Technology;Technology
12,youtube.com,Video Streaming
13,googlesyndication.com,Search Engines;Advertisements
14,mail.ru,Webmail
15,googlevideo.com,Search Engines;Video Streaming
16,yandex.ru,News & Media
17,live.com,Technology;Webmail
18,amazonaws.com,Technology
19,googleusercontent.com,Content Servers
20,google-analytics.com,Business;Technology
21,bing.com,Search Engines
22,tiktokv.com,Social Networks;Video Streaming
23,fbcdn.net,Social Networks
24,yandex.net,News & Media
25,spotify.com,Audio Streaming
26,whatsapp.net,Instant Messengers;Internet Phone & VOIP
27,ytimg.com,Content Servers
28,skype.com,Instant Messengers;Internet Phone & VOIP
29,akamai.net,Content Servers
30,cdn77.org,Content Servers
31,akadns.net,Content Servers
32,googletagmanager.com,Content Servers
33,viber.com,Instant Messengers;Internet Phone & VOIP
34,googleadservices.com,Advertisements
35,office.com,Technology
36,akamaiedge.net,Content Servers
37,msn.com,News & Media
38,cloudfront.net,Content Servers;Science;Technology
39,yahoo.com,News & Media
40,amazon-adsystem.com,Advertisements
41,google.md,Search Engines
42,cloudflare-dns.com,Content Servers
43,ggpht.com,Content Servers
44,apple-dns.net,Content Servers
45,ntp.org,Technology;Government
46,icloud.com,File Sharing;Content Servers
47,linkedin.com,Professional Networking
48,gvt1.com,Content Servers
49,cdninstagram.com,Content Servers
50,vk.com,Social Networks
51,lencr.org,Information Technology
52,facebook.net,Social Networks
53,aaplimg.com,Information Technology;Content Servers;Technology
54,bytefcdn-oversea.com,
55,fastly.net,Information Security;Information Technology;Technology
56,ttlivecdn.com,Content Servers
57,office.net,Content Servers
58,app-measurement.com,APIs
59,msedge.net,Content Servers
60,windowsupdate.com,Information Technology;Business
61,mixpanel.com,Business
62,azure.com,Technology
63,ok.ru,Social Networks;Video Streaming
64,adnxs.com,Content Servers
65,criteo.com,Business
66,clarity.ms,Content Servers
67,telegram.org,Instant Messengers
68,xiaomi.com,Technology
69,pubmatic.com,Business;Technology
70,twitter.com,Social Networks
71,rubiconproject.com,Advertisements
72,amazon.com,Ecommerce
73,snapchat.com,Social Networks
74,netflix.com,Movies;Video Streaming
75,pki.goog,Information Security
76,userapi.com,Social Networks
77,unity3d.com,Gaming;Technology
78,imgsmail.ru,
79,applovin.com,Gaming
80,akamaized.net,Content Servers
81,rocket-cdn.com,Content Servers
82,windows.com,Information Technology
83,miui.com,Technology
84,dns.google,Information Technology
85,digicert.com,Information Security
86,yastatic.net,Technology
87,tiktokcdn-us.com,Content Servers
88,fastly-edge.com,Content Servers
89,ampproject.org,Information Technology
90,mzstatic.com,Information Technology;Technology
91,msftconnecttest.com,Content Servers
92,msftncsi.com,Content Servers
93,microsoftonline.com,Technology
94,bytefcdn-ttpeu.com,Content Servers
95,jsdelivr.net,Content Servers
96,roblox.com,Gaming;Safe for Kids
97,sentry.io,Business
98,casalemedia.com,Advertisements
99,2mdn.net,Content Servers
100,qlivecdn.com,
