rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,facebook.com,Social Networks
4,gstatic.com,Content Servers
5,apple-dns.net,Content Servers
6,apple.com,Information Technology;Technology
7,instagram.com,Social Networks
8,tiktokcdn.com,Content Servers;Social Networks
9,youtube.com,Video Streaming
10,cloudflare.com,Technology
11,akadns.net,Content Servers
12,amazonaws.com,Technology
13,akamaiedge.net,Content Servers
14,microsoft.com,Information Technology;Business
15,tiktokv.com,Social Networks;Video Streaming
16,doubleclick.net,Advertisements
17,whatsapp.net,Instant Messengers;Internet Phone & VOIP
18,bing.com,Search Engines
19,icloud.com,File Sharing;Content Servers
20,pki.goog,Information Security
21,akamai.net,Content Servers
22,googlevideo.com,Search Engines;Video Streaming
23,spotify.com,Audio Streaming
24,fbcdn.net,Social Networks
25,googlesyndication.com,Search Engines;Advertisements
26,yandex.net,News & Media
27,viber.com,Instant Messengers;Internet Phone & VOIP
28,cdn77.org,Content Servers
29,cdninstagram.com,Content Servers
30,googleusercontent.com,Content Servers
31,google-analytics.com,Business;Technology
32,bytefcdn-oversea.com,
33,googletagmanager.com,Content Servers
34,gmail.com,Webmail
35,bytefcdn-ttpeu.com,Content Servers
36,ttlivecdn.com,Content Servers
37,amazon-adsystem.com,Advertisements
38,aaplimg.com,Information Technology;Content Servers;Technology
39,rubiconproject.com,Advertisements
40,yandex.ru,News & Media
41,gvt2.com,Content Servers
42,unity3d.com,Gaming;Technology
43,rocket-cdn.com,Content Servers
44,linkedin.com,Professional Networking
45,googleadservices.com,Advertisements
46,ytimg.com,Content Servers
47,live.com,Technology;Webmail
48,snapchat.com,Social Networks
49,vk.com,Social Networks
50,twitter.com,Social Networks
51,cloudfront.net,Content Servers;Science;Technology
52,mail.ru,Webmail
53,office.com,Technology
54,roblox.com,Gaming;Safe for Kids
55,netflix.com,Movies;Video Streaming
56,skype.com,Instant Messengers;Internet Phone & VOIP
57,ggpht.com,Content Servers
58,fastly.net,Information Security;Information Technology;Technology
59,azure.com,Technology
60,cloudflare-dns.com,Content Servers
61,pubmatic.com,Business;Technology
62,google.me,Search Engines
63,yahoo.com,News & Media
64,applovin.com,Gaming
65,github.com,Technology
66,adnxs.com,Content Servers
67,dropbox.com,File Sharing
68,digicert.com,Information Security
69,appsflyersdk.com,Content Servers;APIs
70,licdn.com,Content Servers
71,rbxcdn.com,Content Servers
72,msn.com,News & Media
73,safebrowsing.apple,Content Servers
74,openx.net,Advertisements
75,gvt1.com,Content Servers
76,windowsupdate.com,Information Technology;Business
77,clarity.ms,Content Servers
78,app-measurement.com,APIs
79,microsoftonline.com,Technology
80,speedtest.net,Information Technology
81,ntp.org,Technology;Government
82,smartadserver.com,Advertisements
83,office365.com,Technology
84,sc-cdn.net,Content Servers
85,qlivecdn.com,
86,atomile.com,No Content
87,cdn-apple.com,Content Servers
88,fast.com,Information Technology
89,app-analytics-services.com,Content Servers
90,criteo.com,Business
91,adform.net,Content Servers
92,lencr.org,Information Technology
93,facebook.net,Social Networks
94,epicgames.com,Ecommerce;Gaming
95,lijit.com,Business
96,qq.com,News & Media
97,windows.com,Information Technology
98,wsdvs.com,Content Servers
99,discord.com,Instant Messengers;Internet Phone & VOIP
100,amazon.com,Ecommerce
