rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Personal Blogs
4,facebook.com,Social Networks
5,gstatic.com,Content Servers
6,fbcdn.net,Social Networks
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,gvt2.com,Content Servers
9,tiktokcdn.com,Content Servers;Social Networks
10,amazonaws.com,Technology
11,apple.com,Information Technology;Technology
12,youtube.com,Video Streaming
13,googleusercontent.com,Content Servers
14,cloudflare.com,Technology
15,akamaiedge.net,Content Servers
16,live.com,Technology;Webmail
17,googlevideo.com,Search Engines;Video Streaming
18,akamai.net,Content Servers
19,doubleclick.net,Advertisements
20,instagram.com,Social Networks
21,ytimg.com,Content Servers
22,tiktokv.com,Social Networks;Video Streaming
23,bing.com,Search Engines
24,msftncsi.com,Content Servers
25,googlesyndication.com,Search Engines;Advertisements
26,apple-dns.net,Content Servers
27,skype.com,Instant Messengers;Internet Phone & VOIP
28,akadns.net,Content Servers
29,google-analytics.com,Business;Technology
30,office.com,Technology
31,digicert.com,Information Security
32,ntp.org,Technology;Government
33,msn.com,News & Media
34,cdn77.org,Content Servers
35,pki.goog,Information Security
36,ggpht.com,Content Servers
37,bytefcdn-oversea.com,
38,windows.com,Information Technology
39,aaplimg.com,Information Technology;Content Servers;Technology
40,amazon-adsystem.com,Advertisements
41,cloudflareclient.com,Content Servers
42,spotify.com,Audio Streaming
43,linkedin.com,Professional Networking
44,snapchat.com,Social Networks
45,msedge.net,Content Servers
46,fastly.net,Information Security;Information Technology;Technology
47,adnxs.com,Content Servers
48,googletagmanager.com,Content Servers
49,akamaized.net,Content Servers
50,windowsupdate.com,Information Technology;Business
51,sentinelone.net,Information Security;Business
52,office365.com,Technology
53,msftconnecttest.com,Content Servers
54,cloudfront.net,Content Servers;Science;Technology
55,office.net,Content Servers
56,azureedge.net,Content Servers
57,licdn.com,Content Servers
58,mozilla.com,Information Technology
59,lencr.org,Information Technology
60,mozilla.org,Technology
61,gvt1.com,Content Servers
62,rubiconproject.com,Advertisements
63,icloud.com,File Sharing;Content Servers
64,avast.com,Technology
65,google.mg,Search Engines
66,netflix.com,Movies;Video Streaming
67,microsoftonline.com,Technology
68,cloudflare-dns.com,Content Servers
69,adobe.com,Technology
70,pubmatic.com,Business;Technology
71,xnxx-cdn.com,CIPA Filter;Pornography
72,azure.com,Technology
73,cdninstagram.com,Content Servers
74,app-measurement.com,APIs
75,slack.com,Instant Messengers
76,casalemedia.com,Advertisements
77,unity3d.com,Gaming;Technology
78,qq.com,News & Media
79,sharepoint.com,File Sharing;Technology
80,yahoo.com,News & Media
81,googleadservices.com,Advertisements
82,mcafee.com,Technology
83,firefox.com,Information Technology
84,avcdn.net,Content Servers
85,amazon.com,Ecommerce
86,scorecardresearch.com,Business
87,nelreports.net,Content Servers
88,twitter.com,Social Networks
89,mozgcp.net,Information Technology;Content Servers
90,xiaomi.com,Technology
91,google.fr,Search Engines
92,github.com,Technology
93,dns.google,Information Technology
94,ttlivecdn.com,Content Servers
95,chatgpt.com,Artificial Intelligence;Chat
96,opera.com,Technology
97,criteo.com,Business
98,outlook.com,Webmail
99,taboola.com,Business;Advertisements
100,trafficmanager.net,Information Technology;Content Servers
