rank,domain,categories
1,facebook.com,Social Networks
2,googleapis.com,Content Servers;Personal Blogs
3,tiktokcdn.com,Content Servers;Social Networks
4,cdn77.org,Content Servers
5,apple-dns.net,Content Servers
6,apple.com,Information Technology;Technology
7,akamai.net,Content Servers
8,tiktokv.com,Social Networks;Video Streaming
9,akadns.net,Content Servers
10,google.com,Search Engines
11,fbcdn.net,Social Networks
12,bytefcdn-oversea.com,
13,akamaiedge.net,Content Servers
14,ttlivecdn.com,Content Servers
15,tiktokcdn-us.com,Content Servers
16,gstatic.com,Content Servers
17,youtube.com,Video Streaming
18,googlevideo.com,Search Engines;Video Streaming
19,byteoversea.net,Content Servers
20,aaplimg.com,Information Technology;Content Servers;Technology
21,netflix.com,Movies;Video Streaming
22,amazonaws.com,Technology
23,icloud.com,File Sharing;Content Servers
24,unity3d.com,Gaming;Technology
25,applovin.com,Gaming
26,atomile.com,No Content
27,sc-cdn.net,Content Servers
28,app-analytics-services.com,Content Servers
29,rocket-cdn.com,Content Servers
30,gvt2.com,Content Servers
31,qlivecdn.com,
32,cloudfront.net,Content Servers;Science;Technology
33,tiktokv.us,Content Servers
34,app-measurement.com,APIs
35,bytefcdn-ttpeu.com,Content Servers
36,cdninstagram.com,Content Servers
37,ggpht.com,Content Servers
38,yahoo.com,News & Media
39,pki.goog,Information Security
40,googleusercontent.com,Content Servers
41,bing.com,Search Engines
42,fastly.net,Information Security;Information Technology;Technology
43,snapchat.com,Social Networks
44,ui.com,Technology
45,ytimg.com,Content Servers
46,doubleclick.net,Advertisements
47,spotify.com,Audio Streaming
48,microsoft.com,Information Technology;Business
49,instagram.com,Social Networks
50,whatsapp.net,Instant Messengers;Internet Phone & VOIP
51,ttdns2.com,Content Servers
52,sc-gw.com,Content Servers
53,appsflyersdk.com,Content Servers;APIs
54,amazon-adsystem.com,Advertisements
55,soundcloud.com,Audio Streaming
56,gmail.com,Webmail
57,fbsbx.com,Content Servers
58,skype.com,Instant Messengers;Internet Phone & VOIP
59,office.com,Technology
60,live.com,Technology;Webmail
61,cloudflare.com,Technology
62,bugsnag.com,Information Technology
62,icloud-content.com,File Sharing
64,msn.com,News & Media
65,trafficmanager.net,Content Servers
66,windowsupdate.com,Information Technology;Business
67,ntp.org,Technology;Government
68,wsdvs.com,Content Servers
69,msedge.net,Content Servers
70,windows.com,Information Technology
71,nflxvideo.net,Movies;Television;Video Streaming
72,shalltry.com,Content Servers
73,byteglb.com,
74,rubiconproject.com,Advertisements
75,rings.solutions,Content Servers
76,lencr.org,Information Technology
77,mncdn.com,Content Servers
78,igamecj.com,Content Servers
79,googleadservices.com,Advertisements
80,samsungcloud.com,Content Servers
81,ntppool.org,Technology
82,unifi-ai.com,Content Servers
83,supersonicads.com,Gaming
84,office.net,Content Servers
85,appcenter.ms,Technology
86,dropbox.com,File Sharing
87,tdatamaster.com,
88,adnxs.com,Content Servers
89,baidu.com,Search Engines
90,nelreports.net,Content Servers
91,surfshark.com,CIPA Filter;Anonymizer
92,dramaboxdb.com,Information Technology;Movies;Television
92,codmwest.com,
94,worldfcdn2.com,Content Servers
95,zoom.us,Technology
96,qq.com,News & Media
97,mzstatic.com,Information Technology;Technology
98,cdn-apple.com,Content Servers
99,digicert.com,Information Security
100,azureedge.net,Content Servers
