rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,microsoft.com,Information Technology;Business
6,tiktokcdn.com,Content Servers;Social Networks
7,apple.com,Information Technology;Technology
8,tiktokv.com,Social Networks;Video Streaming
9,doubleclick.net,Advertisements
10,googlevideo.com,Search Engines;Video Streaming
11,gvt2.com,Content Servers
12,youtube.com,Video Streaming
13,googleusercontent.com,Content Servers
14,ytimg.com,Content Servers
15,instagram.com,Social Networks
16,bing.com,Search Engines
17,cdn77.org,Content Servers
18,googlesyndication.com,Search Engines;Advertisements
19,fbcdn.net,Social Networks
20,akamai.net,Content Servers
21,akamaiedge.net,Content Servers
22,office.com,Technology
23,viber.com,Instant Messengers;Internet Phone & VOIP
24,cloudflare.com,Technology
25,msn.com,News & Media
26,live.com,Technology;Webmail
27,akadns.net,Content Servers
28,amazonaws.com,Technology
29,snapchat.com,Social Networks
30,google-analytics.com,Business;Technology
31,ggpht.com,Content Servers
32,spotify.com,Audio Streaming
33,apple-dns.net,Content Servers
34,whatsapp.net,Instant Messengers;Internet Phone & VOIP
35,cloudfront.net,Content Servers;Science;Technology
36,googleadservices.com,Advertisements
37,amazon-adsystem.com,Advertisements
38,bytefcdn-oversea.com,
39,roblox.com,Gaming;Safe for Kids
40,ttlivecdn.com,Content Servers
41,googletagmanager.com,Content Servers
42,windowsupdate.com,Information Technology;Business
43,skype.com,Instant Messengers;Internet Phone & VOIP
44,icloud.com,File Sharing;Content Servers
45,yahoo.com,News & Media
46,rubiconproject.com,Advertisements
47,amazon.com,Ecommerce
48,pki.goog,Information Security
49,aaplimg.com,Information Technology;Content Servers;Technology
50,office365.com,Technology
51,adnxs.com,Content Servers
52,office.net,Content Servers
53,ntp.org,Technology;Government
54,criteo.com,Business
55,microsoftonline.com,Technology
56,taboola.com,Business;Advertisements
57,cloudflare-dns.com,Content Servers
58,msedge.net,Content Servers
59,lencr.org,Information Technology
60,cdninstagram.com,Content Servers
61,rocket-cdn.com,Content Servers
62,mixpanel.com,Business
63,gvt1.com,Content Servers
64,facebook.net,Social Networks
65,msftncsi.com,Content Servers
66,pubmatic.com,Business;Technology
67,app-measurement.com,APIs
68,netflix.com,Movies;Video Streaming
69,fastly.net,Information Security;Information Technology;Technology
70,linkedin.com,Professional Networking
71,rbxcdn.com,Content Servers
72,akamaized.net,Content Servers
73,bytefcdn-ttpeu.com,Content Servers
74,google.mk,Search Engines
75,qlivecdn.com,
76,twitter.com,Social Networks
77,windows.com,Information Technology
78,azure.com,Technology
79,adform.net,Content Servers
80,sc-cdn.net,Content Servers
81,outlook.com,Webmail
82,app-analytics-services.com,Content Servers
83,discord.com,Instant Messengers;Internet Phone & VOIP
84,clarity.ms,Content Servers
85,ui.com,Technology
86,avcdn.net,Content Servers
87,digicert.com,Information Security
88,gmail.com,Webmail
89,slack.com,Instant Messengers
90,aliexpress.com,Ecommerce
91,avast.com,Technology
92,unity3d.com,Gaming;Technology
93,alicdn.com,Content Servers
94,ampproject.org,Information Technology
95,cdn-apple.com,Content Servers
96,root-servers.net,Technology
97,byteoversea.net,Content Servers
98,googletagservices.com,Content Servers
99,atomile.com,No Content
100,appcenter.ms,Technology
