rank,domain,categories
1,tiktokcdn.com,Content Servers;Social Networks
2,google.com,Search Engines
3,googleapis.com,Content Servers;Webmail
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,tiktokv.com,Social Networks;Video Streaming
7,akamai.net,Content Servers
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,cdn77.org,Content Servers
10,bytefcdn-oversea.com,
11,akamaiedge.net,Content Servers
12,ttlivecdn.com,Content Servers
13,apple.com,Information Technology;Technology
14,doubleclick.net,Advertisements
15,akadns.net,Content Servers
16,youtube.com,Video Streaming
17,fbcdn.net,Social Networks
18,googlevideo.com,Search Engines;Video Streaming
19,apple-dns.net,Content Servers
20,amazonaws.com,Technology
21,googleusercontent.com,Content Servers
22,microsoft.com,Information Technology;Business
23,snapchat.com,Social Networks
24,icloud.com,File Sharing;Content Servers
25,bytefcdn-ttpeu.com,Content Servers
26,office.com,Technology
27,ytimg.com,Content Servers
28,app-measurement.com,APIs
29,aaplimg.com,Information Technology;Content Servers;Technology
30,bing.com,Search Engines
31,instagram.com,Social Networks
32,rocket-cdn.com,Content Servers
33,gvt2.com,Content Servers
34,wsdvs.com,Content Servers
35,cloudflare.com,Technology
36,byteoversea.net,Content Servers
37,cloudfront.net,Content Servers;Science;Technology
38,google-analytics.com,Business;Technology
39,app-analytics-services.com,Content Servers
40,byteglb.com,
41,yahoo.com,News & Media
42,qlivecdn.com,
43,live.com,Technology;Webmail
44,googlesyndication.com,Search Engines;Advertisements
45,fastly.net,Information Security;Information Technology;Technology
46,ggpht.com,Content Servers
47,gvt1.com,Content Servers
48,atomile.com,No Content
49,msn.com,News & Media
50,pki.goog,Information Security
51,one.one,Information Technology
52,amazon-adsystem.com,Advertisements
53,appsflyersdk.com,Content Servers;APIs
54,applovin.com,Gaming
55,unity3d.com,Gaming;Technology
56,cloudflare-dns.com,Content Servers
57,digicert.com,Information Security
58,azure.com,Technology
59,sc-cdn.net,Content Servers
60,googleadservices.com,Advertisements
61,office.net,Content Servers
62,skype.com,Instant Messengers;Internet Phone & VOIP
63,twitter.com,Social Networks
64,shalltry.com,Content Servers
65,kaspersky.com,Technology
66,cdninstagram.com,Content Servers
67,akamaized.net,Content Servers
68,ttdns2.com,
69,whatsapp.com,Instant Messengers;Internet Phone & VOIP
70,ntp.org,Technology;Government
71,google.ml,Search Engines
72,kaspersky-labs.com,Technology
73,sc-gw.com,Content Servers
74,trafficmanager.net,Content Servers
75,xnxx-cdn.com,CIPA Filter;Pornography
76,msftncsi.com,Content Servers
77,lencr.org,Information Technology
78,appsflyer.com,Business;Technology
79,v-mate.mobi,Gaming
80,msftconnecttest.com,Content Servers
81,windowsupdate.com,Information Technology;Business
82,linkedin.com,Professional Networking
83,cdn-apple.com,Content Servers
84,gmail.com,Webmail
85,ttoverseaus.net,Content Servers
86,pangle.io,Content Servers
87,amazon.com,Ecommerce
88,dns.google,Information Technology
89,bangcdn.net,Content Servers
90,office365.com,Technology
91,ovscdns.net,Content Servers
92,crashlytics.com,Information Technology
93,azureedge.net,Content Servers
94,licdn.com,Content Servers
95,pubmatic.com,Business;Technology
96,appcenter.ms,Technology
97,googletagmanager.com,Content Servers
98,mtgglobals.com,Content Servers
99,microsoftonline.com,Technology
100,mzstatic.com,Information Technology;Technology
